,Gene,Gene.Left,Gene.Right,Strand,Promoter.found,Upstream.Operon,TSS,Promoter_region,Minimal_promoter,TSS..10,TSS_strength,Region_score,Minimal_promoter_activity
0,ribA,1336593.0,1337184.0,-,Y,,TSS_5291_regulondb,1337163_1337254_-,,"TSS_5291_regulondb,1337212,-",1.28190257,111.13,
1,hemL,173601.0,174882.0,-,Y,,"TSS_714_regulondb, TSS_716_regulondb, TSS_718_storz_wanner",174923_175099_-,174949_175099_-,,,214.77,1.022321252
2,murB,4170079.0,4171108.0,+,Y,,TSS_16296_storz_regulondb,4169977_4170170_+,4170007_4170157_+,"TSS_16296_storz_regulondb,4170057,+",1.091445402,229.15,1.123441047
3,murI,4163450.0,4164308.0,+,Y,btuB-murI,TSS_16250_storz,4161317_4161527_+,4161367_4161477_+,"TSS_16250_storz,4161392,+",1.128930715,269.52,1.0599876129999999
4,dfp,3810753.0,3811974.0,+,Y,,TSS_14775_storz,3810605_3810836_+,3810686_3810836_+,"TSS_14775_storz,3810724,+",1.017664787,287.95,1.006948417
5,hisS,2637322.0,2638597.0,-,Y,,TSS_9922_storz_wanner,2638624_2638835_-,2638685_2638794_-,"TSS_9922_storz_wanner,2638663,-",1.7629543669999999,288.25,1.107149445
6,der,2633905.0,2635378.0,-,Y,hisS-yfgM-bamB-der,TSS_9922_storz_wanner,2638624_2638835_-,2638685_2638794_-,"TSS_9922_storz_wanner,2638663,-",1.7629543669999999,288.25,1.107149445
7,parE,3171525.0,3173418.0,-,Y,,TSS_12015_storz_regulondb,3173540_3173780_-,3173610_3173740_-,"TSS_12015_storz_regulondb,3173667,-",1.325607629,291.45,1.075179057
8,ispB,3331731.0,3332703.0,+,Y,,TSS_12684_storz,3331517_3331773_+,3331617_3331677_+,"TSS_12684_storz,3331658,+",1.219730902,331.71,1.0560742920000001
9,psd,4387414.0,4388383.0,-,Y,rsgA-psd,"TSS_17149_storz, TSS_17151_regulondb",4389383_4389657_-,4389453_4389533_-,,,334.77,1.0129579770000001
10,eno,2904664.0,2905963.0,-,Y,,TSS_10955_regulondb,2906774_2907010_-,2906784_2906934_-,"TSS_10955_regulondb,2906868,-",1.4396778319999999,337.38,1.134451154
11,nadE,1820481.0,1821309.0,+,Y,,,1820292_1820536_+,1820352_1820502_+,,,338.26,1.017501185
12,lpxB,203347.0,204496.0,+,Y,fabZ-lpxAB,"TSS_870_regulondb, TSS_871_regulondb",201930_202203_+,202053_202080_+,,,347.99,1.022364617
13,mukF,973541.0,974864.0,+,Y,smtA-mukF,,972570_972848_+,972630_972720_+,,,368.8,1.076506416
14,glmU,3911852.0,3913223.0,-,Y,,TSS_15154_regulondb,3913210_3913476_-,3913310_3913460_-,"TSS_15154_regulondb,3913241,-",1.121063427,370.43,1.073602144
15,pth,1257151.0,1257736.0,-,Y,,TSS_4878_wanner,1257594_1257898_-,1257674_1257744_-,"TSS_4878_wanner,1257764,-",1.11084097,381.84,1.041235561
16,prmC,1265316.0,1266150.0,+,Y,hemA-prfA,TSS_4901_storz_regulondb,1262801_1263044_+,1262861_1262951_+,"TSS_4901_storz_regulondb,1262898,+",2.654054242,399.25,1.275327032
17,hemA,1262936.0,1264193.0,+,Y,,TSS_4901_storz_regulondb,1262801_1263044_+,1262861_1262951_+,"TSS_4901_storz_regulondb,1262898,+",2.654054242,399.25,1.275327032
18,asd,3571797.0,3572901.0,-,Y,,,3572950_3573163_-,3573013_3573163_-,,,457.21,1.27892769
19,ispD,2869801.0,2870512.0,-,Y,ftsB-ispD,TSS_10816_storz_wanner_regulondb,2870765_2871062_-,2870895_2870915_-,"TSS_10816_storz_wanner_regulondb,2870922,-",1.635219652,464.78,1.282802115
20,ispF,2869322.0,2869802.0,-,Y,ftsB-ispDF,TSS_10816_storz_wanner_regulondb,2870765_2871062_-,2870895_2870915_-,"TSS_10816_storz_wanner_regulondb,2870922,-",1.635219652,464.78,1.282802115
21,csrA,2816982.0,2817168.0,-,Y,,TSS_10652_wanner,2817204_2817500_-,2817350_2817444_-,"TSS_10652_wanner,2817294,-",1.0983503479999999,466.32,1.442412019
22,gmk,3819450.0,3820074.0,+,Y,,TSS_14810_regulondb,3819207_3819513_+,3819357_3819407_+,"TSS_14810_regulondb,3819407,+",2.062570393,468.28,1.36314411
23,hemG,4032630.0,4033176.0,+,Y,pepQ-yigZ-trkH-hemG,TSS_15699_storz_regulondb,4028919_4029282_+,4029132_4029169_+,"TSS_15699_storz_regulondb,4029153,+",1.229392062,499.75,1.124721909
24,hemB,387976.0,388951.0,-,Y,,,388772_389127_-,388902_388922_-,,,509.96,1.0610645090000002
25,lptA,3341402.0,3341959.0,+,Y,yrbG-kdsDC-lptC,TSS_12717_storz_regulondb,3338007_3338361_+,3338207_3338227_+,"TSS_12717_storz_regulondb,3338233,+",1.3550053709999998,522.3,1.073926425
26,lptA,3341402.0,3341959.0,+,Y,yrbG-kdsDC-lptC,TSS_12717_storz_regulondb,3338007_3338361_+,3338207_3338227_+,"TSS_12717_storz_regulondb,3338233,+",1.49572957,522.3,1.073926425
27,folE,2241005.0,2241674.0,-,Y,,"TSS_8519_storz, TSS_8522_wanner",2241733_2242015_-,2241865_2241923_-,,,525.08,1.219940737
28,metG,2192321.0,2194355.0,+,Y,,TSS_8359_storz_regulondb,2192141_2192413_+,2192251_2192291_+,"TSS_8359_storz_regulondb,2192291,+",2.0496007130000002,525.39,1.2749650209999999
29,msbA,965843.0,967592.0,+,Y,,"TSS_3758_regulondb, TSS_3759_regulondb",965549_965944_+,965779_965819_+,,,536.64,1.19685132
