,start,end,type,identity
0,-12,4,repressor,
1,-48,-27,repressor,YgbI
2,15,29,repressor,
3,-50,-30,activator,CRP
4,-37,-28,repressor,DgoR
5,-53,-39,activator,
6,5,14,repressor,
7,20,36,repressor,
8,-23,-14,activator,
9,-39,-18,activator,
10,-84,-65,activator,MarA
11,-34,-24,repressor,MarR
12,-14,14,repressor,MarR
13,1,21,repressor,
14,-15,1,repressor,GlpR
15,3,29,activator,
16,-28,-13,repressor,
17,22,39,repressor,
18,-15,-5,repressor,
19,-50,-25,activator,FNR
20,-61,-46,activator,
21,8,29,repressor,Zur
22,-87,-78,repressor,
23,-20,-2,repressor,
24,3,13,repressor,
25,-13,10,repressor,DicA
26,-36,-22,repressor,
27,-56,-31,activator,
28,-111,-97,repressor,
29,-100,-55,activator,HdfR
30,-55,-35,activator,PhoP
31,-25,-11,repressor,GlpR
32,-74,-50,activator,CRP
33,-34,11,repressor,GlpR
34,-102,-80,activator,FNR
35,-45,-16,repressor,YieP
36,-60,-44,repressor,
37,-15,-4,repressor,
38,-40,-12,repressor,
39,-10,5,repressor,
40,-69,-38,activator,
41,-35,-23,repressor,IlvY
42,-15,0,repressor,
43,-18,0,repressor,Zur
44,-21,-5,repressor,GlpR
45,-57,-41,activator,
46,-23,-9,repressor,
47,-99,-63,activator,FNR
48,-64,-56,repressor,CpxR
49,-37,1,repressor,
50,-71,-30,activator,FNR
51,-73,-62,repressor,DeoR
52,-21,1,repressor,
53,-113,-94,repressor,IHF
54,-56,-25,repressor,IHF
55,-1,13,repressor,IHF
56,-71,-48,activator,FNR
57,-48,-33,activator,ArcA
58,-8,4,repressor,LexA
59,-47,-27,repressor,
60,-66,-41,repressor,
61,-90,-72,activator,PhoP
62,-41,-25,activator,PhoP
63,-95,-70,repressor,HNS/StpA
64,-88,-71,activator,CRP
65,-71,-55,activator,XylR
66,-55,-21,activator,XylR
67,-77,-51,activator,FNR
68,-4,5,activator,
69,-14,27,repressor,
70,-35,-20,repressor,
71,-15,5,repressor,
72,6,14,repressor,LexA
73,-57,-30,activator,CRP
74,-28,2,repressor,YdfH
75,-18,1,repressor,YgbI
76,-8,7,repressor,GlpR
77,5,18,activator,
78,-102,-82,activator,CRP
79,-76,-56,activator,AraC
80,-51,-32,activator,AraC
81,-112,-95,activator,
82,-65,-40,activator,
83,-35,-16,activator,
84,-10,16,repressor,"RelBE, RelB"
85,-71,-53,activator,
86,-27,-4,repressor,NsrR
87,-78,-55,activator,XylR
88,-50,-27,activator,XylR
89,-24,18,repressor,MarA
90,30,45,repressor,
