,b2818,b3959,b3958,b3359,b3957,b0273,b3172,b3960,b4254
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,10.0,1.5431187744921628,1.6383308749449126,1.0421854373789357,10.0,10.0,10.0,10.0,10.0
KeqOpening,2.1330111348744194,14.229055549761894,15.120265242543812,9.565821825792154,1.2033990467100255,2.648238378930868,5.525044225938627,1.9512394355705176,3.4016356603908062
KdRNAPCrp,1.0101010101010101e-05,9.363244628906257e-06,1.0101010101010101e-05,8.875811004638673e-06,1.0101010101010101e-05,1.0101010101010101e-05,1.0101010101010101e-05,1.0101010101010101e-05,1.0101010101010101e-05
