Parameter,Value
act_TF_conc_lo,8.476228431738858e-14
act_TF_conc_up,2.2774708312531854e-07
act_Kd_lo,5.657301729793177e-11
act_Kd_up,0.030076877373884283
inh_TF_conc_lo,8.476228431738858e-14
inh_TF_conc_up,2.2774708312531854e-07
inh_Kd_lo,5.657301729793177e-11
inh_Kd_up,0.030076877373884283
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.862239019990572e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
