,left,right,stem_loop_left,stem_loop_right,strand,upstream_gene,free_energy,score,locus_tag
0,1308,1364,1330,1349,1,peg.1,-6.2,2.5,term_1
1,2657,2720,2690,2705,1,peg.2,-7.0,3.9,term_2
2,2675,2734,2690,2705,-1,peg.3,-7.0,3.3,term_3
3,5071,5130,5099,5115,1,peg.5,-7.0,3.1,term_4
4,9689,9744,9718,9729,1,peg.7,-4.9,3.0,term_5
5,13815,13877,13842,13862,1,peg.9,-10.7,3.5,term_6
6,14615,14671,14635,14655,1,peg.10,-4.4,2.9,term_7
7,18621,18691,18654,18676,1,peg.13,-5.1,1.3,term_8
8,18638,18695,18653,18677,-1,peg.14,-4.4,1.6,term_9
9,20074,20124,20089,20102,-1,peg.15,-3.3,1.5,term_10
10,21717,21782,21732,21748,-1,peg.16,-5.7,3.0,term_11
11,23428,23482,23443,23457,-1,peg.17,-3.4,2.6,term_12
12,25714,25796,25745,25781,1,peg.18,-6.5,1.7,term_13
13,27651,27711,27680,27695,1,peg.19,-6.7,4.7,term_14
14,30020,30096,30051,30081,1,peg.20,-9.7,1.8,term_15
15,31045,31110,31073,31095,1,peg.21,-8.1,2.3,term_16
16,31802,31864,31836,31849,1,peg.22,-3.6,0.4,term_17
17,40022,40085,40047,40070,1,peg.27,-8.5,2.5,term_18
18,42919,42987,42956,42972,1,peg.30,-6.3,1.7,term_19
19,42941,42989,42956,42972,-1,peg.31,-5.7,0.8,term_20
20,44513,44592,44549,44577,1,peg.32,-6.9,4.6,term_21
21,48656,48717,48689,48702,1,peg.34,-3.3,1.2,term_22
22,48674,48738,48689,48702,-1,peg.35,-2.2,2.0,term_23
23,51078,51131,51102,51116,1,peg.36,-5.7,2.5,term_24
24,61028,61091,61062,61076,1,peg.44,-3.3,2.4,term_25
25,61902,61960,61932,61945,1,peg.45,-8.1,2.1,term_26
26,61917,61972,61932,61945,-1,peg.46,-6.6,5.0,term_27
27,64255,64308,64278,64293,1,peg.48,-6.2,2.1,term_28
28,64822,64876,64848,64861,1,peg.49,-3.3,1.3,term_29
29,64833,64889,64848,64861,-1,peg.50,-2.2,1.3,term_30
30,66346,66414,66383,66399,1,peg.52,-5.2,1.5,term_31
31,66368,66428,66383,66399,-1,peg.53,-6.1,2.6,term_32
32,67976,68052,67992,68013,-1,peg.54,-3.7,0.4,term_33
33,68917,68980,68935,68968,-1,peg.55,-3.2,0.4,term_34
34,73441,73488,73454,73473,1,peg.57,-10.3,1.6,term_35
35,80115,80159,80128,80144,1,peg.61,-3.7,1.6,term_36
36,86352,86395,86363,86380,1,peg.67,-8.1,0.7,term_37
37,91643,91689,91663,91674,1,peg.70,-3.7,3.1,term_38
38,93077,93140,93106,93125,1,peg.71,-6.6,1.0,term_39
39,95341,95420,95373,95405,1,peg.73,-10.6,1.7,term_40
40,99234,99323,99250,99312,-1,peg.78,-9.3,0.9,term_41
41,99666,99713,99682,99698,1,peg.77,-4.7,3.2,term_42
42,102111,102169,102133,102154,1,peg.79,-6.6,1.9,term_43
43,102613,102686,102634,102670,1,peg.80,-7.9,0.4,term_44
44,104489,104552,104522,104537,1,peg.83,-6.2,2.9,term_45
45,106412,106471,106443,106456,1,peg.85,-3.6,2.6,term_46
46,107913,107981,107953,107966,1,peg.86,-4.6,3.0,term_47
47,111039,111084,111056,111069,1,peg.89,-6.8,1.0,term_48
48,112226,112289,112263,112274,1,peg.91,-3.2,2.5,term_49
49,114113,114178,114128,114146,-1,peg.93,-7.9,3.7,term_50
50,114115,114161,114128,114146,1,peg.92,-7.0,1.2,term_51
51,123453,123512,123481,123497,1,peg.98,-6.4,3.2,term_52
52,127402,127457,127429,127442,1,peg.100,-3.8,1.5,term_53
53,129750,129807,129777,129792,1,peg.102,-7.3,1.7,term_54
54,130797,130865,130833,130850,1,rna.1,-10.2,4.4,term_55
55,130818,130878,130833,130850,-1,peg.104,-9.3,3.5,term_56
56,133562,133612,133583,133597,1,peg.107,-5.4,3.0,term_57
57,140581,140653,140612,140638,1,peg.115,-5.9,2.8,term_58
58,142866,142949,142896,142934,1,peg.117,-18.7,4.2,term_59
59,142881,142967,142896,142934,-1,peg.118,-13.6,0.1,term_60
60,146672,146719,146684,146704,1,peg.120,-5.1,2.8,term_61
61,157707,157750,157720,157735,1,peg.141,-4.4,2.4,term_62
62,162229,162288,162256,162273,1,peg.150,-5.3,3.1,term_63
63,166387,166446,166416,166431,1,peg.154,-6.7,3.2,term_64
64,173328,173384,173351,173369,1,peg.156,-7.1,3.6,term_65
65,173336,173386,173351,173369,-1,peg.157,-4.2,1.6,term_66
66,181401,181467,181437,181452,1,peg.158,-3.4,2.5,term_67
67,186688,186749,186719,186734,1,peg.162,-6.6,2.6,term_68
68,186704,186761,186719,186734,-1,peg.163,-6.6,4.0,term_69
69,187239,187302,187255,187273,-1,peg.164,-6.7,2.0,term_70
70,190799,190854,190827,190839,1,peg.166,-3.6,0.8,term_71
71,191300,191346,191319,191331,1,rna.5,-5.6,3.1,term_72
72,191569,191630,191595,191615,1,rna.7,-4.3,1.6,term_73
73,196656,196706,196676,196691,1,rna.10,-7.0,3.3,term_74
74,199354,199441,199363,199424,1,peg.168,-11.8,0.8,term_75
75,202663,202722,202693,202707,1,peg.172,-5.1,3.2,term_76
76,205246,205316,205287,205300,1,peg.174,-6.7,5.4,term_77
77,205272,205329,205287,205300,-1,peg.175,-4.8,3.2,term_78
78,208343,208401,208375,208386,1,peg.177,-3.2,1.3,term_79
79,212287,212353,212323,212338,1,peg.180,-3.9,1.9,term_80
80,215844,215896,215866,215881,1,peg.184,-4.8,2.4,term_81
81,215851,215905,215866,215881,-1,peg.185,-3.3,1.9,term_82
82,217684,217747,217702,217732,1,peg.186,-12.2,1.1,term_83
83,219236,219291,219263,219276,1,peg.190,-5.7,4.2,term_84
84,219290,219339,219305,219320,-1,peg.191,-1.7,1.5,term_85
85,223946,223999,223966,223984,1,peg.195,-5.1,2.9,term_86
86,228011,228068,228038,228053,1,peg.200,-6.0,4.5,term_87
87,228233,228295,228248,228285,-1,peg.202,-5.4,1.4,term_88
88,228696,228745,228715,228729,1,peg.201,-3.7,3.3,term_89
89,233113,233166,233138,233151,1,peg.206,-4.2,2.5,term_90
90,237521,237596,237549,237581,1,peg.211,-12.9,3.6,term_91
91,240022,240079,240045,240064,1,peg.213,-9.8,3.4,term_92
92,240030,240095,240045,240064,-1,peg.214,-8.9,2.7,term_93
93,242344,242409,242370,242393,1,peg.215,-11.6,3.2,term_94
94,244928,244986,244956,244971,1,peg.217,-6.9,3.2,term_95
95,250479,250529,250499,250514,1,peg.223,-4.3,1.3,term_96
96,250484,250530,250499,250514,-1,peg.224,-3.4,1.7,term_97
97,251005,251058,251020,251034,-1,rna.11,-5.9,3.6,term_98
98,251909,251975,251941,251960,1,peg.225,-10.4,3.4,term_99
99,251926,251987,251941,251960,-1,peg.226,-9.5,2.7,term_100
100,254305,254351,254324,254336,1,peg.228,-4.3,0.7,term_101
101,256045,256111,256080,256096,1,peg.230,-6.0,2.2,term_102
102,259182,259243,259216,259227,1,peg.231,-4.8,4.2,term_103
103,264189,264248,264218,264233,1,peg.235,-3.5,2.2,term_104
104,266450,266505,266476,266490,1,peg.238,-3.3,1.3,term_105
105,267670,267733,267702,267718,1,peg.239,-4.5,2.0,term_106
106,269652,269702,269673,269687,1,peg.240,-5.2,3.9,term_107
107,272707,272755,272723,272740,1,peg.243,-6.1,1.4,term_108
108,272766,272825,272781,272799,-1,peg.244,-6.9,2.8,term_109
109,280619,280668,280640,280653,1,peg.249,-4.0,3.7,term_110
110,282139,282192,282160,282177,1,peg.251,-2.6,1.2,term_111
111,282744,282816,282770,282801,1,peg.252,-8.3,2.8,term_112
112,284153,284218,284181,284203,1,peg.253,-7.3,5.3,term_113
113,285914,285957,285930,285942,1,peg.255,-4.4,3.0,term_114
114,288771,288837,288803,288822,1,peg.258,-5.4,3.0,term_115
115,296523,296599,296550,296584,1,peg.260,-10.9,2.0,term_116
116,302344,302409,302370,302394,1,peg.262,-13.1,2.9,term_117
117,306469,306525,306493,306509,1,peg.266,-8.5,2.9,term_118
118,314031,314096,314066,314081,1,peg.272,-4.8,2.5,term_119
119,315666,315721,315684,315706,1,peg.273,-7.6,2.0,term_120
120,320279,320334,320299,320319,1,peg.275,-7.1,2.6,term_121
121,320916,320962,320929,320947,1,peg.276,-6.2,2.4,term_122
122,323264,323310,323281,323295,1,peg.277,-3.7,2.7,term_123
123,324799,324851,324821,324836,1,peg.280,-2.2,2.3,term_124
124,326801,326850,326822,326835,1,rna.12,-5.7,4.6,term_125
125,336296,336385,336351,336370,1,peg.289,-10.7,2.4,term_126
126,348706,348780,348750,348765,1,peg.302,-5.5,3.0,term_127
127,353376,353443,353398,353428,1,peg.305,-10.2,0.8,term_128
128,353383,353437,353398,353428,-1,peg.306,-5.3,1.2,term_129
129,361505,361566,361529,361551,1,peg.310,-6.1,2.8,term_130
130,365583,365663,365614,365648,1,peg.312,-14.0,1.8,term_131
131,369442,369499,369471,369484,1,peg.314,-5.5,2.9,term_132
132,375107,375179,375144,375164,1,peg.317,-6.5,1.4,term_133
133,375129,375194,375144,375164,-1,peg.318,-7.0,2.4,term_134
134,377195,377256,377220,377241,1,peg.320,-5.2,1.4,term_135
135,380117,380191,380132,380159,-1,peg.323,-11.9,4.3,term_136
136,380131,380174,380132,380159,1,peg.322,-6.2,0.5,term_137
137,386098,386152,386116,386139,-1,peg.327,-3.3,1.1,term_138
138,392745,392814,392780,392799,1,peg.334,-7.5,4.2,term_139
139,392765,392830,392780,392799,-1,peg.335,-7.0,1.2,term_140
140,393960,394013,393978,393998,1,peg.336,-8.2,2.0,term_141
141,393963,394037,393978,393998,-1,peg.337,-8.8,4.7,term_142
142,396911,396972,396941,396957,1,peg.340,-6.4,2.9,term_143
143,399811,399879,399843,399864,1,peg.342,-7.9,2.5,term_144
144,401176,401248,401219,401233,1,peg.345,-3.2,1.9,term_145
145,401204,401282,401219,401233,-1,peg.346,-3.2,0.7,term_146
146,404773,404838,404788,404816,-1,peg.347,-11.3,3.3,term_147
147,410135,410196,410168,410181,1,peg.352,-2.4,2.4,term_148
148,410152,410212,410167,410182,-1,peg.353,-3.9,2.3,term_149
149,412750,412811,412765,412780,-1,peg.354,-4.8,2.8,term_150
150,415483,415540,415498,415516,-1,peg.355,-5.6,0.9,term_151
151,421613,421677,421641,421662,1,peg.360,-6.3,1.3,term_152
152,421625,421696,421640,421663,-1,peg.361,-6.3,2.2,term_153
153,422347,422391,422362,422378,-1,peg.362,-7.3,3.5,term_154
154,422638,422715,422653,422680,-1,peg.363,-5.2,2.6,term_155
155,423880,423942,423895,423913,-1,peg.365,-5.5,1.8,term_156
156,426961,427026,426976,426991,-1,peg.367,-4.7,3.8,term_157
157,429764,429828,429792,429813,1,peg.369,-11.8,4.9,term_158
158,429775,429837,429792,429813,-1,peg.370,-12.2,3.1,term_159
159,432316,432380,432331,432346,-1,peg.372,-5.4,4.3,term_160
160,436421,436481,436448,436466,1,peg.377,-3.7,1.9,term_161
161,436433,436476,436448,436466,-1,peg.378,-5.8,2.4,term_162
162,437602,437665,437617,437641,-1,peg.379,-7.3,5.0,term_163
163,438842,438887,438857,438871,-1,peg.380,-5.3,3.4,term_164
164,439987,440041,440003,440021,-1,peg.381,-4.0,2.9,term_165
165,441372,441428,441398,441413,1,peg.382,-3.8,2.7,term_166
166,441436,441488,441451,441466,-1,rna.13,-4.1,2.0,term_167
167,442003,442048,442018,442033,-1,peg.383,-3.2,2.1,term_168
168,443999,444068,444014,444036,-1,peg.386,-8.8,0.5,term_169
169,450243,450295,450258,450279,-1,peg.391,-12.5,4.1,term_170
170,451534,451586,451549,451563,-1,peg.392,-3.2,2.4,term_171
171,455959,456017,455975,455992,-1,peg.397,-10.3,5.3,term_172
