,tss,strand,tss_type,MEME_p_value,rspm,tss_box_10_dist,box_10_left,box_10_right,locus_tag
0,1542,1,p-gTSS,1.3e-05,528,7,1529,1534,TSS_1
1,3701,-1,p-gTSS,,270,6,3708,3713,TSS_2
2,3706,-1,p-gTSS,0.0018,285,6,3713,3718,TSS_3
3,3729,1,p-gTSS,0.00019,42,6,3717,3722,TSS_4
4,5267,1,p-gTSS,0.00038,1088,7,5254,5259,TSS_5
5,9821,1,p-gTSS,0.0024,189,6,9809,9814,TSS_6
6,13883,1,p-gTSS,3.5e-05,902,6,13871,13876,TSS_7
7,14712,1,p-gTSS,0.00049,83,6,14700,14705,TSS_8
8,20056,-1,p-gTSS,7.3e-05,116,7,20064,20069,TSS_9
9,21710,-1,p-gTSS,0.00043,77,6,21717,21722,TSS_10
10,23394,-1,p-gTSS,0.00016,20,7,23402,23407,TSS_11
11,24755,-1,p-gTSS,0.0001,150,10,24766,24771,TSS_12
12,24759,-1,p-gTSS,,26,6,24766,24771,TSS_13
13,24856,1,p-gTSS,2.9e-05,59,6,24844,24849,TSS_14
14,25811,1,p-gTSS,4.3e-05,1427,6,25799,25804,TSS_15
15,27737,1,p-gTSS,1.3e-05,971,6,27725,27730,TSS_16
16,29947,1,p-gTSS,0.0017,123,6,29935,29940,TSS_17
17,30987,1,p-gTSS,0.00049,1704,6,30975,30980,TSS_18
18,31877,-1,a-gTSS,0.00056,147,7,31885,31890,TSS_19
19,31960,1,p-gTSS,0.00089,1288,6,31948,31953,TSS_20
20,40126,1,p-gTSS,2e-05,1266,4,40116,40121,TSS_21
21,43728,1,p-gTSS,8.6e-05,117,6,43716,43721,TSS_22
22,49483,-1,p-gTSS,0.0015,467,6,49490,49495,TSS_23
23,49543,1,p-gTSS,0.00014,272,7,49530,49535,TSS_24
24,51180,1,p-gTSS,2.9e-05,98,6,51168,51173,TSS_25
25,61108,1,p-gTSS,0.00022,207,7,61095,61100,TSS_26
26,62573,-1,p-gTSS,2e-06,881,6,62580,62585,TSS_27
27,62611,1,p-gTSS,4.3e-05,92,7,62598,62603,TSS_28
28,63458,1,p-gTSS,0.00022,2200,6,63446,63451,TSS_29
29,64438,-1,a-gTSS,0.00022,105743,6,64445,64450,TSS_30
30,64513,1,p-gTSS,5.1e-05,43,4,64503,64508,TSS_31
31,65734,1,p-gTSS,8.6e-05,63,11,65717,65722,TSS_32
32,67963,-1,p-gTSS,3.8e-07,359,6,67970,67975,TSS_33
33,69934,-1,p-gTSS,0.0018,3426,6,69941,69946,TSS_34
34,69962,-1,p-gTSS,0.00029,32,7,69970,69975,TSS_35
35,70555,-1,p-gTSS,0.00022,20,7,70563,70568,TSS_36
36,70577,1,p-gTSS,0.0001,324,6,70565,70570,TSS_37
37,80202,1,p-gTSS,1.6e-05,1253,6,80190,80195,TSS_38
38,86119,1,p-gTSS,0.0022,1202,6,86107,86112,TSS_39
39,86422,1,p-gTSS,0.00029,365,7,86409,86414,TSS_40
40,91730,1,p-gTSS,2.4e-05,9433,6,91718,91723,TSS_41
41,94531,1,p-gTSS,0.0014,198,7,94518,94523,TSS_42
42,95279,1,p-gTSS,5.1e-05,548,6,95267,95272,TSS_43
43,98050,1,p-gTSS,,85,3,98041,98046,TSS_44
44,102793,1,p-gTSS,2.9e-05,907,6,102781,102786,TSS_45
45,103750,1,p-gTSS,0.00089,85,6,103738,103743,TSS_46
46,104618,1,p-gTSS,0.0014,592,6,104606,104611,TSS_47
47,106479,1,p-gTSS,6.1e-05,416,6,106467,106472,TSS_48
48,108017,1,p-gTSS,0.00056,203,6,108005,108010,TSS_49
49,111048,1,p-gTSS,0.0001,4201,6,111036,111041,TSS_50
50,112307,1,p-gTSS,1.6e-05,18,4,112297,112302,TSS_51
51,114686,-1,p-gTSS,0.00025,274,6,114693,114698,TSS_52
52,114706,1,p-gTSS,0.00022,154,3,114697,114702,TSS_53
53,124547,1,p-gTSS,3.5e-05,1154,6,124535,124540,TSS_54
54,129281,1,p-gTSS,7.3e-05,1470,6,129269,129274,TSS_55
55,130728,1,p-gTSS,0.0029,2419,6,130716,130721,TSS_56
56,131170,-1,p-gTSS,0.00016,636,6,131177,131182,TSS_57
57,131205,1,p-gTSS,1.6e-05,314,4,131195,131200,TSS_58
58,132907,1,p-gTSS,0.00019,64,6,132895,132900,TSS_59
59,133655,1,p-gTSS,0.00038,12220,6,133643,133648,TSS_60
60,140670,1,p-gTSS,0.0012,80,5,140659,140664,TSS_61
61,144292,-1,p-gTSS,0.0008,62,6,144299,144304,TSS_62
62,144313,1,p-gTSS,0.00012,95,6,144301,144306,TSS_63
63,146834,1,p-gTSS,0.0011,2941,6,146822,146827,TSS_64
64,157778,1,p-gTSS,3.5e-05,307,6,157766,157771,TSS_65
65,162316,1,p-gTSS,4.2e-06,67,6,162304,162309,TSS_66
66,166288,1,p-gTSS,0.0027,905,6,166276,166281,TSS_67
67,166461,1,p-gTSS,1.5e-07,102,5,166450,166455,TSS_68
68,175874,-1,p-gTSS,0.00038,578,6,175881,175886,TSS_69
69,175942,1,p-gTSS,0.0034,381,7,175929,175934,TSS_70
70,181518,1,p-gTSS,0.00071,343,6,181506,181511,TSS_71
71,187212,-1,p-gTSS,0.00089,1069,7,187220,187225,TSS_72
72,188214,-1,p-gTSS,4.3e-05,178,6,188221,188226,TSS_73
73,188236,-1,p-gTSS,0.00089,11,6,188243,188248,TSS_74
74,188246,1,p-gTSS,0.0047,12,6,188234,188239,TSS_75
75,188260,1,p-gTSS,6.1e-05,208,7,188247,188252,TSS_76
76,190922,1,p-gTSS,0.00033,2183,7,190909,190914,TSS_77
77,191405,1,p-gTSS,0.00025,1269,7,191392,191397,TSS_78
78,191719,1,p-gTSS,0.0015,456,7,191706,191711,TSS_79
79,196745,1,p-gTSS,0.0022,258,7,196732,196737,TSS_80
80,198412,1,p-gTSS,0.00043,1199,5,198401,198406,TSS_81
81,199447,1,p-gTSS,0.0029,478,6,199435,199440,TSS_82
82,200969,1,p-gTSS,0.00033,127943,6,200957,200962,TSS_83
83,202782,1,p-gTSS,0.012,18150,6,202770,202775,TSS_84
84,203809,1,p-gTSS,0.0008,1043,7,203796,203801,TSS_85
85,205793,-1,p-gTSS,0.0001,211,6,205800,205805,TSS_86
86,205848,1,p-gTSS,1.6e-05,1044,7,205835,205840,TSS_87
87,208041,1,p-gTSS,0.0051,397,6,208029,208034,TSS_88
88,208494,1,p-gTSS,0.00022,813,6,208482,208487,TSS_89
89,212393,1,p-gTSS,0.00063,41,7,212380,212385,TSS_90
90,216968,-1,p-gTSS,0.0011,87,6,216975,216980,TSS_91
91,217078,1,p-gTSS,8.5e-06,1249,6,217066,217071,TSS_92
92,217626,1,p-gTSS,2e-05,484,6,217614,217619,TSS_93
93,220349,-1,p-gTSS,0.0012,225,7,220357,220362,TSS_94
94,220389,-1,p-gTSS,0.00089,90,6,220396,220401,TSS_95
95,220401,1,p-gTSS,0.00016,457,6,220389,220394,TSS_96
96,221245,1,p-gTSS,0.00043,297,8,221231,221236,TSS_97
97,224034,1,p-gTSS,0.00019,470,6,224022,224027,TSS_98
98,228085,1,p-gTSS,0.00056,91,7,228072,228077,TSS_99
99,229193,1,p-gTSS,7.3e-05,111,5,229182,229187,TSS_100
