,left,right,name,strand,gene_names,tss,tss_type,locus_tag,box_10_left,box_10_right,terminator_left,terminator_right
1,1542,2720,TU_002,1,peg.2,1542,gTSS,TU_002,1529.0,1534.0,2657.0,2720.0
2,2675,3701,TU_003,-1,peg.3,3701,gTSS,TU_003,3708.0,3713.0,2675.0,2734.0
3,2675,3706,TU_004,-1,peg.3,3706,gTSS,TU_004,3713.0,3718.0,2675.0,2734.0
4,3729,5130,TU_005,1,peg.4;peg.5,3729,gTSS,TU_005,3717.0,3722.0,5071.0,5130.0
5,5267,9744,TU_006,1,peg.6;peg.7,5267,gTSS,TU_006,5254.0,5259.0,9689.0,9744.0
6,9821,13877,TU_007,1,peg.8;peg.9,9821,gTSS,TU_007,9809.0,9814.0,13815.0,13877.0
7,13883,14671,TU_008,1,peg.10,13883,gTSS,TU_008,13871.0,13876.0,14615.0,14671.0
8,14712,18691,TU_009,1,peg.11;peg.12;peg.13,14712,gTSS,TU_009,14700.0,14705.0,18621.0,18691.0
9,18638,20056,TU_010,-1,peg.14,20056,gTSS,TU_010,20064.0,20069.0,18638.0,18695.0
10,20074,21710,TU_011,-1,peg.15,21710,gTSS,TU_011,21717.0,21722.0,20074.0,20124.0
11,21717,23394,TU_012,-1,peg.16,23394,gTSS,TU_012,23402.0,23407.0,21717.0,21782.0
12,23428,24755,TU_013,-1,peg.17,24755,gTSS,TU_013,24766.0,24771.0,23428.0,23482.0
13,23428,24759,TU_014,-1,peg.17,24759,gTSS,TU_014,24766.0,24771.0,23428.0,23482.0
14,24856,25796,TU_015,1,peg.18,24856,gTSS,TU_015,24844.0,24849.0,25714.0,25796.0
15,25811,27711,TU_016,1,peg.19,25811,gTSS,TU_016,25799.0,25804.0,27651.0,27711.0
16,27737,30096,TU_017,1,peg.20,27737,gTSS,TU_017,27725.0,27730.0,30020.0,30096.0
17,27737,31110,TU_018,1,peg.20;peg.21,27737,gTSS,TU_018,27725.0,27730.0,31045.0,31110.0
18,27737,31864,TU_019,1,peg.20;peg.21;peg.22,27737,gTSS,TU_019,27725.0,27730.0,31802.0,31864.0
19,29947,31110,TU_020,1,peg.21,29947,gTSS,TU_020,29935.0,29940.0,31045.0,31110.0
20,29947,31864,TU_021,1,peg.21;peg.22,29947,gTSS,TU_021,29935.0,29940.0,31802.0,31864.0
21,30987,31864,TU_022,1,peg.22,30987,gTSS,TU_022,30975.0,30980.0,31802.0,31864.0
22,31960,40085,TU_023,1,peg.23;peg.24;peg.25;peg.26;peg.27,31960,gTSS,TU_023,31948.0,31953.0,40022.0,40085.0
23,37145,40085,TU_024,1,peg.26;peg.27,37145,p-iTSS,TU_024,37133.0,37138.0,40022.0,40085.0
24,40126,42987,TU_025,1,peg.28;peg.29;peg.30,40126,gTSS,TU_025,40116.0,40121.0,42919.0,42987.0
25,42941,43716,TU_026,-1,peg.31,43716,gTSS-no-motif,TU_026,,,42941.0,42989.0
26,43728,44592,TU_027,1,peg.32,43728,gTSS,TU_027,43716.0,43721.0,44513.0,44592.0
27,47212,48717,TU_028,1,peg.34,47212,p-iTSS,TU_028,47200.0,47205.0,48656.0,48717.0
28,48674,49483,TU_029,-1,peg.35,49483,gTSS,TU_029,49490.0,49495.0,48674.0,48738.0
29,49543,51131,TU_030,1,peg.36,49543,gTSS,TU_030,49530.0,49535.0,51078.0,51131.0
30,51180,61091,TU_031,1,peg.37;peg.38;peg.39;peg.40;peg.41;peg.42;peg.43;peg.44,51180,gTSS,TU_031,51168.0,51173.0,61028.0,61091.0
31,61108,61960,TU_032,1,peg.45,61108,gTSS,TU_032,61095.0,61100.0,61902.0,61960.0
32,61917,62573,TU_033,-1,peg.46,62573,gTSS,TU_033,62580.0,62585.0,61917.0,61972.0
33,62611,64308,TU_034,1,peg.47;peg.48,62611,gTSS,TU_034,62598.0,62603.0,64255.0,64308.0
34,63458,64308,TU_035,1,peg.48,63458,gTSS,TU_035,63446.0,63451.0,64255.0,64308.0
35,64513,64876,TU_036,1,peg.49,64513,gTSS,TU_036,64503.0,64508.0,64822.0,64876.0
36,65734,66414,TU_037,1,peg.52,65734,gTSS,TU_037,65717.0,65722.0,66346.0,66414.0
37,66368,67963,TU_038,-1,peg.53,67963,gTSS,TU_038,67970.0,67975.0,66368.0,66428.0
38,68917,69934,TU_039,-1,peg.55,69934,gTSS,TU_039,69941.0,69946.0,68917.0,68980.0
39,68917,69962,TU_040,-1,peg.55,69962,gTSS,TU_040,69970.0,69975.0,68917.0,68980.0
40,68917,70555,TU_041,-1,peg.55;peg.56,70555,gTSS,TU_041,70563.0,70568.0,68917.0,68980.0
41,70577,73488,TU_042,1,peg.57,70577,gTSS,TU_042,70565.0,70570.0,73441.0,73488.0
42,80202,86395,TU_043,1,peg.62;peg.63;peg.64;peg.65;peg.66;peg.67,80202,gTSS,TU_043,80190.0,80195.0,86352.0,86395.0
43,82589,86395,TU_044,1,peg.64;peg.65;peg.66;peg.67,82589,p-iTSS,TU_044,82577.0,82582.0,86352.0,86395.0
44,84936,86395,TU_045,1,peg.66;peg.67,84936,p-iTSS,TU_045,84924.0,84929.0,86352.0,86395.0
45,86119,86395,TU_046,1,peg.67,86119,gTSS,TU_046,86107.0,86112.0,86352.0,86395.0
46,86422,91689,TU_047,1,peg.68;peg.69;peg.70,86422,gTSS,TU_047,86409.0,86414.0,91643.0,91689.0
47,91730,93140,TU_048,1,peg.71,91730,gTSS,TU_048,91718.0,91723.0,93077.0,93140.0
48,94531,95420,TU_049,1,peg.73,94531,gTSS,TU_049,94518.0,94523.0,95341.0,95420.0
49,95279,99713,TU_050,1,peg.74;peg.75;peg.76;peg.77,95279,gTSS,TU_050,95267.0,95272.0,99666.0,99713.0
50,98050,99713,TU_051,1,peg.76;peg.77,98050,gTSS,TU_051,98041.0,98046.0,99666.0,99713.0
51,99234,100447,TU_052,-1,peg.78,100447,p-iTSS-no-motif,TU_052,,,99234.0,99323.0
52,102793,104552,TU_053,1,peg.81;peg.82;peg.83,102793,gTSS,TU_053,102781.0,102786.0,104489.0,104552.0
53,103750,104552,TU_054,1,peg.82;peg.83,103750,gTSS,TU_054,103738.0,103743.0,104489.0,104552.0
54,104618,106471,TU_055,1,peg.84;peg.85,104618,gTSS,TU_055,104606.0,104611.0,106412.0,106471.0
55,106479,107981,TU_056,1,peg.86,106479,gTSS,TU_056,106467.0,106472.0,107913.0,107981.0
56,108017,111084,TU_057,1,peg.87;peg.88;peg.89,108017,gTSS,TU_057,108005.0,108010.0,111039.0,111084.0
57,111048,112289,TU_058,1,peg.90;peg.91,111048,gTSS,TU_058,111036.0,111041.0,112226.0,112289.0
58,112307,114161,TU_059,1,peg.92,112307,gTSS,TU_059,112297.0,112302.0,114115.0,114161.0
59,114113,114686,TU_060,-1,peg.93,114686,gTSS,TU_060,114693.0,114698.0,114113.0,114178.0
60,114706,123512,TU_061,1,peg.94;peg.95;peg.96;peg.97;peg.98,114706,gTSS,TU_061,114697.0,114702.0,123453.0,123512.0
61,124547,127457,TU_062,1,peg.100,124547,gTSS,TU_062,124535.0,124540.0,127402.0,127457.0
62,129281,129807,TU_063,1,peg.102,129281,gTSS,TU_063,129269.0,129274.0,129750.0,129807.0
63,130728,130865,TU_064,1,rna.1,130728,gTSS,TU_064,130716.0,130721.0,130797.0,130865.0
64,130818,131170,TU_065,-1,peg.104,131170,gTSS,TU_065,131177.0,131182.0,130818.0,130878.0
65,131205,133612,TU_066,1,peg.105;peg.106;peg.107,131205,gTSS,TU_066,131195.0,131200.0,133562.0,133612.0
66,132907,133612,TU_067,1,peg.107,132907,gTSS,TU_067,132895.0,132900.0,133562.0,133612.0
67,133655,140653,TU_068,1,peg.108;peg.109;peg.110;peg.111;peg.112;peg.113;peg.114;peg.115,133655,gTSS,TU_068,133643.0,133648.0,140581.0,140653.0
68,140670,142949,TU_069,1,peg.116;peg.117,140670,gTSS,TU_069,140659.0,140664.0,142866.0,142949.0
69,142881,144292,TU_070,-1,peg.118,144292,gTSS,TU_070,144299.0,144304.0,142881.0,142967.0
70,144313,146719,TU_071,1,peg.119;peg.120,144313,gTSS,TU_071,144301.0,144306.0,146672.0,146719.0
71,146834,157750,TU_072,1,peg.121;peg.122;peg.123;peg.124;peg.125;peg.126;peg.127;peg.128;peg.129;peg.130;peg.131;peg.132;peg.133;peg.134;peg.135;peg.136;peg.137;peg.138;peg.139;peg.140;peg.141,146834,gTSS,TU_072,146822.0,146827.0,157707.0,157750.0
72,156193,157750,TU_073,1,peg.141,156193,p-iTSS,TU_073,156183.0,156188.0,157707.0,157750.0
