"gene","iM","Val"
"b1880","FlhDC-1",-5
"b1880","FlhDC-2",-9.62988373707766
"b1939","FlhDC-1",-5
"b1939","FlhDC-2",-10.1198857841255
"b1948","FlhDC-1",-3
"b1948","FlhDC-2",-9.82274801548625
"b1949","FlhDC-1",-8
"b1949","FlhDC-2",-9.68675006342486
"b1946","FlhDC-1",-8
"b1946","FlhDC-2",-10.2470171503353
"b1937","FlhDC-1",-10
"b1937","FlhDC-2",-9.93171665950475
"b1072","FlhDC-1",-8
"b1072","FlhDC-2",-9.98726582845007
"b1904","FlhDC-1",-9
"b1904","FlhDC-2",-9.95069577111277
"b1879","FlhDC-1",-8
"b1879","FlhDC-2",-9.41672274942756
"b1950","FlhDC-1",-10
"b1950","FlhDC-2",-9.42124257335733
"b1947","FlhDC-1",-7
"b1947","FlhDC-2",-9.97901846635097
"b1081","FlhDC-1",-6
"b1081","FlhDC-2",-9.81493148051949
"b1940","FlhDC-1",-8
"b1940","FlhDC-2",-10.1679647490184
"b1080","FlhDC-1",-5
"b1080","FlhDC-2",-9.92772060565672
"b1878","FlhDC-1",-10
"b1878","FlhDC-2",-9.46100293729607
