"gene","iM","Val"
"b1880","FlhDC-1",-9.64866449734541
"b1880","FlhDC-2",-3
"b1939","FlhDC-1",-9.9733677523486
"b1939","FlhDC-2",-7
"b1948","FlhDC-1",-9.81723704312146
"b1948","FlhDC-2",-6
"b1949","FlhDC-1",-9.72736838184575
"b1949","FlhDC-2",-3
"b1946","FlhDC-1",-10.1982103041692
"b1946","FlhDC-2",-8
"b1937","FlhDC-1",-10.0654003106833
"b1937","FlhDC-2",-7
"b1072","FlhDC-1",-9.58995865530692
"b1072","FlhDC-2",-10
"b1904","FlhDC-1",-10.2473781693712
"b1904","FlhDC-2",-6
"b1879","FlhDC-1",-9.24430390989362
"b1879","FlhDC-2",-3
"b1950","FlhDC-1",-9.86768256644262
"b1950","FlhDC-2",-3
"b1947","FlhDC-1",-9.88101124273385
"b1947","FlhDC-2",-7
"b1081","FlhDC-1",-9.83172641033583
"b1081","FlhDC-2",-4
"b1940","FlhDC-1",-9.80672607674239
"b1940","FlhDC-2",-3
"b1080","FlhDC-1",-9.82995947558871
"b1080","FlhDC-2",-9
"b1878","FlhDC-1",-9.54345518034081
"b1878","FlhDC-2",-6
