,b0475,b0605,b0606,b1749,b2436,b3942
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,0.12655842775929074,2.148373406125124,0.3231630007183748,0.13998187065120613,0.1,10.0
KeqOpening,1.151959822079694,19.921161425586792,2.9467615624706847,1.2742981940674873,0.3410042281354801,0.10145237001950846
KdRNAPCrp,1.4824218750000773e-05,2.004492187500079e-05,6.928710937500795e-06,2.4521484375000746e-05,5.332031250000799e-06,3.6328125000001434e-06
