Parameter,Value
act_TF_conc_lo,1.7003369985287221e-16
act_TF_conc_up,0.0002402951679837
act_Kd_lo,7.128200179539404e-09
act_Kd_up,1.1241623576073756
inh_TF_conc_lo,1.7003369985287221e-16
inh_TF_conc_up,0.0002402951679837
inh_Kd_lo,7.128200179539404e-09
inh_Kd_up,1.1241623576073756
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,1.499519274300735e-10
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
