,b1798,b2209,b2845,b3673
RNAP,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001
kEscape,0.1,0.10752045727564932,0.1,0.1
KeqOpening,0.24630772775879065,0.9785030593034233,0.23474560579301273,0.0868658394308033
KdRNAPCrp,3.612304687500073e-05,1.9541015625000752e-05,1.5249023437500763e-05,3.2299804687508044e-06
