,locus_tag,name,left,right,strand
0,new_24_297_c,S2,24,297,-1
1,new_299_1067_c,S4,299,1067,-1
2,BSU_00010,dnaA,410,1750,1
4,BSU_00030,yaaA,3206,3421,1
6,BSU_00050,remB,4567,4812,1
8,BSU_00070,gyrA,6994,9459,1
9,BSU_rRNA_1,rrnO-16S,9810,11364,1
10,BSU_tRNA_5,trnO-Ile,11463,11540,1
11,BSU_tRNA_6,trnO-Ala,11551,11627,1
12,BSU_00080,yaaC,14847,15794,-1
13,BSU_00090,guaB,15915,17381,1
14,new_17238_17833_c,S9,17238,17833,-1
15,BSU_00100,dacA,17534,18865,1
17,new_19194_19923_c,S13,19194,19923,-1
19,BSU_misc_RNA_1,T-box_tboS,20610,20823,1
21,BSU_tRNA_7,trnSL-Ser1,22291,22384,1
22,BSU_00140,dck,22496,23149,-1
23,BSU_00160,yaaH,23868,25151,-1
24,BSU_00170,yaaI,25221,25766,-1
25,BSU_00180,yaaJ,25852,26337,1
26,BSU_misc_RNA_2,scr,26379,26732,1
27,BSU_00190,dnaX,26814,28505,1
28,BSU_00200,yaaK,28529,28852,1
29,BSU_rRNA_4,rrnA-16S,30279,31832,1
30,BSU_tRNA_8,trnA-Ile,31931,32008,1
31,BSU_00240,csfB,35531,35725,1
32,BSU_00250,xpaC,35845,36459,1
35,BSU_00280,tmk,39159,39797,1
36,BSU_00290,darA,39871,40200,1
37,BSU_00370,abrB,44848,45138,-1
38,BSU_00380,metS,45633,47627,1
39,new_47673_50019_c,S25,47673,50019,-1
41,BSU_00400,yabE,48629,49942,1
42,BSU_00410,rnmV,50087,50647,1
43,BSU_00420,ksgA,50640,51518,1
44,BSU_00430,yabG,51680,52552,1
45,BSU_00440,veg,52763,53023,1
46,BSU_00450,sspF,53183,53368,1
47,new_53363_55717_c,S31,53363,55717,-1
48,BSU_00460,ispE,53516,54385,1
49,BSU_00490,spoVG,55866,56159,1
50,BSU_00500,gcaD,56352,57722,1
53,BSU_00530,spoVC,59504,60070,1
57,BSU_00570,yabM,64817,66415,1
59,BSU_00590,yabO,67877,68137,1
61,BSU_00610,yabQ,68515,69150,1
63,BSU_00630,yabR,69626,70012,1
64,BSU_tRNA_10,trnSL-Met1,70180,70257,1
65,BSU_00640,spoIIE,70538,73021,1
66,new_71190_71799_c,S37,71190,71799,-1
68,BSU_00660,yabT,73809,74825,1
69,BSU_00670,tilS,74929,76347,1
70,BSU_00680,hprT,76344,76886,1
71,BSU_00690,ftsH,76984,78897,1
72,BSU_00700,coaX,79092,79868,1
74,BSU_00720,yacD,80802,81695,1
75,BSU_00730,cysK,81771,82697,1
76,BSU_00740,pabB,82864,84276,1
78,BSU_00760,pabC,84874,85755,1
80,BSU_00780,folB,86587,86949,1
82,BSU_00800,yazB,87401,87610,1
84,new_88050_89566_c,S41,88050,89566,-1
85,BSU_rRNA_6,rrnJ-16S,90536,92089,1
86,BSU_00830,ctsR,101449,101913,1
88,BSU_00850,mcsB,102484,103575,1
90,BSU_00870,radA,106096,107472,1
92,BSU_00890,yacL,108674,109774,1
93,BSU_00920,gltX,111047,112498,1
95,BSU_00980,sigH,116600,117256,1
97,BSU_01020,rplK,118591,119016,1
100,BSU_01070,rpoB,121919,125500,1
102,BSU_01090,rplGB,129340,129588,1
103,BSU_01140,ybaC,134171,135127,1
104,BSU_01150,rpsJ,135364,135672,1
105,BSU_01480,truA,152937,153680,1
106,new_153039_153507_c,S58,153039,153507,-1
107,BSU_misc_RNA_4,ldlM,153736,153793,1
108,BSU_01510,ybaJ,155156,155923,1
109,BSU_01520,ybaK,156109,156552,1
110,BSU_01530,cwlD,156612,157325,1
111,BSU_01540,salA,157421,158479,1
112,BSU_01550,gerD,158515,159072,-1
113,BSU_01570,pdaB,159779,160543,-1
114,BSU_rRNA_23,rrnI-16S,160893,162445,1
115,BSU_01580,ybaR,177083,178519,1
116,BSU_01590,ybaS,178665,179585,1
117,BSU_01600,ybbA,179595,180347,-1
118,BSU_01610,feuC,180344,181354,-1
119,BSU_01620,feuB,181347,182351,-1
120,BSU_01640,btr,183414,185003,-1
121,BSU_01650,ybbC,185194,186438,-1
123,BSU_01720,ybbK,193570,194025,-1
124,BSU_tRNA_75,trnSL-Glu2,194204,194279,1
125,BSU_01730,sigW,194849,195412,1
126,BSU_01740,rsiW,195426,196052,1
127,BSU_01750,cdaA,196213,197034,1
129,BSU_01770,glmM,198497,199843,1
130,BSU_misc_RNA_5,glmS ribozyme,200016,200187,1
131,BSU_01780,glmS,200277,202079,1
132,BSU_01800,alkA,202547,203458,-1
133,BSU_01810,adaA,203729,204364,1
134,new_204977_205210,S72,204977,205210,1
135,BSU_01889,ybzH,211429,211731,1
136,BSU_01890,ybcL,211859,213031,1
137,BSU_01900,ybcM,213155,213469,1
138,BSU_01910,skfA,213941,214108,1
140,BSU_01935,skfC,215404,216894,1
141,BSU_02010,ybdK,221950,222912,1
142,BSU_02019,ybzI,222971,223234,1
143,BSU_02030,prkD,223219,223989,-1
144,BSU_02040,ybdN,224075,224932,-1
145,BSU_02050,ybdO,225064,226248,1
146,BSU_02060,ybxG,226566,227954,1
147,BSU_02070,csgA,228066,228314,1
148,BSU_02090,ybxI,228549,229352,-1
149,BSU_02100,cypC,229525,230778,1
150,BSU_02110,ybyB,230819,231079,-1
151,BSU_02120,aimA,231348,232967,1
152,BSU_02130,glpQ,233014,233895,-1
153,BSU_02140,glpT,233994,235328,-1
154,new_234998_235624,S81,234998,235624,1
155,BSU_02160,ybfA,235965,236882,1
156,BSU_02180,ybfE,238164,238448,-1
157,BSU_02181,ybfEn,238354,238476,-1
158,BSU_02210,ybfH,241917,242837,-1
159,BSU_02230,purT,243892,245046,1
160,BSU_02240,mpr,245190,246131,1
162,BSU_02260,ybfK,246658,247548,1
164,BSU_02280,ybfM,248268,248756,1
166,BSU_02310,ybfO,249979,251319,1
169,BSU_02340,gltP,253518,254762,-1
170,BSU_02350,gamP,254907,256802,-1
171,BSU_02360,gamA,256823,257572,-1
172,BSU_02370,gamR,257791,258498,1
173,BSU_02380,ybgB,258532,258807,1
174,BSU_02390,ybgE,259016,260086,1
175,BSU_02400,ybgF,260123,261535,-1
176,BSU_02410,ybgG,261656,262603,-1
177,BSU_02420,glnT,262732,264168,-1
178,BSU_02440,glnK,265476,266708,1
179,BSU_02460,ycbC,267890,268816,1
182,BSU_02490,ycbF,271800,273167,1
184,BSU_02530,rtpA,277160,277321,1
186,BSU_02550,ycbL,278377,279057,1
188,BSU_02590,ycbP,281769,282155,-1
189,BSU_02600,cwlJ,282469,282897,1
190,BSU_02610,ycbR,283003,283734,1
191,BSU_02620,phoD,284011,285762,1
193,BSU_02650,pcp,286773,287420,-1
194,BSU_02660,ycbU,287499,288611,1
195,BSU_02670,lmrB,288653,290092,-1
196,BSU_02690,ansZ,290915,292042,1
197,BSU_02700,lip,292205,292843,1
198,BSU_02710,yczC,292881,293264,-1
199,BSU_02720,yccF,293499,294575,1
200,BSU_02740,natR,295584,296285,-1
201,BSU_02750,natA,296429,297169,1
202,BSU_02770,yccK,298466,299398,1
204,BSU_02800,ycdC,302435,303796,1
205,BSU_02810,cwlK,303804,304307,-1
206,BSU_02820,rapJ,304430,305551,1
207,BSU_02830,ycdF,305658,306434,1
209,BSU_02850,znuA,308332,309291,1
211,BSU_02870,znuB,310000,310842,1
212,BSU_02880,yceB,310880,311875,-1
213,BSU_02890,yceC,312159,312758,1
216,BSU_02920,yceF,314025,314798,1
219,BSU_02950,niaP,317725,318927,1
220,BSU_02970,yceK,320421,320723,-1
221,BSU_02980,opuAA,321013,322269,1
223,BSU_03000,opuAC,323119,324000,1
224,BSU_03010,amhX,324038,325189,-1
