,PROMOTER_ID,PROMOTER_NAME,POS_1,SIGMA_FACTOR,PROMOTER_STRAND,BOX_10_LEFT,BOX_10_RIGHT,BOX_35_LEFT,BOX_35_RIGHT
0,PM8J2-1223,aagp,3964937,sigma-G,reverse,3964942,3964948,3964967,3964971
1,PM8J2-807,abrB-P1,45221,sigma-A,reverse,,,,
2,PM8J2-806,abrB-P2,45207,sigma-A,reverse,,,,
3,PM8J2-1234,adhAp,2756239,,forward,,,,
4,PM8J2-1236,adhRp,2755828,,reverse,,,,
5,PM8J2-799,aldp,3278300,sigma-A,forward,,,,
6,PM8J2-1210,amjp,,sigma-M,forward,,,,
7,PM8J2-367,asnOp,1157182,sigma-E,forward,,,,
8,PM8J2-1124,bcaPp,1023223,,forward,,,,
9,PM8J2-1249,bcrCp,3758455,heat stress responsive,forward,3758443,3758446,3758417,3758422
10,PM8J2-1194,bdhAp,679219,,reverse,,,,
11,PM8J2-782,bglPp,4035816,sigma-A,reverse,,,,
12,PM8J2-1127,bmrAp,3579580,sigma-A,reverse,,,,
13,PM8J2-1149,bmrCp,,,forward,,,,
14,PM8J2-1262,bmrp,2494628,sigma-A,forward,2494616,2494621,2494591,2494596
15,PM8J2-1218,bshCp,1578337,sigma-A,forward,1578324,1578329,1578302,1578307
16,PM8J2-1207,bsrCp,474597,,reverse,,,,
17,PM8J2-357,bvx,3171658,sigma-E,reverse,,,,
18,PM8J2-1123,catDp,,,forward,,,,
19,PM8J2-776,ccpC-P1,,sigma-A,,,,,
20,PM8J2-1191,cdaAp,,,forward,,,,
21,PM8J2-771,citG-P1a,,sigma-A,,,,,
22,PM8J2-770,citG-P1b,3390698,sigma-A,reverse,,,,
23,PM8J2-189,citG-P2,3390443,sigma-H,reverse,,,,
24,PM8J2-766,clpE-s1,1437927,sigma-A,reverse,,,,
25,PM8J2-765,clpE-s2,1437808,sigma-A,reverse,,,,
26,PM8J2-764,clpP-S1,3546201,sigma-A,forward,,,,
27,PM8J2-464,clpP-S2,3546132,sigma-B,forward,,,,
28,PM8J2-758,comF-P1,,sigma-A,reverse,,,,
29,PM8J2-1187,copBp,3441052,,reverse,,,,
30,PM8J2-1186,copZp,3443845,,reverse,,,,
31,PM8J2-364,cotE-P1,1774973,sigma-E,forward,,,,
32,PM8J2-155,cotE-P2,1775042,pro-&sigma;K,forward,,,,
33,PM8J2-151,cotM-P1,,pro-&sigma;K,reverse,,,,
34,PM8J2-150,cotM-P2,,,reverse,,,,
35,PM8J2-144,cotX-Px,,pro-&sigma;K,,,,,
36,PM8J2-754,csbA-PA,3615374,sigma-A,reverse,,,,
37,PM8J2-463,csbA-PB,3615429,sigma-B,reverse,,,,
38,PM8J2-1188,csoRp,,,reverse,,,,
39,PM8J2-753,cspBp,984584,sigma-A,reverse,,,,
40,PM8J2-752,cssR-S1,3385625,sigma-A,forward,,,,
41,PM8J2-751,cssR-S2,3385706,sigma-A,forward,,,,
42,PM8J2-362,ctaA-Ps,1558982,sigma-E,reverse,,,,
43,PM8J2-182,cwlF-Pa,1018936,sigma-A,forward,,,,
44,PM8J2-183,cwlF-Ph,1018986,sigma-H,forward,,,,
45,PM8J2-1251,cwlOp,3575972,,reverse,,,,
46,PM8J2-376,cwlQp,,sigma-D,reverse,,,,
47,PM8J2-748,cydAp,3979390,sigma-A,reverse,,,,
48,PM8J2-741,degSUp1,3646657,sigma-A,reverse,,,,
49,PM8J2-1205,degUp2,3645398,,reverse,,,,
50,PM8J2-1204,degUp3,3645311,,reverse,,,,
51,PM8J2-1237,deoCp,4052304,,reverse,,,,
52,PM8J2-739,dhbAp,3292405,sigma-A,reverse,,,,
53,PM8J2-1257,dhbAp2,,heat stress responsive,reverse,3292451,3292454,3292475,3292480
54,PM8J2-737,dnaA-TR3,157,sigma-A,forward,,,,
55,PM8J2-455,dps-P1,3136707,,reverse,,,,
56,PM8J2-456,dps-PB,3136694,sigma-B,reverse,,,,
57,PM8J2-733,drm-P1,2448483,sigma-A,reverse,,,,
58,PM8J2-732,drm-P2,2448454,sigma-A,reverse,,,,
59,PM8J2-1000,dynAp,,,reverse,,,,
60,PM8J2-1160,eglSp,1940572,,forward,,,,
61,PM8J2-1228,endBp,,,forward,,,,
62,PM8J2-1108,engDp,,,reverse,,,,
63,PM8J2-472,epeXp,4127672,sigma-A,reverse,,,,
64,PM8J2-395,eprp,3939841,sigma-D,forward,,,,
65,PM8J2-493,epsp,3529911,sigma-A,reverse,,,,
66,PM8J2-514,exuP1,1300397,sigma-A,forward,,,,
67,PM8J2-309,exuP2,,sigma-E,,,,,
68,PM8J2-485,ezrA-P1,3031513,sigma-A,reverse,,,,
69,PM8J2-484,ezrA-P2,3031488,sigma-A,reverse,,,,
70,PM8J2-942,fabIp,,heat stress responsive,forward,1247627,1247630,1247601,1247606
71,PM8J2-1015,fatRp,2777756,,reverse,,,,
72,PM8J2-1009,fbpAp,,,reverse,,,,
73,PM8J2-725,feuAp,183358,sigma-A,reverse,,,,
74,PM8J2-1128,finp,,sigma-F,forward,,,,
75,PM8J2-1254,finp2,,sigma-G,forward,,,,
76,PM8J2-1165,flgMp,3640591,sigma-D,reverse,,,,
77,PM8J2-1233,fliWp,3636748,sigma-A,reverse,3636756,3636764,3636778,3636783
78,PM8J2-1101,fmnPp,,,reverse,,,,
79,PM8J2-1010,fpiBp,,,forward,,,,
80,PM8J2-1137,frlBp,3352143,sigma-A,reverse,,,,
81,PM8J2-1138,frlRp,,,forward,,,,
82,PM8J2-723,ftsA-P1,,sigma-A,,,,,
83,PM8J2-186,ftsA-P2,1596336,sigma-H,forward,,,,
84,PM8J2-722,ftsA-P3,1596188,sigma-A,forward,,,,
85,PM8J2-140,ftsY-PK,,pro-&sigma;K,,,,,
86,PM8J2-299,G4,2047678,sigma-E,reverse,,,,
87,PM8J2-717,gabP-P1,686596,sigma-A,reverse,,,,
88,PM8J2-718,gabP-P2,686608,sigma-A,reverse,,,,
89,PM8J2-714,galEp,3990994,sigma-A,reverse,,,,
90,PM8J2-1197,gamAp,257635,sigma-A,reverse,,,,
91,PM8J2-1198,gamRp,257750,sigma-A,forward,,,,
92,PM8J2-1219,ganSp,3508556,sigma-A,reverse,3508561,3508569,3508584,3508589
93,PM8J2-1255,gerAAp,3390753,sigma-G,forward,,,,
94,PM8J2-247,gerAp,3390753,sigma-F,forward,,,,
95,PM8J2-245,gerDp,159100,sigma-G,reverse,,,,
96,PM8J2-244,gerKAp,420089,sigma-G,forward,,,,
97,PM8J2-1196,gerKDp,,sigma-G,reverse,,,,
98,PM8J2-712,ggaAp,3672493,sigma-A,reverse,,,,
99,PM8J2-1238,glcRp,3740012,,reverse,,,,
100,PM8J2-243,glcUp,444430,sigma-G,forward,,,,
101,PM8J2-1152,glmSp,199967,,forward,,,,
102,PM8J2-700,gntR-P1,4113383,sigma-A,forward,,,,
103,PM8J2-699,gntZ-P2,,sigma-A,,,,,
104,PM8J2-84,gntZ-P3,,,,,,,
105,PM8J2-454,gsiB-Pb,494479,sigma-B,forward,,,,
106,PM8J2-1256,gsiB-Pi,,heat stress responsive,forward,494421,494424,494394,494399
107,PM8J2-692,gyrA-TR7,6916,sigma-A,forward,,,,
108,PM8J2-691,hbs-P1,,sigma-A,,,,,
109,PM8J2-185,hbs-P2,2385842,sigma-H,reverse,,,,
110,PM8J2-690,hbs-P3,2386034,sigma-A,reverse,,,,
111,PM8J2-1178,hmoAp,785465,sigma-A,reverse,,,,
112,PM8J2-1179,hmoBp,1083743,,reverse,,,,
113,PM8J2-1213,homp,3316200,,reverse,,,,
114,PM8J2-1199,hprKp,3595218,sigma-A,reverse,,,,
115,PM8J2-82,hrcA-S1,,,,,,,
116,PM8J2-687,hrcA-S2,,sigma-A,,,,,
117,PM8J2-1047,ilvEp,258889,sigma-A,forward,258875,258880,258852,258857
118,PM8J2-1269,immRp,,,reverse,,,,
119,PM8J2-1173,infCp1,2953608,,reverse,,,,
120,PM8J2-681,infCp2,2953550,sigma-A,reverse,,,,
121,PM8J2-1277,iseAp,2002603,sigma-A,forward,,,,
122,PM8J2-1113,ispAp,1387027,,reverse,,,,
123,PM8J2-451,katE-S1,4010235,sigma-B,reverse,,,,
124,PM8J2-450,katE-S2,,,reverse,,,,
125,PM8J2-184,kinAp,1469969,sigma-H,forward,,,,
126,PM8J2-842,leuSp,,,reverse,,,,
127,PM8J2-475,liaIp,3398956,sigma-A,reverse,,,,
128,PM8J2-1261,licTp,4013734,,reverse,,,,
129,PM8J2-1240,lipCp,,pro-&sigma;K,forward,,,,
130,PM8J2-670,lmrAp,290740,sigma-A,reverse,,,,
131,PM8J2-669,lonS1,2882888,sigma-A,reverse,,,,
132,PM8J2-668,lonS2,2882816,sigma-A,reverse,,,,
133,PM8J2-667,lrpC-P1,476033,sigma-A,forward,,,,
134,PM8J2-1250,lytE-Pi,,heat stress responsive,forward,1018866,1018869,1018841,1018846
135,PM8J2-1143,mafp,,,reverse,,,,
136,PM8J2-1192,manPp,1272689,,forward,,,,
137,PM8J2-1193,manRp,1270561,,forward,,,,
138,PM8J2-5,mapBp,840515,sigma-A,reverse,,,,
139,PM8J2-660,med-A,1206538,sigma-A,forward,,,,
140,PM8J2-659,med-B,1206544,sigma-A,forward,,,,
141,PM8J2-1239,melRp,3096731,sigma-A,forward,3096720,3096725,3096696,3096701
142,PM8J2-515,metIp,1258282,sigma-A,forward,,,,
143,PM8J2-1259,metKp,,,reverse,,,,
144,PM8J2-1142,mgtEp,1395605,,forward,,,,
145,PM8J2-1225,mnePp,596080,,reverse,,,,
146,PM8J2-1224,mneSp,686933,,forward,,,,
147,PM8J2-1208,mprp,,,forward,,,,
148,PM8J2-1248,mreBH-Pi,1517620,heat stress responsive,reverse,1517630,1517633,1517654,1517659
149,PM8J2-1200,mstXp,,,forward,,,,
150,PM8J2-11,mtnW-P1,1426857,sigma-A,forward,,,,
151,PM8J2-10,mtnW-P2,1426876,sigma-A,forward,,,,
152,PM8J2-1150,nagAp,3595327,sigma-A,forward,,,,
153,PM8J2-1151,nagPp,840626,sigma-A,forward,,,,
154,PM8J2-647,nasBp,362797,sigma-A,reverse,,,,
155,PM8J2-1129,nasDp,358211,,reverse,,,,
