"id","category"
"SW.1","Cellular processes"
"SW.1.1","Cell envelope and cell division"
"SW.1.1.1","Cell wall synthesis"
"SW.1.1.1.1","Biosynthesis of peptidoglycan"
"SW.1.1.1.2","Autolytic activity required for peptidoglycan synthesis (cell elongation)"
"SW.1.1.1.3","Biosynthesis of lipoteichoic acid"
"SW.1.1.1.4","Biosynthesis of teichoic acid"
"SW.1.1.1.5","Biosynthesis of teichuronic acid"
"SW.1.1.1.6","Export of anionic polymers and attachment to peptidoglycan"
"SW.1.1.1.7","Penicillin-binding proteins"
"SW.1.1.1.8","Biosynthesis of the carrier lipid undecaprenylphosphate"
"SW.1.1.2","Cell shape"
"SW.1.1.3","Cell wall degradation/ turnover"
"SW.1.1.3.1","Autolysis"
"SW.1.1.3.2","Autolysis/ based on similarity"
"SW.1.1.3.3","Utilization of cell wall components"
"SW.1.1.3.4","Endopeptidases"
"SW.1.1.3.5","N-acetyl-β-D-glucosaminidases"
"SW.1.1.3.6","Cell wall degradation/ turnover/ Additional genes"
"SW.1.1.4","Capsule biosynthesis and degradation"
"SW.1.1.5","Cell wall/ other"
"SW.1.1.6","Cell wall/ other/ based on similarity"
"SW.1.1.7","Membrane dynamics"
"SW.1.1.8","Cell division"
"SW.1.1.8.1","The Min system"
"SW.1.1.8.2","Other genes"
"SW.1.1.8.3","Divisome"
"SW.1.1.9","Cell division/ based on similarity"
"SW.1.2","Transporters"
"SW.1.2.1","ABC transporters"
"SW.1.2.1.1","Importers"
"SW.1.2.1.1.1","Uptake of carbon sources"
"SW.1.2.1.1.2","Uptake of amino acids"
"SW.1.2.1.1.3","Uptake of peptides"
"SW.1.2.1.1.4","Uptake of compatible solutes for osmoprotection"
"SW.1.2.1.1.5","Uptake of iron/ siderophores"
"SW.1.2.1.1.6","Uptake of ions"
"SW.1.2.1.1.7","Uptake of cofactors"
"SW.1.2.1.2","Exporters"
"SW.1.2.1.2.1","Efflux of antibiotics"
"SW.1.2.1.2.2","Export of antibiotic substances"
"SW.1.2.1.2.3","Export of peptides"
"SW.1.2.1.2.4","Export of cell wall components"
"SW.1.2.1.2.5","Export of ions"
"SW.1.2.1.2.6","Exporters of unknown function"
"SW.1.2.1.3","Regulatory ABC transporters"
"SW.1.2.1.4","Unknown ABC transporters"
"SW.1.2.2","Phosphotransferase system"
"SW.1.2.2.1","General PTS proteins"
"SW.1.2.2.2","Sugar specific PTS proteins"
"SW.1.2.3","ECF transporter"
"SW.1.2.3.1","The general components of the ECF transporters"
"SW.1.2.3.2","The substrate-specific S components of the ECF transporters"
"SW.1.2.3.3","Class I ECF transporter"
