Site,Type,Left,Right,Strand,Transcription-Units,MINUS-10-LEFT,MINUS-10-RIGHT,MINUS-35-LEFT,MINUS-35-RIGHT,Transcription units - binding sites,Binds-Sigma-Factor
PM8J2-1223,Promoters,3964937,3964937,-,TU8J2-302,3964942,3964948,3964967,3964971,,BSU15330-MONOMER
PM8J2-1249,Promoters,3758455,3758455,+,TU8J2-3018,3758443,3758446,3758417,3758422,,BSU13450-MONOMER
PM8J2-1262,Promoters,2494628,2494628,+,TU8J2-3030,2494616,2494621,2494591,2494596,BS8J2-17855,BSU25200-MONOMER
PM8J2-1218,Promoters,1578337,1578337,+,TU8J2-839,1578324,1578329,1578302,1578307,BS8J2-17797,BSU25200-MONOMER
PM8J2-1257,Promoters,,,-,TU8J2-3026,3292451,3292454,3292475,3292480,,BSU13450-MONOMER
PM8J2-942,Promoters,,,+,TU8J2-1220,1247627,1247630,1247601,1247606,BS8J2-300,BSU13450-MONOMER
PM8J2-1233,Promoters,3636748,3636748,-,TU8J2-428,3636756,3636764,3636778,3636783,,BSU25200-MONOMER
PM8J2-1219,Promoters,3508556,3508556,-,TU8J2-443,3508561,3508569,3508584,3508589,BS8J2-17801,BSU25200-MONOMER
PM8J2-1256,Promoters,,,+,TU8J2-3025,494421,494424,494394,494399,,BSU13450-MONOMER
PM8J2-1047,Promoters,258889,258889,+,TU8J2-1158,258875,258880,258852,258857,BS8J2-585,BSU25200-MONOMER
PM8J2-1250,Promoters,,,+,TU8J2-3019,1018866,1018869,1018841,1018846,BS8J2-17853,BSU13450-MONOMER
PM8J2-1239,Promoters,3096731,3096731,+,TU8J2-3010,3096720,3096725,3096696,3096701,BS8J2-17844 // BS8J2-17843,BSU25200-MONOMER
PM8J2-1248,Promoters,1517620,1517620,-,TU8J2-3017,1517630,1517633,1517654,1517659,BS8J2-17854,BSU13450-MONOMER
PM8J2-638,Promoters,3463319,3463319,-,TU8J2-447,3463327,3463332,3463350,3463355,BS8J2-17847 // BS8J2-17846,BSU25200-MONOMER
PM8J2-114,Promoters,1915124,1915124,+,TU8J2-125,1915112,1915119,1915091,1915095,,MONOMER8J2-6
PM8J2-716,Promoters,441510,441510,-,TU8J2-1101,441516,441521,441539,441544,BS8J2-484,BSU25200-MONOMER
PM8J2-1100,Promoters,2431637,2431637,-,TU8J2-1242,2431645,2431650,2431668,2431673,,
PM8J2-1202,Promoters,1749377,1749377,+,TU8J2-2956,1749365,1749370,1749341,1749346,,BSU25200-MONOMER
PM8J2-1272,Promoters,1056390,1056390,+,TU8J2-3040,1056378,1056383,1056355,1056360,BS8J2-17865,BSU25200-MONOMER
PM8J2-1211,Promoters,119848,119848,+,TU8J2-2965,119832,119840,119812,119817,,BSU25200-MONOMER
PM8J2-162,Promoters,1411776,1411776,+,TU8J2-875,1411763,1411766,1411737,1411742,BS8J2-17852 // BS8J2-17851,BSU13450-MONOMER
PM8J2-1117,Promoters,3733304,3733304,-,TU8J2-1257,3733312,3733317,3733334,3733339,,
PM8J2-1244,Promoters,4005313,4005313,-,TU8J2-281,4005320,4005325,4005343,4005348,,BSU25200-MONOMER
PM8J2-1258,Promoters,,,+,TU8J2-3027,1486782,1486785,1486756,1486761,,BSU13450-MONOMER
PM8J2-1217,Promoters,1577385,1577385,+,TU8J2-2974,1577372,1577377,1577344,1577349,,BSU25200-MONOMER
PM8J2-1216,Promoters,2123947,2123947,-,TU8J2-2972,2123955,2123960,2123978,2123983,,BSU25200-MONOMER
PM8J2-1215,Promoters,2122979,2122979,-,TU8J2-2970,2122986,2122991,2123010,2123015,BS8J2-17795,BSU25200-MONOMER
PM8J2-1214,Promoters,2360512,2360512,-,TU8J2-1254,2360519,2360524,2360542,2360547,BS8J2-17799,BSU25200-MONOMER
PM8J2-1190,Promoters,2515932,2515932,-,TU8J2-1580,2515938,2515943,2515961,2515966,,BSU25200-MONOMER
PM8J2-405,Promoters,3631608,3631608,-,TU8J2-56,3631618,3631623,3631638,3631643,,BSU04730-MONOMER
