Parameter,Value
act_TF_conc_lo,2.3818998368039217e-21
act_TF_conc_up,1.1643899989371678e-08
act_Kd_lo,4.18217904115291e-09
act_Kd_up,120923.00841898956
inh_TF_conc_lo,2.3818998368039217e-21
inh_TF_conc_up,1.1643899989371678e-08
inh_Kd_lo,4.18217904115291e-09
inh_Kd_up,120923.00841898956
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,1.0713434780893072e-05
inh_metab_Total_lo,3.8e-07
inh_metab_Total_up,0.0408
act_metab_Total_lo,3.8e-07
act_metab_Total_up,0.0408
