TF,helt_avg,mgw_avg,prot_avg,roll_avg,orch_avg
AraC,"[33.36250000000001, 34.55333333333334, 33.08708333333333, 35.437083333333334, 34.36000000000001, 34.195833333333326, 35.28625, 35.76625, 35.412916666666675, 35.54333333333334, 34.2675, 34.1425, 35.277499999999996, 33.60875000000001, 34.595, 32.74666666666667, 34.70291666666667, 34.60999999999999, 34.23208333333333]","[5.525000000000001, 5.546666666666667, 5.246250000000002, 5.055000000000001, 5.12375, 4.826250000000002, 4.472916666666666, 4.421666666666665, 4.6933333333333325, 4.934583333333332, 4.965833333333332, 4.854583333333334, 4.935000000000001, 5.1208333333333345, 5.407083333333333, 5.464166666666667, 5.2337500000000015, 5.007916666666667, 4.853333333333334]","[-7.747916666666667, -6.7749999999999995, -4.170833333333333, -4.9712499999999995, -7.785416666666666, -8.109583333333333, -10.779166666666667, -11.275833333333331, -10.487083333333333, -9.830416666666666, -7.720833333333332, -7.83125, -5.437916666666666, -4.58875, -6.124166666666666, -7.889583333333332, -9.005833333333333, -8.297916666666666, -7.301666666666668]","[-1.865, 3.9445833333333336, -2.0479166666666666, -1.3104166666666663, 1.0616666666666668, -0.6770833333333334, -3.042083333333333, -2.8604166666666666, -2.6550000000000002, -0.7162500000000004, -0.1416666666666666, -1.2295833333333333, -1.9179166666666667, -1.0670833333333332, 1.5245833333333334, -1.8470833333333334, 2.7691666666666674, -2.1375, -0.7904166666666663]","[0.29000520833333326, 0.234734375, 0.4589220833333334, 0.5290729166666667, 0.05003125000000001, 0.1677710416666667, 0.010963541666666667, 0.20342708333333331, 0.1664479166666667, 0.11548416666666665, 0.20467708333333334, 0.12055229166666666, 0.5352499999999999, 0.36239604166666667, 0.2910416666666667, 0.09717187499999998, 0.46333333333333343, 0.10165625, 0.3008333333333333]"
ArcA,"[34.69165137614677, 34.843211009174304, 34.823577981651354, 34.7467889908257, 35.00642201834863, 34.63009174311925, 34.7997247706422, 34.770091743119266, 34.93422018348622, 34.938348623853194, 34.692935779816516, 34.68256880733943, 34.68568807339448, 34.897155963302744, 34.5764220183486, 34.77440366972477]","[4.893944954128442, 5.113669724770643, 5.2455963302752275, 5.091284403669725, 4.93146788990826, 4.991009174311927, 5.058623853211011, 4.9454128440366985, 4.862935779816514, 4.9152293577981645, 5.014587155963301, 5.080825688073395, 5.120091743119264, 5.111284403669725, 5.017614678899087, 4.971834862385323]","[-9.267798165137618, -9.996513761467895, -9.7356880733945, -9.545596330275234, -9.578256880733946, -9.94688073394496, -9.888440366972475, -10.164220183486238, -10.0102752293578, -9.769266055045872, -9.225045871559638, -9.39761467889909, -9.491009174311934, -9.829816513761468, -9.109724770642211, -8.83330275229358]","[-0.44100917431192693, 0.4399999999999997, -1.4785321100917428, 0.24211009174311923, -0.8303669724770647, -1.0382568807339447, 0.34651376146788987, -0.8755963302752294, -1.0819266055045873, -1.1511926605504594, -0.1979816513761467, -0.10697247706422, -0.5212844036697245, -0.32761467889908263, -0.40724770642201846, -0.9092660550458712]","[0.22518692660550463, 0.10373509174311923, 0.15321215596330273, 0.1599220183486239, 0.18743119266055042, 0.13403550458715596, 0.13006665137614687, 0.10405513761467888, 0.16085532110091738, 0.17986123853211006, 0.14736009174311923, 0.17220073394495408, 0.1403073394495413, 0.20178091743119267, 0.19327756880733946, 0.28352183486238547]"
ArgR,"[34.66128205128206, 34.35564102564102, 34.480256410256416, 34.763333333333335, 34.28666666666667, 34.98179487179487, 34.82666666666667, 35.415128205128205, 35.59333333333334, 35.58717948717949, 34.62461538461538, 34.84871794871795, 34.19641025641026, 34.99641025641026, 34.572051282051284, 34.67871794871794, 33.99974358974359, 34.53820512820513, 34.62666666666666, 35.03923076923077]","[4.839487179487179, 5.000000000000002, 5.309230769230769, 5.384871794871797, 5.117948717948716, 4.8256410256410245, 4.785384615384616, 4.713589743589743, 4.495897435897435, 4.811794871794871, 5.0138461538461545, 4.933589743589743, 4.910512820512819, 5.206923076923078, 5.354871794871798, 5.211025641025642, 4.9941025641025645, 4.888974358974358, 4.901282051282052, 4.85923076923077]","[-9.813333333333329, -8.697435897435899, -7.498461538461537, -6.857948717948719, -8.279743589743589, -9.031025641025641, -10.741794871794871, -11.670769230769233, -12.054102564102566, -11.18717948717949, -10.642051282051282, -9.72871794871795, -9.175897435897436, -7.663589743589745, -6.8746153846153835, -7.740000000000003, -8.90102564102564, -9.390769230769232, -9.406666666666668, -9.652564102564101]","[-1.0756410256410256, 0.1051282051282052, -2.051282051282051, 1.428974358974359, -0.8292307692307693, 0.34743589743589737, -2.163589743589744, -1.728461538461539, -2.277948717948718, -1.1587179487179484, -1.5876923076923077, 1.6405128205128205, -2.2235897435897445, 0.25871794871794895, -1.3294871794871799, 1.0156410256410255, -0.8415384615384617, 0.184871794871795, -2.194871794871794, -0.48897435897435904]","[0.23646474358974362, 0.34308615384615393, 0.2263525641025641, 0.3284646153846154, 0.020996923076923097, 0.1703301282051282, -0.020419871794871796, 0.023019230769230754, -0.08115064102564104, 0.06797756410256409, -0.01887179487179487, 0.20666666666666667, 0.007432692307692302, 0.42244884615384615, 0.23638141025641024, 0.3821217948717949, 0.19519871794871793, 0.13643282051282055, 0.11217948717948714, 0.05603833333333333]"
CysB,"[33.434000000000005, 34.964, 34.22733333333334, 33.96666666666667, 35.12533333333334, 34.128, 34.58933333333333, 34.379333333333335, 34.531333333333336, 34.30133333333333, 34.69466666666667, 35.01800000000001, 34.29, 33.712666666666664, 35.39666666666667, 34.63, 33.954, 34.68200000000001, 34.66133333333333, 35.09133333333333, 34.73133333333334, 35.59866666666667, 34.06666666666667, 35.120000000000005, 34.760666666666665, 33.55533333333333, 35.007333333333335, 34.722, 33.83733333333333, 34.785333333333334, 35.35133333333333, 34.68533333333334, 33.962666666666664, 34.55733333333333, 34.97866666666667, 34.967999999999996, 35.07533333333333, 34.872, 34.23, 35.27133333333334, 34.54266666666667, 34.78333333333334]","[5.11, 5.053333333333334, 5.067333333333334, 4.867333333333333, 4.919333333333333, 5.038666666666668, 5.029999999999999, 4.970000000000001, 4.914666666666667, 4.868, 4.925333333333333, 5.1433333333333335, 5.238, 5.248666666666667, 5.036666666666666, 4.839333333333333, 4.93, 4.920666666666666, 4.704666666666666, 4.718000000000001, 4.926666666666667, 4.989333333333333, 5.018, 4.833333333333334, 5.076, 5.082, 5.089333333333333, 5.107999999999999, 5.002000000000001, 4.8420000000000005, 4.898, 5.057333333333333, 4.978, 4.978, 4.958666666666667, 4.850666666666666, 4.593999999999999, 4.792666666666666, 4.943999999999999, 5.046666666666666, 5.099333333333332, 4.985333333333333]","[-6.889333333333334, -7.471333333333333, -7.393333333333333, -8.520666666666667, -8.549333333333333, -8.212, -7.4799999999999995, -6.8373333333333335, -7.239333333333333, -7.809333333333333, -8.480666666666668, -9.174666666666665, -8.366000000000001, -8.787333333333335, -8.074, -7.570666666666667, -7.7299999999999995, -8.583333333333334, -8.318000000000001, -9.273999999999997, -9.927999999999999, -9.500000000000002, -8.722, -8.718666666666667, -8.000666666666667, -7.8806666666666665, -8.076, -7.695333333333333, -8.020666666666667, -8.518, -9.459333333333333, -8.834, -8.372666666666666, -8.201333333333334, -8.888, -9.42, -8.931333333333333, -8.391333333333334, -10.350666666666665, -9.826666666666666, -9.839333333333332, -9.216]","[-1.3673333333333335, -0.6286666666666666, -0.14799999999999996, -2.0100000000000002, 0.1806666666666667, -2.1613333333333333, -0.7606666666666666, -0.12600000000000017, -1.0073333333333332, -2.2726666666666664, -0.06000000000000005, -1.2640000000000002, -0.09066666666666673, -0.4706666666666667, -0.04266666666666674, -1.67, -1.5693333333333337, 0.9773333333333333, -2.9926666666666666, -2.4893333333333336, -1.4666666666666666, 1.068, -2.0286666666666666, -1.524, 0.6026666666666666, -1.3719999999999999, -1.0806666666666667, 0.5826666666666664, -1.662666666666667, -1.298, -0.3393333333333334, -1.4706666666666666, -0.4500000000000003, 0.4120000000000001, -2.243333333333334, -1.4380000000000002, -2.1346666666666665, 0.374, -1.340666666666667, -0.09466666666666673, -1.0393333333333332, -1.4333333333333333]","[0.18482466666666666, 0.245792, 0.3252503333333333, 0.03398333333333334, 0.3636583333333333, 0.15519166666666667, 0.25521666666666665, 0.28711666666666663, 0.11343333333333334, 0.16303333333333336, 0.15279166666666666, 0.21891666666666665, 0.269175, 0.07628333333333333, 0.30889166666666673, 0.31779166666666675, 0.11214166666666667, 0.14258333333333334, 0.18321666666666667, 0.29531666666666667, 0.06924999999999999, 0.24820833333333334, 0.14775833333333332, 0.2225166666666667, 0.14939166666666664, 0.08954166666666666, 0.30933333333333335, 0.2551583333333333, 0.16698333333333332, 0.10543333333333334, 0.2609996666666667, 0.26460866666666666, 0.043524999999999994, 0.24405900000000003, 0.16316666666666665, 0.35676666666666673, 0.21310833333333332, 0.2639000000000001, -0.092725, 0.10685833333333333, 0.05839166666666667, 0.07481666666666668]"
CpxR,"[34.82128571428571, 35.03528571428573, 34.94028571428573, 35.06428571428569, 35.05785714285713, 34.95628571428571, 34.46842857142857, 34.617, 34.88614285714285, 34.78328571428572, 34.768857142857144, 34.77185714285715, 34.60942857142856, 34.97357142857141, 34.63914285714284, 34.901714285714284, 34.72600000000001, 34.59371428571429, 34.72142857142856]","[5.12057142857143, 5.270714285714285, 5.103285714285712, 4.8064285714285715, 4.676285714285715, 4.789714285714286, 4.869000000000001, 4.942857142857143, 4.878142857142857, 4.833714285714284, 4.981857142857143, 5.301142857142857, 5.2865714285714285, 5.048285714285713, 4.770571428571427, 4.842142857142858, 4.871571428571428, 4.847857142857145, 4.883285714285712]","[-7.913428571428574, -9.646857142857147, -10.820142857142855, -10.416285714285715, -9.469714285714288, -8.432285714285715, -8.298285714285718, -8.556857142857144, -8.314142857142855, -8.423, -8.861857142857144, -9.280285714285718, -9.875857142857143, -9.244571428571426, -9.064000000000005, -8.38942857142857, -8.27957142857143, -7.756714285714285, -8.199142857142856]","[1.3532857142857142, -1.1137142857142859, -1.7329999999999994, -0.3138571428571427, -2.1892857142857136, -0.5321428571428573, -1.5858571428571424, -1.1517142857142861, -0.39428571428571446, -1.1705714285714282, -0.23785714285714332, -0.6714285714285714, 0.2342857142857144, -0.5669999999999997, -1.8068571428571427, -0.7804285714285716, -1.3858571428571425, -0.8709999999999999, -1.5984285714285713]","[0.2811714285714286, 0.04939999999999999, 0.04835, 0.058016071428571424, 0.08373928571428571, 0.2753444285714286, 0.2414090714285715, 0.33521607142857146, 0.31558921428571435, 0.22211778571428575, 0.23646271428571425, 0.10987157142857143, 0.04598571428571429, 0.20579107142857148, 0.18017149999999996, 0.2336820714285713, 0.3261375000000001, 0.27157171428571425, 0.2724982857142857]"
Cra,"[34.63736842105263, 34.14824561403508, 34.99157894736843, 34.45824561403508, 34.65245614035087, 34.254385964912274, 35.165087719298235, 34.160701754385954, 35.43052631578948, 33.794736842105266, 35.742280701754375, 34.82, 35.220000000000006, 34.52754385964912, 35.05666666666667, 33.48947368421052, 34.92631578947368, 34.43087719298246, 34.16649122807017, 34.72859649122807]","[4.8440350877192975, 4.837368421052632, 5.163157894736842, 5.495789473684211, 5.401929824561407, 5.030350877192981, 4.848245614035088, 4.90701754385965, 4.881052631578947, 4.6822807017543875, 4.565614035087719, 4.697719298245617, 5.070175438596492, 5.296666666666667, 5.2108771929824576, 5.120350877192981, 5.113859649122807, 5.052631578947366, 4.907017543859648, 5.014912280701752]","[-7.572631578947367, -7.0528070175438575, -7.857368421052628, -7.492982456140349, -8.886140350877195, -9.269824561403503, -9.177719298245613, -7.916491228070177, -7.481754385964916, -8.822105263157898, -10.327017543859649, -10.696140350877192, -9.65701754385965, -8.125964912280702, -7.256491228070175, -5.568070175438594, -7.0433333333333366, -7.651929824561403, -7.687017543859649, -8.179122807017544]","[-1.7450877192982455, -1.3759649122807018, 0.8928070175438594, -0.4468421052631581, -0.7617543859649127, -0.5863157894736842, -0.9261403508771929, 0.5610526315789476, -1.7915789473684212, -0.9942105263157897, -1.4638596491228069, -2.2363157894736836, -0.7521052631578947, -0.5470175438596491, 0.10298245614035079, 0.016140350877193094, -1.249122807017544, -0.5198245614035089, -1.0152631578947369, -0.6435087719298247]","[0.21952850877192975, 0.33336403508771933, 0.25069078947368423, 0.3731951754385964, 0.27051535087719303, 0.07410087719298246, 0.35089263157894746, 0.46101078947368446, 0.6228377192982456, 0.39986614035087714, 0.2741973684210527, -0.010611842105263159, 0.21469736842105258, 0.1790811403508772, 0.24563385964912285, 0.5131032456140351, 0.2156360526315789, 0.3372653508771931, 0.3111468421052633, 0.2451930701754387]"
Crp,"[35.08116915422887, 34.867736318407935, 35.14462686567165, 34.198855721393016, 34.62415422885567, 34.76146766169147, 34.052512437810954, 34.98044776119403, 34.256641791044785, 34.624477611940314, 34.37470149253734, 34.65706467661695, 34.17114427860697, 34.9590298507463, 34.191815920398, 34.56410447761195, 34.69124378109448, 34.22945273631839, 34.998184079601984]","[4.691293532338303, 4.638457711442784, 4.773358208955225, 4.967686567164174, 5.275597014925362, 5.417611940298498, 5.259850746268658, 4.971616915422874, 4.883333333333338, 5.055199004975122, 5.13676616915423, 5.027213930348255, 4.913482587064676, 5.0088059701492496, 5.254427860696516, 5.427114427860697, 5.290447761194024, 5.036094527363187, 4.79636815920398]","[-10.295223880597021, -10.068407960199004, -9.336716417910454, -8.68303482587065, -8.000597014925393, -7.270124378109454, -7.57475124378109, -7.745771144278599, -7.771965174129351, -7.542810945273631, -7.639278606965178, -7.6273631840796, -7.791119402985077, -7.986417910447747, -7.57256218905472, -7.652686567164181, -7.806169154228863, -8.492164179104485, -8.984900497512442]","[-1.7205223880597014, -2.0437562189054748, 0.16126865671641777, -2.2183582089552214, 1.7409701492537322, -0.5989800995024871, -0.3811691542288555, -0.41012437810945246, -1.4455721393034837, -0.339328358208955, -0.9485074626865657, -0.16079601990049755, -1.6582587064676613, -0.15171641791044782, 0.0644776119402984, -1.3746517412935324, 1.9216666666666662, -1.7733084577114417, -0.07982587064676641]","[0.10663898009950246, 0.19682057213930343, 0.29566483830845774, 0.2786834328358209, 0.45714461442786086, 0.27517358208955184, 0.3624589427860701, 0.209534129353234, 0.25536970149253735, 0.3599965671641792, 0.2710677985074627, 0.400723482587065, 0.21410730099502487, 0.22232398009950252, 0.3230814800995026, 0.25650405472636806, 0.47221788557214, 0.3131803606965172, 0.2942530721393037]"
Mlc,"[36.2875, 34.723749999999995, 36.26375, 35.948750000000004, 35.118750000000006, 35.025, 35.066250000000004, 34.49875, 33.5975, 34.3275, 34.785000000000004, 33.54875, 34.72125, 33.8575, 35.41375, 35.29125, 34.9525, 35.81, 36.19, 36.5625, 33.72, 34.93875, 33.9875, 34.77875, 33.04]","[4.39, 4.69625, 4.50125, 4.2749999999999995, 4.4025, 5.255, 5.42875, 5.116249999999999, 4.89875, 4.8812500000000005, 4.945, 5.077500000000001, 5.432499999999999, 5.64125, 5.518750000000001, 5.0287500000000005, 4.3875, 4.15, 4.52125, 4.545, 4.563750000000001, 5.11, 5.1575, 5.1925, 5.04375]","[-11.533750000000001, -12.02375, -12.723749999999999, -12.9475, -12.85, -11.2225, -8.96125, -6.84, -6.1325, -6.20875, -6.521249999999999, -4.646249999999999, -5.5325, -5.859999999999999, -7.23625, -10.409999999999998, -12.099999999999998, -13.028750000000002, -13.330000000000002, -12.8375, -10.953750000000001, -9.73375, -7.94625, -6.465, -5.35375]","[-0.34875000000000006, -1.99125, -3.9124999999999996, -1.05875, -2.77875, 2.2187500000000004, -1.5537500000000002, -1.1824999999999999, -0.22875, -1.9037499999999998, -1.105, -1.175, 2.1862500000000002, 0.42374999999999996, 0.85, -1.4425000000000001, -4.00875, -1.1062500000000002, -1.4137499999999998, -1.7174999999999998, -4.351249999999999, 2.5549999999999997, -1.6837499999999999, 1.5462499999999997, -0.7975000000000001]","[0.079905625, -0.0039687500000000035, -0.10950000000000001, -0.23429687500000002, -0.320203125, -0.24159375000000002, -0.014546875000000023, 0.25340625, 0.17084375, 0.33604687499999997, 0.43404687500000005, 0.5317031249999999, 0.420875, 0.4969374999999999, 0.5868125, -0.010203124999999997, -0.025515625, -0.09846875000000001, -0.297171875, 0.004281250000000007, -0.320609375, 0.10443749999999999, 0.026531250000000006, 0.45195312500000007, 0.116328125]"
EvgA,"[34.147999999999996, 33.895, 35.536, 34.222, 32.663999999999994, 33.94, 34.513999999999996, 34.681000000000004, 33.135, 35.064, 33.545, 34.833999999999996, 33.577999999999996, 34.294999999999995, 35.01, 33.117999999999995, 35.913, 35.067, 34.029, 34.918000000000006, 34.735]","[4.878, 4.833, 4.749, 5.105, 5.745999999999999, 5.566, 5.3420000000000005, 5.141, 4.757000000000001, 4.866, 5.253000000000001, 5.549999999999999, 5.784000000000001, 5.346000000000002, 4.837999999999999, 4.532, 4.638999999999999, 4.903, 4.9270000000000005, 4.837, 4.846]","[-8.796, -6.585000000000001, -5.238, -4.802, -7.299999999999999, -7.735, -5.901, -7.648, -5.9, -6.231000000000001, -7.57, -7.495, -7.928999999999999, -8.154, -6.649, -5.558, -9.804000000000002, -10.437, -10.403, -8.498000000000001, -9.144]","[-1.868, -1.3229999999999997, -2.202, 0.258, -2.623, 3.612000000000001, -1.8539999999999994, 2.029, -2.7260000000000004, -0.4110000000000001, -2.104, 3.912, -2.436, 3.4890000000000003, -2.5629999999999997, -2.917, -1.756, -0.08999999999999997, -2.2510000000000003, -1.6080000000000005, 0.197]","[-0.0376, 0.20899999999999996, 0.25906250000000003, 0.499775, -0.17409999999999995, 0.646663, 0.441925, 0.3944385000000001, 0.572725, 0.741726, 0.026700000000000022, 0.4989625, 0.1693, 0.18688749999999998, 0.08107500000000001, -0.07101249999999999, -0.032462500000000005, 0.10693749999999999, 0.14547499999999997, 0.156275, 0.37550000000000006]"
ExuR,"[34.471538461538465, 34.89692307692307, 34.72692307692308, 34.94384615384615, 34.471538461538465, 34.89615384615385, 34.85307692307692, 34.47, 35.252307692307696, 34.733076923076915, 34.424615384615386, 35.143846153846155, 33.95461538461539, 35.24538461538462, 34.71769230769231, 34.83461538461538, 34.68923076923077, 35.55384615384616, 34.07]","[4.88, 4.315384615384615, 4.313076923076923, 5.015384615384614, 5.153076923076923, 4.813846153846154, 4.8684615384615375, 5.396923076923077, 5.542307692307692, 5.369230769230769, 4.92, 4.930769230769232, 5.162307692307692, 4.820769230769231, 4.273076923076924, 4.292307692307692, 4.773076923076923, 5.226153846153847, 5.2676923076923075]","[-10.624615384615385, -9.726153846153847, -10.163846153846153, -9.334615384615384, -8.231538461538463, -8.15076923076923, -9.12, -9.459999999999999, -8.783076923076925, -8.819230769230769, -8.67, -7.74923076923077, -8.644615384615385, -9.585384615384614, -9.94076923076923, -9.813846153846155, -10.409230769230767, -9.665384615384616, -7.57]","[-1.166923076923077, -1.3730769230769233, -3.166153846153846, 1.6507692307692308, -2.016153846153846, -0.6976923076923076, -0.5953846153846153, 0.3200000000000002, -1.0576923076923075, -0.4376923076923075, -0.14846153846153842, 0.4630769230769229, -2.4007692307692308, -0.31000000000000005, -2.5515384615384615, -1.053076923076923, -2.6884615384615382, -1.1384615384615384, 0.756923076923077]","[0.0772403846153846, 0.24593269230769232, 0.26527884615384617, 0.387625, 0.21695192307692307, 0.36176923076923073, 0.09828846153846155, 0.08219230769230769, 0.24734615384615385, 0.10160576923076924, 0.09026923076923077, 0.3823080769230769, 0.27398038461538465, 0.5252884615384615, 0.20929807692307692, 0.05774999999999999, 0.041163461538461524, 0.1471730769230769, 0.056259615384615394]"
