,SN_ratio,TF,TSS_distance,TU,condition,fold_change,p_value,peak,start,stop,log_SN,log_pval
0,1.67,fur,-,araC,R/S,0,100,P1,70524,70536,0.512823626,4.605170186
1,2.93,fur,-,panD,R,0,0.19,P2,146494,146507,1.075002423,-1.660731207
2,4.6,fur,-194,fhuACDB,R,0.97545825,0.76,P3,167242,167254,1.526056304,-0.274436846
3,37.3,fur,19,fhuACDB,R,0.97545825,0.19,P4,167456,167466,3.618993327,-1.660731207
4,2.07,fur,-,fhuACDB,R/S,0.97545825,77,P5,169030,169042,0.727548607,4.343805422
5,3.2,fur,-,erpA/yadS,R/S,-0.116406,3.2,P6,177013,177025,1.16315081,1.16315081
6,5.4,fur,-41,map,R,0,0.85,P7,189588,189600,1.686398954,-0.162518929
7,4.53,fur,-,lafU,R/S,0,46,P8,250226,250238,1.510721939,3.828641396
8,5.83,fur,-33,pepD,R/S,0,100,P9,255803,255815,1.763017,4.605170186
9,3.27,fur,-188,argF-yagI,R,-1.0276135,0.0052,P10,289746,289758,1.184789985,-5.259096653
10,15.17,fur,-34,ybaN,R,1.06449,0.0032,P11,490041,490053,2.719319793,-5.744604469
11,10.53,fur,47.5,adk,R,-0.573221,6,P12,496404,496417,2.354228326,1.791759469
12,2.17,fur,-,sfmA,R/S,0,3.3,P13,557825,557837,0.774727168,1.193922468
13,3.7,fur,-,sfmF,R/S,0,4.9,P14,562545,562557,1.30833282,1.589235205
14,108.87,fur,11.5,fepA-entD,R,6.02973,0.0011,P15,611872,611885,4.69015451,-6.812445099
15,81.53,fur,7,fes-ybdZ-entF-fepE,R,4.962615,76,P16,611911,611923,4.400971051,4.33073334
16,22.77,fur,-36,fepD-fepG-fepC,R,2.51211,0.0085,P17,621415,621427,3.12544388,-4.767689115
17,68.43,fur,-29,entS,R,2.69172,0.019,P18,621446,621458,4.225811325,-3.9633163
18,91.97,fur,11.5,fepB,R,2.5754,0.00054,P19,623934,623943,4.521462437,-7.523941418
19,93.33,fur,16,fepB,R,2.5754,0.0006,P20,623960,623972,4.5361416,-7.418580903
20,39.83,fur,-5,entCEBAH,R,5.653882,0.0064,P21,624043,624055,3.684620397,-5.051457289
21,82.63,fur,26.5,entCEBAH,R,5.653882,0.0014,P22,624075,624086,4.414372811,-6.571283042
22,22.77,fur,-,ybeQ,R,0,43,P23,674980,674992,3.12544388,3.761200116
23,21.63,fur,-,ybeQ,R,0,42,P24,674999,675010,3.07408124,3.737669618
24,1.67,fur,14,nagBACD,R/S,0,19,P25,701068,701080,0.512823626,2.944438979
25,2.97,fur,-,ybgIJKL-nei,R/S,0,0.19,P26,745799,745809,1.088561953,-1.660731207
26,3.2,fur,-,sdhCDAB,R/S,-1.949615,18,P27,756236,756248,1.16315081,2.890371758
27,24.47,fur,-14,gpmA,R,1.74592,0.00025,P28,786863,786875,3.197447877,-8.29404964
28,63.3,fur,-16,fiu-ybiX,R,5.322555,0.0015,P29,840881,840893,4.147885329,-6.502290171
29,3.47,fur,-,ybiT/ybiU,R/S,0,94,P30,857017,857029,1.244154594,4.543294782
30,2.27,fur,-,rimO,R/S,-0.531005,120,P31,876433,876451,0.819779831,4.787491743
31,3.4,fur,-,dmsABC,R,-0.49074,8.7,P32,942141,942153,1.223775432,2.163323026
32,1.53,fur,37,aspC,R/S,0,16,P33,984923,984935,0.425267735,2.772588722
33,23.87,fur,-8,efeUOB,R,0.934186667,0.0064,P34,1080516,1080528,3.17262244,-5.051457289
34,12.07,fur,-,pgaB,R,0,7.5,P35,1088811,1088823,2.490723035,2.014903021
35,13.07,fur,-,pgaB,R,0,7.5,P36,1088831,1088843,2.570319528,2.014903021
36,342.6,fur,-19,fhuE,R,4.97667,0.0028,P37,1160883,1160895,5.836563586,-5.878135862
37,3.73,fur,-,ycgG,R/S,0,27,P39,1216821,1216833,1.316408234,3.295836866
38,4.77,fur,-,ymgI,R/S,0,6.6,P40,1222347,1222358,1.562346305,1.887069649
39,4.63,fur,-,ymgE,R/S,0,0.25,P41,1244166,1244179,1.532556868,-1.386294361
40,2.47,fur,-15,tonB,R,1.58409,0.035,P42,1309058,1309068,0.904218151,-3.352407217
41,5.17,fur,45,acnA,R,-0.842236,0.027,P43,1333487,1333499,1.642872689,-3.611918413
42,2.07,fur,-,gmr,R/S,0,56,P44,1343154,1343164,0.727548607,4.025351691
43,2.97,fur,-,ldhA,R/S,0.892842,19,P45,1440085,1440097,1.088561953,2.944438979
44,1.83,fur,,paaABCDEFGHIJK,R/S,0.167647273,21,P46,1458523,1458536,0.604315967,3.044522438
45,61.3,fur,-,yncE,R,3.08308,0.0087,P47,1521237,1521250,4.115779843,-4.744432253
46,2.33,fur,99,adhP,R,0.735029,0.0096,P48,1551913,1551925,0.845868268,-4.645992181
47,50.17,fur,-,yddA-yddB,R,2.971975,1.90E-05,P49,1577347,1577359,3.915417239,-10.87107158
48,37.13,fur,-,yddA-yddB,R,2.971975,1.90E-05,P50,1577361,1577373,3.614425268,-10.87107158
49,2.5,fur,76.5,ynfD,R/S,0.568557,0.25,P51,1655509,1655520,0.916290732,-1.386294361
50,4.07,fur,-,tqsA,R,0,0.0064,P52,1672497,1672509,1.403642999,-5.051457289
51,4.77,fur,-,ydgK-rsxABCDGE-nth,R,0,12,P53,1709579,1709591,1.562346305,2.48490665
52,4.33,fur,-,ydgK-rsxABCDGE-nth,R,0,8.7,P54,1709597,1709610,1.465567542,2.163323026
53,2.97,fur,-37,sufABCDSE,R,2.74411,0.0026,P55,1762473,1762485,1.088561953,-5.952243834
54,50.3,fur,-16,ydiE,R,2.60473,0.00095,P56,1787605,1787617,3.918005077,-6.959048573
55,2.87,fur,-,ydiV,R/S,0,0.029,P57,1790006,1790018,1.05431203,-3.540459449
56,2.7,fur,-,yeaP,R/S,0,3.7,P58,1876432,1876445,0.993251773,1.30833282
57,2.07,fur,-,yoaD,R,0.831264,5.2,P59,1897567,1897579,0.727548607,1.648658626
58,9.07,fur,-,yobD,R,0,0.34,P60,1902973,1902984,2.204972264,-1.078809661
59,8.83,fur,-,yobD,R,0,0.34,P61,1902987,1902998,2.178155015,-1.078809661
60,2.77,fur,-82.5,yebN,R,0,0.00014,P62,1903395,1903406,1.01884732,-8.873868135
61,6.9,fur,-,yebS,R,0,27,P63,1914395,1914407,1.931521412,3.295836866
62,2.77,fur,-,yebA,R/S,-2.97186,25,P64,1939319,1939331,1.01884732,3.218875825
63,8.6,fur,138,ftnB,R,-1.22319,92,P65,1984955,1984967,2.151762203,4.521788577
64,9.07,fur,152,ftnB,R,-1.22319,98,P66,1984969,1984981,2.204972264,4.584967479
65,3.33,fur,-71,ftnA,R,-1.29267,0.55,P67,1986629,1986641,1.202972304,-0.597837001
66,10.73,fur,4,sdiA,R,0,35,P68,1994865,1994877,2.373043557,3.555348061
67,2,fur,-,fliC,R,0.533728,0.00053,P69,2000923,2000935,0.693147181,-7.542633551
68,72.33,fur,-,yoeA,R,2.65604,0.0028,P70,2066588,2066600,4.281238981,-5.878135862
69,17.77,fur,-,yoeA,R,2.65604,0.33,P71,2066626,2066638,2.877511642,-1.108662625
70,278.9,fur,-17,cirA,R,6.7122,3.90E-05,P72,2244963,2244973,5.630853295,-10.15194891
71,298.23,fur,-25,cirA,R,6.7122,4.20E-05,P73,2244983,2244995,5.697865001,-10.07784094
72,18.63,fur,-28,yojI,R,0.780894,0.027,P74,2306685,2306697,2.924773185,-3.611918413
73,26.13,fur,-55,yojI,R,0.780894,0.027,P75,2306712,2306724,3.26308408,-3.611918413
74,4.9,fur,-,arnBCADTEF,R/S,0,6.2,P76,2367609,2367621,1.589235205,1.824549292
75,6.2,fur,-,flk,R,0,0.76,P77,2436392,2436404,1.824549292,-0.274436846
76,1.87,fur,-,yfcUTSRQPO,R/S,0,96,P78,2447514,2447526,0.625938431,4.564348191
77,1.87,fur,-,yfcUTSRQPO,R/S,0,16,P79,2447571,2447583,0.625938431,2.772588722
78,4.83,fur,-,yfcV,R,0,0.0052,P80,2454145,2454157,1.574846468,-5.259096653
79,79.5,fur,-17,mntH,R,1.13638,5.10E-06,P81,2510767,2510779,4.375757022,-12.18627002
80,75,fur,-24,mntH,R,1.13638,5.10E-06,P82,2510774,2510786,4.317488114,-12.18627002
81,3.87,fur,-,yffS,R,0,16,P83,2562639,2562652,1.353254507,2.772588722
82,2.9,fur,-,yfgF,R/S,0,0.89,P84,2626662,2626674,1.064710737,-0.116533816
83,4.47,fur,80,recN,R,2.29193,35,P85,2749855,2749867,1.497388409,3.555348061
84,4,fur,98.5,recN,R,2.29193,35,P86,2749874,2749885,1.386294361,3.555348061
85,2.87,fur,-,yfjI,R,0,0.0052,P87,2757997,2758009,1.05431203,-5.259096653
86,1.9,fur,-,ypjA,R/S,0,25,P88,2776793,2776804,0.641853886,3.218875825
87,1.93,fur,-,ygaQ_2,R/S,0,130,P89,2784757,2784770,0.657520003,4.86753445
88,41.1,fur,69,nrdHIEF,R,4.6671775,0.027,P90,2798741,2798753,3.716008122,-3.611918413
89,36.43,fur,88,nrdHIEF,R,4.6671775,0.55,P91,2798760,2798772,3.595392611,-0.597837001
90,3.27,fur,-,norVW,R/S,0,2,P92,2831996,2832009,1.184789985,0.693147181
91,5.5,fur,-,csrB,R/S,0,6.4,P93,2922396,2922408,1.704748092,1.85629799
92,2.57,fur,-,ptrA,R/S,0,50,P94,2956062,2956074,0.943905899,3.912023005
93,4.07,fur,-126.5,ygfK-ssnA,R,0,0.026,P95,3013882,3013893,1.403642999,-3.649658741
94,17.1,fur,-129,hybOABCDEFG,R,-0.37208125,0.21,P96,3144508,3144520,2.839078464,-1.560647748
95,10.67,fur,-61.5,exbBD,R,1.859445,0.053,P97,3150091,3150104,2.367436065,-2.937463365
96,150.97,fur,-1,yqjH,R,2.06881,1.90E-05,P98,3214555,3214567,5.017081142,-10.87107158
97,171.63,fur,-20,yqjH,R,2.06881,1.90E-05,P99,3214574,3214586,5.145340997,-10.87107158
98,3.7,fur,35,yhaJ,R/S,0,4,P100,3252242,3252254,1.30833282,1.386294361
99,2.17,fur,-,dacB/obgE,R/S,0,130,P101,3328514,3328526,0.774727168,4.86753445
100,4.27,fur,-104,yrbL,R/S,0,41,P102,3346333,3346345,1.451613827,3.713572067
101,1.7,fur,-,arcB,R/S,0,89,P103,3348977,3348990,0.530628251,4.48863637
102,2.37,fur,-,nanR,R/S,0,24,P104,3372152,3372164,0.862889955,3.17805383
103,2.9,fur,-35,ompR,R/S,0,20,P105,3534806,3534818,1.064710737,2.995732274
104,25.3,fur,-5,feoABC,R,0.661193,0.0023,P106,3538068,3538080,3.230804396,-6.074846156
105,1.87,fur,-,asd,R/S,0,49,P107,3572840,3572852,0.625938431,3.891820298
106,254.23,fur,-1.5,ryhB,R,5.56136,1.40E-05,P108,3579031,3579050,5.538239369,-11.17645323
107,273.93,fur,-21,ryhB,R,5.56136,1.40E-05,P109,3579051,3579069,5.612872599,-11.17645323
108,4.5,fur,-,yhhZ-yrhA,R/S,0,26,P110,3580810,3580822,1.504077397,3.258096538
109,5.23,fur,-5.5,yhhK,R/S,0,21,P111,3595840,3595851,1.654411278,3.044522438
110,2.13,fur,-,gadX,R/S,0,46,P112,3663209,3663221,0.75612198,3.828641396
111,2.23,fur,-,yhjE,R/S,0,140,P113,3673472,3673485,0.802001585,4.941642423
112,1.93,fur,-,insJK,R/S,0,55,P114,3719709,3719721,0.657520003,4.007333185
