,tu_id,gene_id,gene_name,sigma,actual_b10,predicted_b10
0,ECK120008913,b1748,astC,Sigma70,1832022.0,1832022
1,ECK120008914,b1748,astC,Sigma54,1832054.0,1832054
2,ECK120008915,b1748,astC,Sigma38,1832046.0,1832046
3,ECK120008916,b2673,nrdH,Sigma70,2800649.0,2800686
4,ECK120008917,b4484,cpxP,Sigma70,4105777.0,4105777
5,ECK120008918,b3859,srkA,Sigma70,4042383.0,4042399
6,ECK120008919,b3860,dsbA,Sigma70,4043369.0,4043401
7,ECK120008924,b1101,ptsG,Sigma70,1157620.0,1157851
8,ECK120008925,b2579,grcA,Sigma70,2716529.0,2716469
9,ECK120008927,b3851,rrsA,Sigma32,4035237.0,4035471
10,ECK120008927,b3851,rrsA,Sigma70,4035237.0,4035527
11,ECK120008928,b3968,rrsB,Sigma32,4166365.0,4166599
12,ECK120008928,b3968,rrsB,Sigma70,4166365.0,4166655
13,ECK120008929,b3756,rrsC,Sigma32,3941514.0,3941748
14,ECK120008929,b3756,rrsC,Sigma70,3941514.0,3941804
15,ECK120008930,b3756,rrsC,Sigma70,3941626.0,3941804
16,ECK120008931,b4007,rrsE,Sigma32,4207851.0,4208087
17,ECK120008931,b4007,rrsE,Sigma70,4207851.0,4208143
18,ECK120008932,b2591,rrsG,Sigma32,2731450.0,2731217
19,ECK120008932,b2591,rrsG,Sigma70,2731450.0,2731161
20,ECK120008933,b2591,rrsG,Sigma70,2731339.0,2731161
21,ECK120008934,b0201,rrsH,Sigma32,223476.0,223711
22,ECK120008934,b0201,rrsH,Sigma70,223476.0,223767
23,ECK120008935,b0201,rrsH,Sigma70,223586.0,223767
24,ECK120008936,b3278,rrsD,Sigma32,3429059.0,3428822
25,ECK120008936,b3278,rrsD,Sigma70,3429059.0,3428766
26,ECK120008937,b3278,rrsD,Sigma70,3428947.0,3428766
27,ECK120008938,b3701,dnaN,Sigma38,3882739.0,3882371
28,ECK120008938,b3701,dnaN,Sigma70,3882739.0,3882366
29,ECK120008939,b3701,dnaN,Sigma38,3882596.0,3882371
30,ECK120008939,b3701,dnaN,Sigma70,3882596.0,3882366
31,ECK120008940,b3701,dnaN,Sigma70,3882566.0,3882366
32,ECK120008941,b3701,dnaN,Sigma70,3882356.0,3882366
33,ECK120008941,b3701,dnaN,Sigma38,3882356.0,3882371
34,ECK120008942,b1761,gdhA,Sigma70,1842299.0,1842299
35,ECK120008944,b4224,chpS,Sigma70,4448423.0,4448423
36,ECK120008947,b0683,fur,Sigma70,710724.0,710712
37,ECK120008948,b1987,cbl,Sigma70,2060946.0,2060976
38,ECK120008949,b0094,ftsA,Sigma70,103553.0,103920
39,ECK120008950,b1944,fliL,Sigma28,2019588.0,2019588
40,ECK120008951,b3528,dctA,Sigma70,3683505.0,3683505
41,ECK120008952,b1566,flxA,Sigma28,1646381.0,1646381
42,ECK120008953,b3225,nanA,Sigma70,3373627.0,3373618
43,ECK120008954,b1597,asr,Sigma38,1671326.0,1671326
44,ECK120008954,b1597,asr,Sigma70,1671326.0,1671320
45,ECK120008955,b4140,fxsA,Sigma32,4368592.0,4368592
46,ECK120008956,b1204,pth,Sigma70,1258550.0,1258550
47,ECK120008957,b1203,ychF,Sigma70,1257889.0,1257831
48,ECK120008958,b0572,cusC,Sigma70,595566.0,595580
49,ECK120008959,b0571,cusR,Sigma70,595469.0,595469
50,ECK120008960,b2531,iscR,Sigma70,2662207.0,2662173
51,ECK120008961,b2661,gabD,Sigma70,2791164.0,2791253
52,ECK120008961,b2661,gabD,Sigma38,2791164.0,2791251
53,ECK120008962,b2979,glcD,Sigma70,3128085.0,3128058
54,ECK120008963,b2980,glcC,Sigma70,3128199.0,3128199
55,ECK120008964,b4376,osmY,Sigma70,4611145.0,4611381
56,ECK120008964,b4376,osmY,Sigma38,4611145.0,4611337
57,ECK120008966,b0124,gcd,Sigma70,141269.0,141269
58,ECK120008967,b0850,ybjC,Sigma70,890885.0,890852
59,ECK120008968,b0852,rimK,Sigma70,891869.0,891928
60,ECK120008969,b3516,gadX,Sigma38,3665849.0,3665849
