locus_tag,left,right,mode,final_state,tf,source
ECK120012227,1157760,1157774,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120011242,1157749,1157771,repressor,Mlc,Mlc,RegulonDB
,,,,,,
ECK125258368,1842219,1842238,activator,ArgP,ArgP,RegulonDB
ECK120011278,1842220,1842234,repressor,Nac,Nac,RegulonDB
,,,,,,
ECK120012581,710881,710900,activator,SoxS,SoxS,RegulonDB
ECK120011304,710883,710899,activator,OxyR,OxyR,RegulonDB
,,,,,,
ECK120012011,3128173,3128187,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK125134882,3128193,3128210,repressor,Cra,Cra,RegulonDB
ECK120011435,3128180,3128194,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120011598,3039763,3039782,activator,SoxS,SoxS,RegulonDB
ECK120011596,3039774,3039794,activator,SoxS,SoxS,RegulonDB
,,,,,,
ECK120016195,2313199,2313213,repressor,Lrp,Lrp,RegulonDB
ECK120011642,2313199,2313210,repressor,Lrp-leucine,Lrp,RegulonDB
,,,,,,
ECK120016192,2313031,2313045,repressor,Lrp,Lrp,RegulonDB
ECK125258720,2313034,2313053,activator,Rob,Rob,RegulonDB
ECK120011646,2313036,2313055,activator,SoxS,SoxS,RegulonDB
,,,,,,
ECK120011970,42131,42145,activator,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120011968,42121,42135,activator,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120011985,1166041,1166055,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120011983,1166036,1166050,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120011989,1166052,1166066,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120011987,1166050,1166064,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120014079,890812,890828,activator,OxyR,OxyR,RegulonDB
ECK125108957,890834,890850,activator,OxyR,OxyR,RegulonDB
ECK125258259,890842,890861,activator,SoxS,SoxS,RegulonDB
ECK125258259,890842,890861,activator,Rob,Rob,RegulonDB
ECK120011992,890826,890845,activator,SoxS,SoxS,RegulonDB
,,,,,,
ECK120011997,4100743,4100757,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120012884,4100742,4100756,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120014167,4100731,4100745,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120011995,4100732,4100746,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120012341,4100714,4100728,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120013189,4100709,4100728,activator,Rob,Rob,RegulonDB
ECK120013249,4100705,4100724,activator,SoxS,SoxS,RegulonDB
ECK120011999,4100715,4100729,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120012005,770859,770873,activator,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120012003,770870,770884,activator,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
