TF name,TF-bs left end,TF-bs right end,strand,Evidence confidence level
AcrR,485709,485732,reverse,Strong
AcrR,485709,485732,forward,Strong
AcrR,1619048,1619058,forward,Strong
AcrR,1978422,1978432,reverse,Weak
AcrR,2313112,2313135,forward,Weak
AcrR,4277444,4277454,forward,Strong
AcrR,4277444,4277454,reverse,Strong
Ada,2147589,2147613,reverse,Strong
Ada,2310454,2310478,reverse,Strong
Ada,2310474,2310498,reverse,Strong
Ada,4414182,4414206,forward,Strong
AgaR,3278686,3278705,reverse,Strong
AgaR,3278713,3278732,reverse,Strong
AgaR,3278781,3278800,forward,Strong
AgaR,3278825,3278844,forward,Strong
AgaR,3278859,3278878,forward,Strong
AgaR,3281605,3281624,forward,Strong
AgaR,3281668,3281687,forward,Strong
AgaR,3281785,3281804,forward,Strong
AgaR,3281827,3281846,forward,Strong
AgaR,3281858,3281877,forward,Strong
AgaR,3281901,3281920,forward,Strong
AidB,4414186,4414212,forward,Strong
AlaS,2822080,2822114,reverse,Strong
AllR,532329,532345,forward,Strong
AllR,532329,532345,reverse,Strong
AllR,533879,533895,forward,Strong
AllS,546498,546513,reverse,Weak
AraC,70110,70126,reverse,Strong
AraC,70110,70126,forward,Strong
AraC,70131,70147,reverse,Strong
AraC,70131,70147,forward,Strong
AraC,70131,70147,reverse,Strong
AraC,70131,70147,forward,Strong
AraC,70184,70200,reverse,Strong
AraC,70184,70200,forward,Strong
AraC,70205,70221,reverse,Strong
AraC,70205,70221,forward,Strong
AraC,70342,70358,reverse,Strong
AraC,70342,70358,forward,Strong
AraC,412564,412580,reverse,Strong
AraC,412585,412601,reverse,Strong
AraC,1986300,1986316,reverse,Strong
AraC,1986321,1986337,reverse,Strong
AraC,1986375,1986391,reverse,Strong
AraC,1986396,1986412,reverse,Strong
AraC,2982244,2982260,reverse,Strong
AraC,2982244,2982260,reverse,Strong
AraC,2982265,2982281,reverse,Strong
AraC,2982265,2982281,reverse,Strong
AraC,3730824,3730840,reverse,Weak
AraC,3730847,3730863,reverse,Weak
ArcA,41981,41995,reverse,Weak
ArcA,42003,42017,reverse,Weak
ArcA,42121,42135,reverse,Weak
ArcA,42131,42145,reverse,Weak
ArcA,127683,127697,forward,Weak
ArcA,127692,127706,forward,Strong
ArcA,131342,131356,forward,Weak
ArcA,131369,131383,forward,Weak
ArcA,131373,131387,forward,Weak
ArcA,131393,131407,forward,Weak
ArcA,131399,131413,forward,Weak
ArcA,131455,131469,forward,Weak
ArcA,131464,131478,forward,Weak
ArcA,243385,243399,reverse,Strong
