# # Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
 # RegulonDB: 11.1 Date: 12/12/2022
# Created: 12/12/2022 11:48:35
# Table: GROUPS
# Columns:
# 1) GROUP_ID
# 2) GROUP_NAME
GUe000000001	Lipid transport and metabolism
GUe000000022	Transcription
GUe000000023	Amino acid transport and metabolism
GUe000000074	Nucleotide transport and metabolism
GUe000000075	Signal transduction mechanisms
GUe000000076	Secondary metabolites biosynthesis, transport and catabolism
GUe000000077	Energy production and conversion
GUe000000078	Posttranslational modification, protein turnover, chaperones
GUe000000079	Inorganic ion transport and metabolism
GUe000000080	Coenzyme transport and metabolism
GUe000000081	General function prediction only
GUe000000590	Carbohydrate transport and metabolism
GUe000000735	Cell motility
GUe000000736	Cell wall/membrane/envelope biogenesis
GUe000000737	Replication, recombination and repair
GUe000000738	Intracellular trafficking, secretion, and vesicular transport
GUe000001485	Function unknown
GUe000001646	Translation, ribosomal structure and biogenesis
GUe000004434	RNA processing and modification
GUe000004846	Defense mechanisms
GUe000004847	Cell cycle control, cell division, chromosome partitioning
GUe000008969	Mobilome: prophages, transposons
