"gene","iM","Val"
"b1948","FlhDC-1",-9.19128080564322
"b1948","FlhDC-2",-3
"b1947","FlhDC-1",-9.25552759089779
"b1947","FlhDC-2",-7
"b1072","FlhDC-1",-8.9759515333719
"b1072","FlhDC-2",-6
"b1946","FlhDC-1",-9.5734610932123
"b1946","FlhDC-2",-3
"b1937","FlhDC-1",-9.46622676885735
"b1937","FlhDC-2",-8
"b1904","FlhDC-1",-9.62414136733161
"b1904","FlhDC-2",-7
"b1081","FlhDC-1",-9.20675719537947
"b1081","FlhDC-2",-10
"b1880","FlhDC-1",-9.02415193988842
"b1880","FlhDC-2",-6
"b1939","FlhDC-1",-9.34772066846478
"b1939","FlhDC-2",-3
"b1940","FlhDC-1",-9.18267305379159
"b1940","FlhDC-2",-3
"b1879","FlhDC-1",-8.61369083838309
"b1879","FlhDC-2",-7
"b1878","FlhDC-1",-8.91530838045608
"b1878","FlhDC-2",-4
"b1080","FlhDC-1",-9.20436609689467
"b1080","FlhDC-2",-3
"b1949","FlhDC-1",-9.1020676240516
"b1949","FlhDC-2",-9
"b1950","FlhDC-1",-9.2416620648022
"b1950","FlhDC-2",-6
