k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,Sugar Diacid,CdaR,Transport and catabolism of carbohydrate diacids (galacatarate and glucarate),Uncharacterized,14,0.0024127485650338176,0.6428571428571429,1.0,0
1,Translation,DksA,Ribosome biogenesis,Uncharacterized,53,0.007469244936529229,0.8301886792452831,0.39285714285714285,1
2,ygdT,,Unknown,Uncharacterized,3,0.0003444287841030125,,,2
3,OxyR,OxyR,"Oxidative stress response, especially peroxide",Uncharacterized,38,0.001747389953030365,0.42105263157894735,0.5517241379310345,3
4,FlhDC-2,FlhDC,Flagellum biosynthesis and export,Uncharacterized,43,0.03002112021518999,0.8604651162790697,0.4567901234567901,4
5,Osmoprotectant,RpoS and ppGpp and IHF and H-NS,Transport of osmoprotectant glycine betaine,Uncharacterized,4,0.004189024907953809,0.75,0.375,5
6,Glutamine,NtrC,Glutamine transport and synthesis,Uncharacterized,9,0.005121960573251538,0.5555555555555556,0.29411764705882354,6
7,Sialic Acid,Crp and NanR,N-acetyl-neuraminic acid (or sialic acid) transport and metabolism,Uncharacterized,13,0.001740666497255794,0.6153846153846154,1.0,7
8,yqhI,,Unknown,Uncharacterized,2,0.0015155493442772228,,,8
9,ROS TALE Amp,,Amplification of DLP12/IS3,Uncharacterized,9,0.004049668579637844,,,9
10,Nucleotide Stress,,DNA repair; stringent response signaling via ppGpp; ribosomal biogenesis and stability,Uncharacterized,15,0.005925631323866809,,,10
11,Histidine,His-tRNA and DksA,Histidine biosynthesis,Uncharacterized,9,0.002411223379945149,0.8888888888888888,1.0,11
12,UC-4,,Unknown,Uncharacterized,39,0.003195530922237788,,,12
13,RpoH,RpoH,Global heat shock response during log-phase; response to high temperature and/or misfolded proteins,Uncharacterized,41,0.0039865130407905625,0.8292682926829268,0.24285714285714285,13
14,FucR/AllR/AraC,FucR or AllR or AraC,Allantoin/glycolate/glyoxylate/arabinose/fucose transport and catabolism,Uncharacterized,20,0.0011734254283444212,1.0,0.6666666666666666,14
15,ldrC,,Unknown,Uncharacterized,1,0.001387527626790508,,,15
16,Ferric Citrate,PdhR and HypT and Nac and Crp and Fur and FecI,Ferric citrate transporter; iron uptake under intracellular limitation,Uncharacterized,7,0.0009606918070365067,0.7142857142857143,1.0,16
17,Zinc-1,Zur or ZntR or CueR,Zinc sensing and uptake; copper sensing and export,Uncharacterized,14,0.009916591440277678,0.6428571428571429,0.6428571428571429,17
18,Methionine,MetJ,Methionine transport and biosynthesis,Uncharacterized,21,0.006689771529759803,0.5238095238095238,0.7333333333333333,18
19,Sorbitol,SrlR and GutM and Crp and H-NS,Sorbitol transport and catabolism,Uncharacterized,6,0.002664523142145492,1.0,0.8571428571428571,19
20,Glycerol,Crp and GlpR,Glycerol/glycerol-3-phosphate transport and catabolism,Uncharacterized,11,0.007230758811207161,0.8181818181818182,1.0,20
21,Nucleoside,Crp and CytR,Transport and utilization of ribonucleosides and deoxyribonucleosides,Uncharacterized,11,0.0013260197751645553,0.5454545454545454,0.5454545454545454,21
22,SoxS,SoxS,"Superoxide/nitric oxide sensing and removal, protection from organic solvents and antibiotics",Uncharacterized,117,0.004168169538609545,0.27350427350427353,0.7619047619047619,22
23,thrA KO,,thrA KO and compensatory transcriptional changes,Uncharacterized,5,0.0012832693113496996,,,23
