,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120008923,ptsG,1,1265716,,,,,,1265716,1267252
1,ECK120008922,moaABCDE,1,887180,,,,,,887180,890013
2,ECK120008921,dmsABC,1,1048898,,,,,,1048898,1052916
3,ECK120008917,cpxPQ,1,4331282,,,,,,4331282,4331876
4,ECK120008914,astCADBE,-1,1972114,,,,,,1966025,1972114
5,ECK120008915,astCADBE,-1,1972114,,,,,,1966030,1972114
6,ECK120008924,ptsG,1,1265576,,,,,,1265576,1267252
7,ECK120008947,fur,-1,781460,,,,,,780855,781460
8,ECK120008946,fldA-uof-fur,-1,781460,,,,,,780057,781460
9,ECK120008980,sufABCDSE,-1,1905236,,,,,,1899692,1905236
10,ECK120008916,nrdHIEF,1,2946770,,,,,,2946770,2950575
11,ECK120008925,grcA,-1,2886987,,,,,,2886530,2886987
12,ECK120009060,ibpB,-1,4088767,,,,,,4088255,4088767
13,ECK120008928,rrsB-gltT-rrlB-rrfB,1,4431015,,,,,,4431015,4436609
14,ECK120008929,rrsC-gltU-rrlC-rrfC,1,4165948,,,,,,4165948,4171499
15,ECK120008930,rrsC-gltU-rrlC-rrfC,1,4166065,,,,,,4166065,4171499
16,ECK120008932,rrsG-gltW-rrlG-rrfG,-1,2896991,,,,,,2891602,2896991
17,ECK120008933,rrsG-gltW-rrlG-rrfG,-1,2896991,,,,,,2891719,2896991
18,ECK120008934,rrsH-ileV-alaV-rrlH-rrfH,1,223956,,,,,,223956,229346
19,ECK120008935,rrsH-ileV-alaV-rrlH-rrfH,1,224065,,,,,,224065,229346
20,ECK120008938,dnaN-recF,-1,4102446,,,,,,4099861,4102446
21,ECK120008939,dnaN-recF,-1,4102446,,,,,,4100004,4102446
22,ECK120008940,dnaN-recF,-1,4102446,,,,,,4100032,4102446
23,ECK120008941,dnaN-recF,-1,4102446,,,,,,4100246,4102446
24,ECK120008942,gdhA,1,1988467,,,,,,1988467,1989873
25,ECK120008927,rrsA-ileT-alaT-rrlA-rrfA,1,4259581,,,,,,4259581,4264974
26,ECK120008950,fliLMNOPQR,1,2171073,,,,,,2171073,2175157
27,ECK120008953,nanATEK-yhcH,-1,3581973,,,,,,3577367,3581973
28,ECK120008977,exbD,-1,3366854,,,,,,3366016,3366854
29,ECK120008943,sugE,1,4634579,,,,,,4634579,4634977
30,ECK120008948,cbl,-1,2211380,,,,,,2210403,2211380
31,ECK120008951,dctA,-1,3877993,,,,,,3876656,3877993
32,ECK120008952,flxA,1,1786383,,,,,,1786383,1786732
33,ECK120008954,asr,1,1817609,,,,,,1817609,1818002
34,ECK120009061,groSL,1,4628560,,,,,,4628560,4630615
35,ECK120008955,fxsA,1,4626546,,,,,,4626546,4627083
36,ECK120008956,pth-ychF,-1,1349678,,,,,,1347857,1349678
37,ECK120008957,ychF,-1,1349678,,,,,,1348517,1349678
38,ECK120008960,iscRSUA,-1,2830959,,,,,,2828323,2830959
39,ECK120008961,gabDTP,1,2937288,,,,,,2937288,2941768
40,ECK120008962,glcDEFGBA,-1,3328701,,,,,,3320221,3328701
41,ECK120008963,glcC,1,3337311,,,,,,3337311,3338141
42,ECK120008964,osmY,1,4871899,,,,,,4871899,4872747
43,ECK120008965,rlmL-uup,1,1115859,,,,,,1115859,1120057
44,ECK120008967,ybjC-nfsA-rimK-ybjN,1,998861,,,,,,998861,1001402
45,ECK120008968,rimK-ybjN,1,999845,,,,,,999845,1001402
46,ECK120008969,gadX,-1,3860694,,,,,,3859770,3860694
47,ECK120008970,metNIQ,-1,220584,,,,,,217983,220584
48,ECK120008971,serA,-1,3254316,,,,,,3252946,3254316
49,ECK120008972,mhpABCDFE,1,447542,,,,,,447542,453904
50,ECK120008973,treR,-1,4724641,,,,,,4723650,4724641
51,ECK120008974,treR,-1,4724641,,,,,,4723646,4724641
52,ECK120008975,treR,-1,4724641,,,,,,4723578,4724641
53,ECK120008976,mgrB,-1,2056760,,,,,,2056591,2056760
54,ECK120008978,fhuE,-1,1267275,,,,,,1264953,1267275
55,ECK120008944,chpSB,1,4706760,,,,,,4706760,4707374
56,ECK120009005,metBL,1,4393594,,,,,,4393594,4397414
57,ECK120008945,uof-fur,-1,781460,,,,,,780749,781460
58,ECK120009023,nagE,1,775313,,,,,,775313,777438
59,ECK120009020,hemA,1,1356540,,,,,,1356540,1357927
60,ECK120008983,metJ,-1,4393036,,,,,,4392556,4393036
61,ECK120009019,hemA-prfA-prmC,1,1356633,,,,,,1356633,1359884
62,ECK120008984,metJ,-1,4393036,,,,,,4392585,4393036
