Parameter,Value
act_TF_conc_lo,1.972522782123699e-17
act_TF_conc_up,5.272672376268726e-06
act_Kd_lo,1.2830760323170926e-06
act_Kd_up,1.3707144660666821
inh_TF_conc_lo,1.972522782123699e-17
inh_TF_conc_up,5.272672376268726e-06
inh_Kd_lo,1.2830760323170926e-06
inh_Kd_up,1.3707144660666821
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,4.57098733897409e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
