,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120009763,mdfA,1,1008936,,,,,,1008936,1010225
1,ECK120009752,cmk-rpsA,1,1090808,,,,,,1090808,1093359
2,ECK120009753,ybgA-phr,1,815626,,,,,,815626,817571
3,ECK120009754,napFDAGHBC-ccmABCDEFGH,-1,3024911,,,,,,3012692,3024911
4,ECK120009755,phr,1,816067,,,,,,816067,817571
5,ECK120009757,gadBC,-1,2090149,,,,,,2086981,2090149
6,ECK120009759,glpEGR,-1,4272701,,,,,,4270605,4272701
7,ECK120009760,glpGR,-1,4272701,,,,,,4270974,4272701
8,ECK120009761,glpR,-1,4272701,,,,,,4271563,4272701
9,ECK120009762,glpR,-1,4272701,,,,,,4271698,4272701
10,ECK120009764,hydN-hypF,-1,3558892,,,,,,3555933,3558892
11,ECK120009777,hupB,1,527357,,,,,,527357,527830
12,ECK120009765,acpP-fabF,1,1510670,,,,,,1510670,1512275
13,ECK120009768,dadAX,1,1679029,,,,,,1679029,1681470
14,ECK120009751,cutA,-1,5219469,,,,,,5219095,5219469
15,ECK120009771,rnc-era-recO-pdxJ-acpS,-1,3421002,,,,,,3417397,3421002
16,ECK120009772,pdxJ-acpS,-1,3421002,,,,,,3419807,3421002
17,ECK120009773,hupA,1,5009001,,,,,,5009001,5009426
18,ECK120009403,torCAD,1,1236409,,,,,,1236409,1240751
19,ECK120009774,hupB,1,527494,,,,,,527494,527830
20,ECK120009404,treBC,-1,5318592,,,,,,5315436,5318592
21,ECK120009775,hupB,1,527447,,,,,,527447,527830
22,ECK120009776,hupB,1,527384,,,,,,527384,527830
23,ECK120009769,dadAX,1,1679058,,,,,,1679058,1681470
24,ECK120009801,yceD-rpmF,1,1505744,,,,,,1505744,1506635
25,ECK120009782,relA-mazEF,-1,3633155,,,,,,3630082,3633155
26,ECK120009746,arcA,-1,5496337,,,,,,5495075,5496337
27,ECK120009719,ompR-envZ,-1,4246667,,,,,,4244385,4246667
28,ECK120009748,putA,-1,1315740,,,,,,1311735,1315740
29,ECK120009401,ftsQAZ,1,107472,,,,,,107472,111061
30,ECK120009806,nac,-1,2730487,,,,,,2729525,2730487
31,ECK120009793,rpsA-ihfB,1,1091502,,,,,,1091502,1093815
32,ECK120009783,mazEFG,-1,3632293,,,,,,3630819,3632293
33,ECK120009784,mazEFG,-1,3632293,,,,,,3630832,3632293
34,ECK120009785,ilvLXG_1G_2MEDA,1,4743662,,,,,,4743662,4750569
35,ECK120009786,ilvLXG_1G_2MEDA,1,4743734,,,,,,4743734,4750569
36,ECK120009787,ilvEDA,1,4745834,,,,,,4745834,4750569
37,ECK120009780,cfa,1,2340912,,,,,,2340912,2342272
38,ECK120009789,adhE,-1,1739489,,,,,,1736626,1739489
