,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120026943,hslJ,-1,1590494,,,,,,1590035,1590494
1,ECK120026819,wrbA-yccJ,-1,1165237,,,,,,1164343,1165237
2,ECK120026926,zntB,1,1529719,,,,,,1529719,1530728
3,ECK120026924,uspE,-1,1519367,,,,,,1518380,1519367
4,ECK120026919,ycjY,-1,1513115,,,,,,1511976,1513115
5,ECK120026914,puuCBE,1,1498240,,,,,,1498240,1502327
6,ECK120026908,fabI,-1,1485860,,,,,,1484993,1485860
7,ECK120026907,yciW,-1,1484589,,,,,,1483437,1484589
8,ECK120026904,lapAB,1,1475747,,,,,,1475747,1477339
9,ECK120026903,pgpB,1,1474921,,,,,,1474921,1475706
10,ECK120026902,ymiA-yciX,1,1470702,,,,,,1470702,1471070
11,ECK120021253,mcaS,-1,1527354,,,,,,1527262,1527354
12,ECK120026898,yciVOQ,1,1458792,,,,,,1458792,1462251
13,ECK120026894,yciCB,-1,1394381,,,,,,1392944,1394381
14,ECK120026892,yciI,-1,1392689,,,,,,1392366,1392689
15,ECK120026887,ychJ,-1,1372995,,,,,,1372492,1372995
16,ECK120026863,bluR,-1,1290560,,,,,,1289775,1290560
17,ECK120026843,ldtC,-1,1261851,,,,,,1260846,1261851
18,ECK120026835,grxB,-1,1213611,,,,,,1212915,1213611
19,ECK120026833,dinI,-1,1211446,,,,,,1211179,1211446
20,ECK120026832,solA-yceO,-1,1209508,,,,,,1208206,1209508
21,ECK120026831,yceJI,-1,1208102,,,,,,1206932,1208102
22,ECK120026828,ymdB-clsC,1,1196004,,,,,,1196004,1197977
23,ECK120026897,yciGFE,-1,1450273,,,,,,1448849,1450273
24,ECK120026811,yccA,-1,1138182,,,,,,1137440,1138182
25,ECK120026806,mgsA,-1,1134038,,,,,,1133554,1134038
26,ECK120026712,lipA,-1,735005,,,,,,733955,735005
27,ECK120026807,yccT,-1,1134592,,,,,,1133866,1134592
28,ECK120026805,yccFS,-1,1129211,,,,,,1126576,1129211
29,ECK120026799,asnS,-1,1101716,,,,,,1100064,1101716
30,ECK120026797,ycbK-gloC,1,1097533,,,,,,1097533,1098807
31,ECK120026796,ldtD,1,1095441,,,,,,1095441,1097404
32,ECK120026795,ycbJ,1,1086182,,,,,,1086182,1087155
33,ECK120026794,ycaR-kdsB,1,1085152,,,,,,1085152,1086108
34,ECK120026789,pflA,-1,1064812,,,,,,1063959,1064812
35,ECK120026786,serS,1,1055345,,,,,,1055345,1056745
36,ECK120026785,lolA-rarA,1,1053308,,,,,,1053308,1055317
37,ECK120026784,trxB,-1,1046881,,,,,,1045822,1046881
38,ECK120026782,lysO,-1,1029594,,,,,,1028657,1029594
39,ECK120026776,rybB,-1,1001355,,,,,,1001275,1001355
40,ECK120026769,iaaA-gsiABCD,1,978963,,,,,,978963,985227
41,ECK120026762,mcbA,-1,954217,,,,,,953860,954217
42,ECK120026759,ybiI,-1,950611,,,,,,950317,950611
43,ECK120026756,cecR-ybhGFSR,-1,937508,,,,,,931841,937508
44,ECK120026753,ybhL,1,930412,,,,,,930412,931142
45,ECK120026751,ybhC,-1,875771,,,,,,874448,875771
46,ECK120026749,acrZ,1,864690,,,,,,864690,864861
47,ECK120026745,nadA-pnuC,1,851989,,,,,,851989,853813
48,ECK120026729,chiPQ,1,784953,,,,,,784953,786834
49,ECK120026717,rsfS-rlmH-mrdAB-rlpA,-1,739858,,,,,,734888,739858
50,ECK120026827,ymdA,1,1195402,,,,,,1195402,1195926
51,ECK120026826,ycdZ,1,1190453,,,,,,1190453,1190988
52,ECK120026709,cspE,1,733000,,,,,,733000,733251
53,ECK120026708,dpiBA,1,727734,,,,,,727734,730292
54,ECK120026593,ecpBCDE,-1,353431,,,,,,347808,353431
55,ECK120026640,tig,1,519245,,,,,,519245,520683
56,ECK120026675,folD-ybcJ,-1,644678,,,,,,643558,644678
57,ECK120026667,fetAB,1,610674,,,,,,610674,612133
58,ECK120026662,ybaL,-1,567141,,,,,,565408,567141
59,ECK120026661,hemH,1,562178,,,,,,562178,563164
60,ECK120026658,dnaX,1,556307,,,,,,556307,558274
61,ECK120026655,mscK,1,550743,,,,,,550743,554149
62,ECK120026654,tomB-hha,-1,544341,,,,,,543637,544341
63,ECK120026652,ylaC,-1,543032,,,,,,542525,543032
64,ECK120026647,decR,1,532604,,,,,,532604,533093
65,ECK120026643,fadM,1,528612,,,,,,528612,529052
66,ECK120026639,yajG,-1,517809,,,,,,517156,517809
67,ECK120026594,ecpA,-1,359019,,,,,,358306,359019
68,ECK120026637,yajR,-1,509554,,,,,,508169,509554
69,ECK120026631,brnQ-proY,1,479343,,,,,,479343,482214
70,ECK120026630,sbcDC,-1,472465,,,,,,468098,472465
71,ECK120026629,ykiA,1,468534,,,,,,468534,468910
72,ECK120026628,ppnP,1,468108,,,,,,468108,468421
73,ECK120026626,iraP,1,461280,,,,,,461280,461607
74,ECK120026621,hemB,-1,449798,,,,,,448797,449798
75,ECK120026613,mhpT,1,437945,,,,,,437945,439229
76,ECK120026596,ykgMO,-1,361307,,,,,,360876,361307
77,ECK120026572,frsA,1,330555,,,,,,330555,331824
78,ECK120021241,marC,-1,1750053,,,,,,1749355,1750053
79,ECK120026568,dinB-yafNOP,1,323212,,,,,,323212,325493
80,ECK120021263,luxS,-1,3076618,,,,,,3076020,3076618
81,ECK120026707,citCDEFXG,-1,722380,,,,,,717059,722380
82,ECK120026705,rna,-1,719946,,,,,,719109,719946
83,ECK120026553,gmhB,1,227655,,,,,,227655,228257
84,ECK120026550,yaeQ-arfB-nlpE,1,219301,,,,,,219301,221000
85,ECK120026549,yaeP-rof,-1,218699,,,,,,218190,218699
86,ECK120026538,dgt,1,184969,,,,,,184969,186527
87,ECK120026537,mtn-btuF-yadS,-1,182774,,,,,,180592,182774
88,ECK120026535,mrcB,1,170611,,,,,,170611,173154
89,ECK120026526,lpxC,1,113200,,,,,,113200,114236
90,ECK120026525,cra,1,94639,,,,,,94639,95724
91,ECK120026524,leuO,1,90880,,,,,,90880,92004
92,ECK120026521,yabI,1,78204,,,,,,78204,79048
93,ECK120026516,yaaU,1,52134,,,,,,52134,53682
94,ECK120026304,pepD,-1,328312,,,,,,326834,328312
95,ECK120026302,dgcC,1,463647,,,,,,463647,464778
96,ECK120026301,yjjB-dnaTC,-1,5201408,,,,,,5199370,5201408
97,ECK120026300,dnaTC,-1,5201408,,,,,,5199932,5201408
98,ECK120026299,yjjB-dnaTC-yjjA,-1,5200889,,,,,,5198332,5200889
99,ECK120026298,tyrS-pdxY,-1,1884355,,,,,,1882112,1884355
100,ECK120026297,pdxH-tyrS-pdxY,-1,1884355,,,,,,1881347,1884355
101,ECK120026296,trpS,-1,3858728,,,,,,3857665,3858728
