,locus_tag,name,tss,strand
0,new_24_297_c,S2,297,-1
1,new_299_1067_c,S4,1066,-1
2,BSU_00010,dnaA,157,1
4,BSU_00030,yaaA,3180,1
6,BSU_00050,remB,3650,1
8,BSU_00070,gyrA,6916,1
9,BSU_rRNA_1,rrnO-16S,9374,1
10,BSU_tRNA_5,trnO-Ile,9540,1
11,BSU_tRNA_6,trnO-Ala,9637,1
12,BSU_00080,yaaC,15875,-1
13,BSU_00090,guaB,15870,1
14,new_17238_17833_c,S9,17833,-1
15,BSU_00100,dacA,17453,1
17,new_19194_19923_c,S13,19923,-1
19,BSU_misc_RNA_1,T-box_tboS,18976,1
21,BSU_tRNA_7,trnSL-Ser1,22268,1
22,BSU_00140,dck,23828,-1
23,BSU_00160,yaaH,25184,-1
24,BSU_00170,yaaI,25810,-1
25,BSU_00180,yaaJ,25657,1
26,BSU_misc_RNA_2,scr,26379,1
27,BSU_00190,dnaX,26779,1
28,BSU_00200,yaaK,29744,1
29,BSU_rRNA_4,rrnA-16S,30085,1
30,BSU_tRNA_8,trnA-Ile,30168,1
31,BSU_00240,csfB,35460,1
32,BSU_00250,xpaC,35797,1
35,BSU_00280,tmk,39112,1
36,BSU_00290,darA,39823,1
37,BSU_00370,abrB,45207,-1
38,BSU_00380,metS,45524,1
39,new_47673_50019_c,S25,50027,-1
41,BSU_00400,yabE,48556,1
42,BSU_00410,rnmV,49987,1
43,BSU_00420,ksgA,50097,1
44,BSU_00430,yabG,51571,1
45,BSU_00440,veg,52721,1
46,BSU_00450,sspF,53122,1
47,new_53363_55717_c,S31,55718,-1
48,BSU_00460,ispE,53469,1
49,BSU_00490,spoVG,55830,1
50,BSU_00500,gcaD,56324,1
53,BSU_00530,spoVC,58748,1
57,BSU_00570,yabM,64746,1
59,BSU_00590,yabO,66322,1
61,BSU_00610,yabQ,67081,1
63,BSU_00630,yabR,68178,1
64,BSU_tRNA_10,trnSL-Met1,70156,1
65,BSU_00640,spoIIE,70509,1
66,new_71190_71799_c,S37,71798,-1
68,BSU_00660,yabT,72031,1
69,BSU_00670,tilS,73065,1
70,BSU_00680,hprT,74385,1
71,BSU_00690,ftsH,74886,1
72,BSU_00700,coaX,79027,1
74,BSU_00720,yacD,81448,1
75,BSU_00730,cysK,81731,1
76,BSU_00740,pabB,82768,1
78,BSU_00760,pabC,82831,1
80,BSU_00780,folB,83692,1
82,BSU_00800,yazB,84066,1
84,new_88050_89566_c,S41,89566,-1
85,BSU_rRNA_6,rrnJ-16S,90318,1
86,BSU_00830,ctsR,101291,1
88,BSU_00850,mcsB,101360,1
90,BSU_00870,radA,101409,1
92,BSU_00890,yacL,108598,1
93,BSU_00920,gltX,111003,1
95,BSU_00980,sigH,116575,1
97,BSU_01020,rplK,118452,1
100,BSU_01070,rpoB,121706,1
102,BSU_01090,rplGB,129285,1
103,BSU_01140,ybaC,134136,1
104,BSU_01150,rpsJ,135170,1
105,BSU_01480,truA,153211,1
106,new_153039_153507_c,S58,153529,-1
107,BSU_misc_RNA_4,ldlM,153725,1
108,BSU_01510,ybaJ,154838,1
109,BSU_01520,ybaK,156089,1
110,BSU_01530,cwlD,156588,1
111,BSU_01540,salA,157370,1
112,BSU_01550,gerD,159100,-1
113,BSU_01570,pdaB,160581,-1
114,BSU_rRNA_23,rrnI-16S,160675,1
