,locus_tag,name,left,right,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right
0,new_24_297_c,S2,24,297,-1,297,K,278,296,254,272
1,new_299_1067_c,S4,299,1067,-1,1066,"E, F",1046,1064,1021,1039
2,BSU_00010,dnaA,410,1750,1,157,A,137,155,113,131
4,BSU_00030,yaaA,3206,3421,1,3180,A,3160,3178,3136,3154
6,BSU_00050,remB,4567,4812,1,3650,A,3632,3650,3605,3623
8,BSU_00070,gyrA,6994,9459,1,6916,A,6896,6914,6872,6890
9,BSU_rRNA_1,rrnO-16S,9810,11364,1,9374,A,9355,9373,9330,9348
10,BSU_tRNA_5,trnO-Ile,11463,11540,1,9540,A,9520,9538,9495,9513
11,BSU_tRNA_6,trnO-Ala,11551,11627,1,9637,A,9618,9636,9594,9612
12,BSU_00080,yaaC,14847,15794,-1,15875,"F, G",15855,15873,15831,15849
13,BSU_00090,guaB,15915,17381,1,15870,A,15852,15870,15827,15845
14,new_17238_17833_c,S9,17238,17833,-1,17833,B,17814,17832,17788,17806
15,BSU_00100,dacA,17534,18865,1,17453,A,17433,17451,17408,17426
17,new_19194_19923_c,S13,19194,19923,-1,19923,"E, F",19905,19923,19878,19896
19,BSU_misc_RNA_1,T-box_tboS,20610,20823,1,18976,A,18957,18975,18932,18950
21,BSU_tRNA_7,trnSL-Ser1,22291,22384,1,22268,A,22250,22268,22223,22241
22,BSU_00140,dck,22496,23149,-1,23828,A,23809,23827,23784,23802
23,BSU_00160,yaaH,23868,25151,-1,25184,"E, F",25164,25182,25139,25157
24,BSU_00170,yaaI,25221,25766,-1,25810,B,25791,25809,25766,25784
25,BSU_00180,yaaJ,25852,26337,1,25657,A,25637,25655,25614,25632
26,BSU_misc_RNA_2,scr,26379,26732,1,26379,A,26361,26379,26336,26354
27,BSU_00190,dnaX,26814,28505,1,26779,A,26760,26778,26736,26754
28,BSU_00200,yaaK,28529,28852,1,29744,"E, F",29724,29742,29700,29718
29,BSU_rRNA_4,rrnA-16S,30279,31832,1,30085,A,30067,30085,30041,30059
30,BSU_tRNA_8,trnA-Ile,31931,32008,1,30168,A,30150,30168,30125,30143
31,BSU_00240,csfB,35531,35725,1,35460,K,35441,35459,35415,35433
32,BSU_00250,xpaC,35845,36459,1,35797,"W, X, Y",35778,35796,35754,35772
35,BSU_00280,tmk,39159,39797,1,39112,B,39094,39112,39068,39086
36,BSU_00290,darA,39871,40200,1,39823,A,39804,39822,39780,39798
37,BSU_00370,abrB,44848,45138,-1,45207,A,45187,45205,45163,45181
38,BSU_00380,metS,45633,47627,1,45524,A,45504,45522,45480,45498
39,new_47673_50019_c,S25,47673,50019,-1,50027,"W, X, Y",50007,50025,49983,50001
41,BSU_00400,yabE,48629,49942,1,48556,"E, F",48536,48554,48511,48529
42,BSU_00410,rnmV,50087,50647,1,49987,A,49967,49985,49944,49962
43,BSU_00420,ksgA,50640,51518,1,50097,?,50079,50097,50052,50070
44,BSU_00430,yabG,51680,52552,1,51571,K,51553,51571,51528,51546
45,BSU_00440,veg,52763,53023,1,52721,A,52703,52721,52678,52696
46,BSU_00450,sspF,53183,53368,1,53122,"F, G",53104,53122,53079,53097
47,new_53363_55717_c,S31,53363,55717,-1,55718,"E, F",55698,55716,55674,55692
48,BSU_00460,ispE,53516,54385,1,53469,A,53449,53467,53424,53442
49,BSU_00490,spoVG,55866,56159,1,55830,H,55812,55830,55787,55805
50,BSU_00500,gcaD,56352,57722,1,56324,A,56305,56323,56281,56299
53,BSU_00530,spoVC,59504,60070,1,58748,B,58728,58746,58705,58723
57,BSU_00570,yabM,64817,66415,1,64746,A,64727,64745,64701,64719
59,BSU_00590,yabO,67877,68137,1,66322,A,66303,66321,66278,66296
61,BSU_00610,yabQ,68515,69150,1,67081,D,67062,67080,67038,67056
63,BSU_00630,yabR,69626,70012,1,68178,"E, F",68159,68177,68134,68152
64,BSU_tRNA_10,trnSL-Met1,70180,70257,1,70156,A,70138,70156,70111,70129
65,BSU_00640,spoIIE,70538,73021,1,70509,A,70491,70509,70466,70484
66,new_71190_71799_c,S37,71190,71799,-1,71798,"E, F",71779,71797,71755,71773
68,BSU_00660,yabT,73809,74825,1,72031,B,72012,72030,71986,72004
69,BSU_00670,tilS,74929,76347,1,73065,"E, F",73045,73063,73022,73040
70,BSU_00680,hprT,76344,76886,1,74385,B,74365,74383,74340,74358
71,BSU_00690,ftsH,76984,78897,1,74886,A,74867,74885,74841,74859
72,BSU_00700,coaX,79092,79868,1,79027,A,79007,79025,78982,79000
74,BSU_00720,yacD,80802,81695,1,81448,"E, F",81429,81447,81403,81421
75,BSU_00730,cysK,81771,82697,1,81731,A,81711,81729,81686,81704
76,BSU_00740,pabB,82864,84276,1,82768,I,82750,82768,82725,82743
78,BSU_00760,pabC,84874,85755,1,82831,A,82811,82829,82787,82805
80,BSU_00780,folB,86587,86949,1,83692,A,83672,83690,83647,83665
82,BSU_00800,yazB,87401,87610,1,84066,A,84048,84066,84023,84041
84,new_88050_89566_c,S41,88050,89566,-1,89566,"E, F",89546,89564,89521,89539
85,BSU_rRNA_6,rrnJ-16S,90536,92089,1,90318,A,90299,90317,90274,90292
86,BSU_00830,ctsR,101449,101913,1,101291,A,101272,101290,101248,101266
88,BSU_00850,mcsB,102484,103575,1,101360,B,101340,101358,101317,101335
90,BSU_00870,radA,106096,107472,1,101409,A,101391,101409,101365,101383
92,BSU_00890,yacL,108674,109774,1,108598,B,108579,108597,108555,108573
93,BSU_00920,gltX,111047,112498,1,111003,A,110984,111002,110959,110977
95,BSU_00980,sigH,116600,117256,1,116575,A,116557,116575,116532,116550
97,BSU_01020,rplK,118591,119016,1,118452,A,118433,118451,118409,118427
100,BSU_01070,rpoB,121919,125500,1,121706,A,121686,121704,121663,121681
102,BSU_01090,rplGB,129340,129588,1,129285,A,129267,129285,129240,129258
