,locus_tag,name,left,right,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right
0,new_24_297_c,S2,24,297,-1,297,K,303,308,337,342
1,new_299_1067_c,S4,299,1067,-1,1066,"E, F",1067,1072,1102,1107
2,BSU_00010,dnaA,410,1750,1,157,A,147,152,123,128
4,BSU_00030,yaaA,3206,3421,1,3180,A,3165,3170,3146,3151
6,BSU_00050,remB,4567,4812,1,3650,A,3631,3636,3605,3610
8,BSU_00070,gyrA,6994,9459,1,6916,A,6898,6903,6878,6883
9,BSU_rRNA_1,rrnO-16S,9810,11364,1,9374,A,9357,9362,9340,9345
10,BSU_tRNA_5,trnO-Ile,11463,11540,1,9540,A,9530,9535,9508,9513
11,BSU_tRNA_6,trnO-Ala,11551,11627,1,9637,A,9630,9635,9597,9602
12,BSU_00080,yaaC,14847,15794,-1,15875,"F, G",15884,15889,15914,15919
13,BSU_00090,guaB,15915,17381,1,15870,A,15850,15855,15838,15843
14,new_17238_17833_c,S9,17238,17833,-1,17833,B,17836,17841,17869,17874
15,BSU_00100,dacA,17534,18865,1,17453,A,17447,17452,17417,17422
17,new_19194_19923_c,S13,19194,19923,-1,19923,"E, F",19934,19939,19950,19955
19,BSU_misc_RNA_1,T-box_tboS,20610,20823,1,18976,A,18966,18971,18938,18943
21,BSU_tRNA_7,trnSL-Ser1,22291,22384,1,22268,A,22262,22267,22227,22232
22,BSU_00140,dck,22496,23149,-1,23828,A,23840,23845,23860,23865
23,BSU_00160,yaaH,23868,25151,-1,25184,"E, F",25198,25203,25212,25217
24,BSU_00170,yaaI,25221,25766,-1,25810,B,25819,25824,25841,25846
25,BSU_00180,yaaJ,25852,26337,1,25657,A,25645,25650,25616,25621
26,BSU_misc_RNA_2,scr,26379,26732,1,26379,A,26363,26368,26349,26354
27,BSU_00190,dnaX,26814,28505,1,26779,A,26759,26764,26739,26744
28,BSU_00200,yaaK,28529,28852,1,29744,"E, F",29728,29733,29710,29715
29,BSU_rRNA_4,rrnA-16S,30279,31832,1,30085,A,30067,30072,30044,30049
30,BSU_tRNA_8,trnA-Ile,31931,32008,1,30168,A,30155,30160,30134,30139
31,BSU_00240,csfB,35531,35725,1,35460,K,35440,35445,35421,35426
32,BSU_00250,xpaC,35845,36459,1,35797,"W, X, Y",35788,35793,35755,35760
35,BSU_00280,tmk,39159,39797,1,39112,B,39099,39104,39067,39072
36,BSU_00290,darA,39871,40200,1,39823,A,39804,39809,39787,39792
37,BSU_00370,abrB,44848,45138,-1,45207,A,45218,45223,45244,45249
38,BSU_00380,metS,45633,47627,1,45524,A,45508,45513,45492,45497
39,new_47673_50019_c,S25,47673,50019,-1,50027,"W, X, Y",50029,50034,50054,50059
41,BSU_00400,yabE,48629,49942,1,48556,"E, F",48544,48549,48523,48528
42,BSU_00410,rnmV,50087,50647,1,49987,A,49979,49984,49957,49962
43,BSU_00420,ksgA,50640,51518,1,50097,?,50084,50089,50056,50061
44,BSU_00430,yabG,51680,52552,1,51571,K,51557,51562,51531,51536
45,BSU_00440,veg,52763,53023,1,52721,A,52703,52708,52681,52686
46,BSU_00450,sspF,53183,53368,1,53122,"F, G",53104,53109,53083,53088
47,new_53363_55717_c,S31,53363,55717,-1,55718,"E, F",55722,55727,55756,55761
48,BSU_00460,ispE,53516,54385,1,53469,A,53462,53467,53424,53429
49,BSU_00490,spoVG,55866,56159,1,55830,H,55816,55821,55800,55805
50,BSU_00500,gcaD,56352,57722,1,56324,A,56307,56312,56282,56287
53,BSU_00530,spoVC,59504,60070,1,58748,B,58736,58741,58718,58723
57,BSU_00570,yabM,64817,66415,1,64746,A,64729,64734,64701,64706
59,BSU_00590,yabO,67877,68137,1,66322,A,66312,66317,66287,66292
61,BSU_00610,yabQ,68515,69150,1,67081,D,67063,67068,67051,67056
63,BSU_00630,yabR,69626,70012,1,68178,"E, F",68169,68174,68145,68150
64,BSU_tRNA_10,trnSL-Met1,70180,70257,1,70156,A,70139,70144,70117,70122
65,BSU_00640,spoIIE,70538,73021,1,70509,A,70497,70502,70474,70479
66,new_71190_71799_c,S37,71190,71799,-1,71798,"E, F",71810,71815,71824,71829
68,BSU_00660,yabT,73809,74825,1,72031,B,72021,72026,71989,71994
69,BSU_00670,tilS,74929,76347,1,73065,"E, F",73055,73060,73024,73029
70,BSU_00680,hprT,76344,76886,1,74385,B,74372,74377,74345,74350
71,BSU_00690,ftsH,76984,78897,1,74886,A,74880,74885,74847,74852
72,BSU_00700,coaX,79092,79868,1,79027,A,79018,79023,78992,78997
74,BSU_00720,yacD,80802,81695,1,81448,"E, F",81432,81437,81409,81414
75,BSU_00730,cysK,81771,82697,1,81731,A,81725,81730,81688,81693
76,BSU_00740,pabB,82864,84276,1,82768,I,82754,82759,82735,82740
78,BSU_00760,pabC,84874,85755,1,82831,A,82812,82817,82801,82806
80,BSU_00780,folB,86587,86949,1,83692,A,83680,83685,83649,83654
82,BSU_00800,yazB,87401,87610,1,84066,A,84046,84051,84025,84030
84,new_88050_89566_c,S41,88050,89566,-1,89566,"E, F",89581,89586,89591,89596
85,BSU_rRNA_6,rrnJ-16S,90536,92089,1,90318,A,90300,90305,90287,90292
86,BSU_00830,ctsR,101449,101913,1,101291,A,101282,101287,101255,101260
88,BSU_00850,mcsB,102484,103575,1,101360,B,101344,101349,101319,101324
90,BSU_00870,radA,106096,107472,1,101409,A,101392,101397,101371,101376
92,BSU_00890,yacL,108674,109774,1,108598,B,108583,108588,108558,108563
93,BSU_00920,gltX,111047,112498,1,111003,A,110988,110993,110969,110974
95,BSU_00980,sigH,116600,117256,1,116575,A,116562,116567,116533,116538
97,BSU_01020,rplK,118591,119016,1,118452,A,118439,118444,118419,118424
100,BSU_01070,rpoB,121919,125500,1,121706,A,121696,121701,121669,121674
102,BSU_01090,rplGB,129340,129588,1,129285,A,129277,129282,129247,129252
103,BSU_01140,ybaC,134171,135127,1,134136,A,134117,134122,134105,134110
104,BSU_01150,rpsJ,135364,135672,1,135170,A,135159,135164,135130,135135
105,BSU_01480,truA,152937,153680,1,153211,?,153199,153204,153181,153186
106,new_153039_153507_c,S58,153039,153507,-1,153529,K,153529,153534,153566,153571
107,BSU_misc_RNA_4,ldlM,153736,153793,1,153725,A,153713,153718,153694,153699
108,BSU_01510,ybaJ,155156,155923,1,154838,A,154831,154836,154795,154800
109,BSU_01520,ybaK,156109,156552,1,156089,"F, G",156078,156083,156056,156061
110,BSU_01530,cwlD,156612,157325,1,156588,"E, F",156583,156588,156548,156553
111,BSU_01540,salA,157421,158479,1,157370,A,157361,157366,157339,157344
112,BSU_01550,gerD,158515,159072,-1,159100,"F, G",159108,159113,159129,159134
113,BSU_01570,pdaB,159779,160543,-1,160581,"E, F",160584,160589,160614,160619
114,BSU_rRNA_23,rrnI-16S,160893,162445,1,160675,A,160660,160665,160641,160646
115,BSU_01580,ybaR,177083,178519,1,176926,A,176908,176913,176886,176891
116,BSU_01590,ybaS,178665,179585,1,178598,A,178586,178591,178560,178565
117,BSU_01600,ybbA,179595,180347,-1,183358,A,183363,183368,183392,183397
118,BSU_01610,feuC,180344,181354,-1,183361,A,183363,183368,183392,183397
119,BSU_01620,feuB,181347,182351,-1,183364,A,183372,183377,183392,183397
120,BSU_01640,btr,183414,185003,-1,185056,A,185061,185066,185088,185093
121,BSU_01650,ybbC,185194,186438,-1,193009,A,193023,193028,193037,193042
123,BSU_01720,ybbK,193570,194025,-1,194072,A,194081,194086,194107,194112
124,BSU_tRNA_75,trnSL-Glu2,194204,194279,1,194178,A,194166,194171,194141,194146
125,BSU_01730,sigW,194849,195412,1,194788,"W, X, Y",194768,194773,194745,194750
126,BSU_01740,rsiW,195426,196052,1,194821,W,194803,194808,194785,194790
127,BSU_01750,cdaA,196213,197034,1,196132,A,196124,196129,196092,196097
129,BSU_01770,glmM,198497,199843,1,199878,K,199871,199876,199845,199850
130,BSU_misc_RNA_5,glmS ribozyme,200016,200187,1,199957,A,199940,199945,199927,199932
131,BSU_01780,glmS,200277,202079,1,200014,?,200003,200008,199974,199979
132,BSU_01800,alkA,202547,203458,-1,203507,A,203513,203518,203532,203537
133,BSU_01810,adaA,203729,204364,1,203608,A,203591,203596,203564,203569
134,new_204977_205210,S72,204977,205210,1,204977,A,204967,204972,204941,204946
135,BSU_01889,ybzH,211429,211731,1,211414,A,211409,211414,211378,211383
136,BSU_01890,ybcL,211859,213031,1,212401,A,212382,212387,212357,212362
137,BSU_01900,ybcM,213155,213469,1,213283,?,213265,213270,213253,213258
138,BSU_01910,skfA,213941,214108,1,213888,A,213872,213877,213847,213852
140,BSU_01935,skfC,215404,216894,1,216321,H,216309,216314,216278,216283
141,BSU_02010,ybdK,221950,222912,1,221861,A,221846,221851,221829,221834
142,BSU_02019,ybzI,222971,223234,1,222945,A,222929,222934,222902,222907
143,BSU_02030,prkD,223219,223989,-1,224181,K,224183,224188,224208,224213
144,BSU_02040,ybdN,224075,224932,-1,224970,A,224973,224978,224996,225001
145,BSU_02050,ybdO,225064,226248,1,225023,D,225015,225020,224993,224998
146,BSU_02060,ybxG,226566,227954,1,226436,A,226421,226426,226393,226398
147,BSU_02070,csgA,228066,228314,1,228021,"F, G",228011,228016,227988,227993
148,BSU_02090,ybxI,228549,229352,-1,229382,H,229392,229397,229420,229425
149,BSU_02100,cypC,229525,230778,1,229493,B,229478,229483,229450,229455
150,BSU_02110,ybyB,230819,231079,-1,231118,B,231124,231129,231150,231155
151,BSU_02120,aimA,231348,232967,1,231288,A,231270,231275,231249,231254
152,BSU_02130,glpQ,233014,233895,-1,233928,"?, A",233933,233938,233962,233967
153,BSU_02140,glpT,233994,235328,-1,235401,?,235408,235413,235439,235444
154,new_234998_235624,S81,234998,235624,1,234998,K,234986,234991,234957,234962
155,BSU_02160,ybfA,235965,236882,1,235904,A,235885,235890,235870,235875
156,BSU_02180,ybfE,238164,238448,-1,238569,"E, F",238577,238582,238604,238609
157,BSU_02181,ybfEn,238354,238476,-1,241889,?,241896,241901,241916,241921
158,BSU_02210,ybfH,241917,242837,-1,243695,A,243704,243709,243723,243728
159,BSU_02230,purT,243892,245046,1,243871,A,243859,243864,243835,243840
160,BSU_02240,mpr,245190,246131,1,245121,"E, F",245106,245111,245077,245082
162,BSU_02260,ybfK,246658,247548,1,246583,A,246565,246570,246543,246548
164,BSU_02280,ybfM,248268,248756,1,246908,D,246890,246895,246875,246880
166,BSU_02310,ybfO,249979,251319,1,249934,"W, X, Y",249921,249926,249900,249905
169,BSU_02340,gltP,253518,254762,-1,254805,H,254813,254818,254845,254850
170,BSU_02350,gamP,254907,256802,-1,257635,A,257643,257648,257660,257665
171,BSU_02360,gamA,256823,257572,-1,258596,B,258609,258614,258621,258626
172,BSU_02370,gamR,257791,258498,1,256685,A,256669,256674,256651,256656
173,BSU_02380,ybgB,258532,258807,1,257750,A,257735,257740,257709,257714
174,BSU_02390,ybgE,259016,260086,1,258889,A,258876,258881,258853,258858
175,BSU_02400,ybgF,260123,261535,-1,261647,A,261660,261665,261673,261678
176,BSU_02410,ybgG,261656,262603,-1,262658,A,262658,262663,262690,262695
177,BSU_02420,glnT,262732,264168,-1,265269,A,265281,265286,265299,265304
178,BSU_02440,glnK,265476,266708,1,265279,A,265262,265267,265248,265253
179,BSU_02460,ycbC,267890,268816,1,267772,A,267766,267771,267740,267745
182,BSU_02490,ycbF,271800,273167,1,273206,A,273196,273201,273161,273166
184,BSU_02530,rtpA,277160,277321,1,276798,A,276783,276788,276762,276767
186,BSU_02550,ycbL,278377,279057,1,278308,A,278296,278301,278278,278283
188,BSU_02590,ycbP,281769,282155,-1,282200,B,282214,282219,282232,282237
189,BSU_02600,cwlJ,282469,282897,1,282446,"E, F",282431,282436,282403,282408
190,BSU_02610,ycbR,283003,283734,1,282963,A,282954,282959,282924,282929
191,BSU_02620,phoD,284011,285762,1,283984,"?, A",283978,283983,283947,283952
193,BSU_02650,pcp,286773,287420,-1,287449,A,287460,287465,287479,287484
194,BSU_02660,ycbU,287499,288611,1,287471,A,287451,287456,287435,287440
195,BSU_02670,lmrB,288653,290092,-1,290740,A,290744,290749,290768,290773
196,BSU_02690,ansZ,290915,292042,1,290888,A,290879,290884,290843,290848
197,BSU_02700,lip,292205,292843,1,292159,A,292151,292156,292123,292128
198,BSU_02710,yczC,292881,293264,-1,293301,A,293301,293306,293326,293331
199,BSU_02720,yccF,293499,294575,1,293466,A,293447,293452,293429,293434
200,BSU_02740,natR,295584,296285,-1,296315,A,296328,296333,296340,296345
201,BSU_02750,natA,296429,297169,1,296394,A,296377,296382,296349,296354
202,BSU_02770,yccK,298466,299398,1,298401,H,298384,298389,298362,298367
204,BSU_02800,ycdC,302435,303796,1,302355,A,302337,302342,302314,302319
205,BSU_02810,cwlK,303804,304307,-1,304390,A,304403,304408,304416,304421
206,BSU_02820,rapJ,304430,305551,1,304379,A,304374,304379,304339,304344
207,BSU_02830,ycdF,305658,306434,1,305616,B,305597,305602,305583,305588
