,locus_tag,name,left,right,strand
0,ECK120011203,argP,3058340,3059336,1
1,ECK120011490,rtcR,4080550,4082148,-1
2,ECK120011629,lrp,932687,933511,1
3,ECK120011939,norR,2829431,2831014,-1
4,ECK120011950,mngR,765575,766377,-1
5,ECK120012348,melR,4345398,4346531,-1
6,ECK120013165,leuO,84000,85312,1
7,ECK120013176,lysR,2977606,2978612,1
8,ECK120013666,yeiL,2258391,2259348,1
9,ECK120013781,xapR,2526780,2528009,-1
10,ECK120014360,astCADBE,1827669,1834041,-1
11,ECK120014361,pyrH,191718,192580,1
12,ECK120014362,nrdHIEF,2799091,2803117,1
13,ECK120014365,fkpA,4162891,4163809,1
14,ECK120014366,aqpZ,915774,916469,-1
15,ECK120014367,dmsABC,941197,945318,1
16,ECK120014368,moaABCDE,817203,820169,1
17,ECK120014369,ptsG,1158640,1160879,1
18,ECK120014371,ldcC,209599,211820,1
19,ECK120014379,dnaAN-recF,3756375,3760267,1
20,ECK120014380,uspB,4000507,4001030,1
21,ECK120014381,gdhA,1843933,1845428,1
22,ECK120014382,efp,4380247,4380945,1
23,ECK120014383,sugE,4381379,4381872,1
24,ECK120014384,chpSB,4452857,4453722,1
25,ECK120014387,cbl,2062101,2063078,-1
26,ECK120014389,ydeA,1618669,1619932,1
27,ECK120014391,fliLMNOPQR,2021648,2025815,1
28,ECK120014392,dctA,3956803,3958254,1
29,ECK120014393,fabB,2445729,2447134,-1
30,ECK120014394,flxA,1648023,1648451,1
31,ECK120014395,fliC,2004247,2005813,-1
32,ECK120014396,tsr,4596076,4597992,1
33,ECK120014397,trg,1493997,1495824,1
34,ECK120014398,flgAMN,1130991,1132538,-1
35,ECK120014400,aer,3216212,3217836,-1
36,ECK120014402,ycgR,1245370,1246133,-1
37,ECK120014404,cspA,3920099,3920674,-1
38,ECK120014405,nanATEK-yhcH,3368869,3373546,-1
39,ECK120014407,sodB,1736936,1737828,1
40,ECK120014408,asr,1672968,1673434,1
41,ECK120014409,fxsA,4373283,4373820,1
42,ECK120014410,ribA,1340226,1340982,-1
43,ECK120014411,osmC,1558251,1558770,1
44,ECK120014412,pth-ychF,1258298,1260119,-1
45,ECK120014413,metK,3085162,3086516,1
46,ECK120014415,cusCFBA,594673,601080,1
47,ECK120014416,cusRS,592551,594752,-1
48,ECK120014417,inaA,2353492,2354220,-1
49,ECK120014418,iscRSUA,2658219,2660920,-1
50,ECK120014419,dcuD,3374388,3376091,1
51,ECK120014421,glcDEFGBA,3118253,3126915,-1
52,ECK120014423,osmY,4615640,4616681,1
53,ECK120014425,psiE,4243828,4244325,1
54,ECK120014426,hpt,141284,141967,1
55,ECK120014427,gcd,138801,141342,-1
56,ECK120014428,mfd,1172095,1175605,-1
57,ECK120014429,ybjC-nfsA-rimK-ybjN,891234,893855,1
58,ECK120014431,metNIQ,220113,222747,-1
59,ECK120014432,serA,3055834,3057295,-1
60,ECK120014433,mhpABCDFE,367637,374105,1
61,ECK120014436,treR,4470964,4472027,-1
62,ECK120014437,mgrB,1910337,1910547,-1
63,ECK120014438,topA,1332431,1335359,1
64,ECK120014439,fiu,839671,842239,-1
65,ECK120014440,exbBD,3149208,3150725,-1
66,ECK120014441,fhuE,1160902,1163243,-1
67,ECK120014442,gyrB,3760149,3762710,1
68,ECK120014443,sufABCDSE,1760588,1766372,-1
69,ECK120014444,micF,2316202,2316544,1
70,ECK120014445,narU,1544386,1545877,-1
71,ECK120014448,amiA-hemF,2557687,2559570,1
72,ECK120014450,trxA,3670591,3671068,-1
73,ECK120014451,trxC,2717266,2717810,1
74,ECK120014452,copA,508099,510669,-1
75,ECK120014454,cueO,137011,138633,1
76,ECK120014455,chiA,4170520,4173256,1
77,ECK120014456,yhfG-fic-pabA,4148768,4150150,1
78,ECK120014458,cydAB,771270,774603,1
79,ECK120014459,fldB,3038419,3039032,1
80,ECK120014463,yhhX,4059610,4060647,1
81,ECK120014464,ygaC,2798306,2799260,-1
82,ECK120014465,lpxP,2501024,2502011,1
83,ECK120014468,cmk-rpsA-ihfB,961587,964534,1
84,ECK120014469,hlyE,1231060,1232242,-1
85,ECK120014470,rnb,1348656,1350843,-1
86,ECK120014472,glnK-amtB,471685,473525,1
87,ECK120014473,yiaKLMNO-lyxK-sgbHUE,3889634,3897857,-1
88,ECK120014475,rtcBA,4082241,4084583,1
89,ECK120014476,aspA-dcuA,4370150,4373231,-1
90,ECK120014477,aroP,120144,121857,-1
91,ECK120014478,nac,2063153,2064275,-1
92,ECK120014479,phoPQ,1189893,1192101,-1
93,ECK120014480,polA,3586929,3589846,-1
94,ECK120014481,xylAB,3909515,3912498,1
95,ECK120014482,xylFGHR,3904258,3909537,-1
96,ECK120014483,hmp,2684366,2685681,1
97,ECK120014484,rpmH-rnpA,3755563,3756350,-1
98,ECK120014485,torYZ,1956292,1959846,-1
99,ECK120014486,nikABCDER,4021426,4026976,-1
100,ECK120014488,paaXY,1465214,1466775,1
101,ECK120014489,proVWX,2803200,2806780,1
102,ECK120014490,grxA,890918,891272,-1
103,ECK120014491,mutS,2855675,2858310,1
104,ECK120014492,cedA,1815135,1815456,-1
105,ECK120014493,zraP,3434854,3435418,1
106,ECK120014494,zraSR,3432036,3435010,-1
107,ECK120014495,rsd,3439727,3440349,1
108,ECK120014496,pfkA,3528167,3529251,-1
109,ECK120014499,torR,1057684,1058414,-1
110,ECK120014500,acnA,1337138,1340220,1
111,ECK120014501,acnB,131314,134272,1
112,ECK120014502,spf,3586674,3586877,-1
113,ECK120014504,adiY,4341846,4342872,-1
114,ECK120014505,cdd,2235048,2236062,1
115,ECK120014507,rihB,2257579,2258586,-1
116,ECK120014509,phoH,1085247,1086517,1
117,ECK120014510,tgt-yajC-secDF,425168,429700,1
118,ECK120014511,queA,424144,425305,1
119,ECK120014512,aroKB-damX-dam-rpe-gph-trpS,4121036,4127782,1
120,ECK120014515,rpsU-dnaG-rpoD,3209302,3213618,1
121,ECK120014517,cvpA-purF-ubiX,2433476,2436373,-1
122,ECK120014518,ompC,2314106,2316547,-1
123,ECK120014519,yhfA,4154412,4155002,1
124,ECK120014520,ptsHI-crr,2538873,2541826,1
125,ECK120014522,rcsA,2025794,2026728,1
126,ECK120014524,glmUS,3721248,3724968,1
127,ECK120014525,aspV,236830,237067,1
128,ECK120014526,thrW,261992,262170,1
129,ECK120014527,argU,563854,564022,1
130,ECK120014528,lysT-valT-lysW,780855,781340,1
131,ECK120014529,valVW,1748129,1748306,1
132,ECK120014530,proL,2289468,2289621,1
133,ECK120014531,valUXY-lysV,2526249,2526774,1
134,ECK120014532,metZWV,2946038,2946412,1
135,ECK120014533,asnT,2046678,2046761,1
136,ECK120014534,asnU,2061982,2062063,1
137,ECK120014535,asnV,2046678,2046761,1
138,ECK120014536,argW,2471673,2471829,1
139,ECK120014537,pheV,3108939,3109133,1
140,ECK120014538,ileX,3214253,3214329,1
141,ECK120014539,argX-hisR-leuT-proM,3653840,3654399,-1
142,ECK120014541,glyVXY,4396993,4397338,1
143,ECK120014542,leuX,4500784,4501169,1
144,ECK120014543,metT-leuW-glnUW-metU-glnVX,696814,697659,-1
145,ECK120014545,serT,1031973,1032208,-1
146,ECK120014546,serX,1097806,1097999,-1
147,ECK120014547,tyrTV-tpr,1288287,1289378,-1
148,ECK120014549,serU,2045605,2045738,-1
149,ECK120014550,alaWX,2523487,2523782,-1
150,ECK120014551,serV-argVYZQ,2816440,2817353,-1
151,ECK120014552,glyU,2997640,2997794,-1
152,ECK120014555,proK,3931638,3931799,1
153,ECK120014556,pheU,4367229,4367386,-1
154,ECK120014557,leuQPV,4610759,4611192,-1
155,ECK120014561,pykF,1757181,1758824,1
156,ECK120014562,uxuAB,4556030,4559041,1
157,ECK120014563,aldA,1489733,1491385,1
158,ECK120014564,putP,1079506,1081260,1
159,ECK120014565,caiF,34156,34695,1
160,ECK120014566,fixABCX,42121,45750,1
161,ECK120014567,ompR-envZ,4103601,4105900,1
162,ECK120014571,rpoH,4039270,4040528,1
163,ECK120014572,msrA,4446218,4446991,-1
164,ECK120014573,ampC,4382463,4383741,-1
165,ECK120014574,edd-eda,1933799,1936547,-1
166,ECK120014576,mobAB,3594560,3595775,1
167,ECK120014577,trpLEDCBA,1318097,1324850,-1
168,ECK120014578,xapAB,2528144,2530481,-1
169,ECK120014579,tauABCD,384206,387870,1
170,ECK120014580,ychQA-kdsA,1268476,1270644,1
171,ECK120014581,arcA,4644219,4645481,-1
172,ECK120014582,putA,1075342,1079381,-1
173,ECK120014583,nmpC,574981,576264,-1
174,ECK120014584,cutA,4369696,4370200,-1
175,ECK120014585,ybgA-phr,739342,741347,1
176,ECK120014586,napFDAGHBC-ccmABCDEFGH,2294692,2307053,-1
177,ECK120014587,yiaJ,3897732,3898731,1
178,ECK120014588,gadBC,1570618,1574027,-1
179,ECK120014589,paaZ,1453311,1455531,-1
180,ECK120014590,glpEGR,4078497,4080662,1
181,ECK120014592,hydN-hypF,2833829,2836936,-1
182,ECK120014594,dadAX,1238829,1241526,1
183,ECK120014595,garPLRK-rnpB,3269814,3274789,-1
184,ECK120014596,rnc-era-recO-pdxJ-acpS,2699274,2702879,-1
185,ECK120014597,hupA,3436080,3436767,-1
186,ECK120014598,hupB,460404,461002,1
187,ECK120014599,xseA,2632804,2634258,1
188,ECK120014600,paaABCDEFGHIJK,1455396,1465152,1
189,ECK120014601,feaR,1448092,1449145,-1
190,ECK120014602,cfa,1742915,1744275,1
191,ECK120014606,xthA,1833946,1834948,1
192,ECK120014607,tpx,1390019,1390587,-1
193,ECK120014608,adhE,1297023,1300155,-1
194,ECK120014610,pcnB-folK,157253,159391,-1
195,ECK120014611,pflDC,3489545,3492686,-1
196,ECK120014612,pheLA,2736175,2737596,1
197,ECK120014614,pntAB,1676686,1679689,-1
198,ECK120014615,potABCD,1183360,1187200,-1
199,ECK120014616,potFGHI,894056,898351,1
200,ECK120014617,ppk-ppx,2621472,2625312,1
201,ECK120014619,proBA,259612,261980,1
202,ECK120014620,pspABCDE,1369625,1371717,1
203,ECK120014625,rfbBDACX,2110474,2115312,-1
204,ECK120014626,rnt-lhr,1730061,1735454,1
205,ECK120014627,rph-pyrE,3823835,3825319,1
206,ECK120014629,rplM-rpsI,3377611,3378721,-1
207,ECK120014630,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,4192125,4197798,1
208,ECK120014633,rpoZ-spoT-trmH-recG,3813124,3818338,-1
209,ECK120014635,rpsF-priB-rpsR-rplI,4429603,4431237,1
210,ECK120014636,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,4186974,4192149,1
211,ECK120014637,rpsLG-fusA-tufA,4165737,4170271,1
212,ECK120014638,rpsMKD-rpoA-rplQ,4197772,4200835,1
213,ECK120014639,rpsP-rimM-trmD-rplS,2742839,2744936,-1
214,ECK120014640,ruvAB,1945933,1947812,-1
215,ECK120014641,secE-nusG,3458325,3459577,-1
216,ECK120014642,selAB,3879118,3882398,1
217,ECK120014643,ydjA-selD-topB,1846646,1850414,-1
218,ECK120014644,serC-aroA,957876,960517,1
219,ECK120014647,speF-potE,717368,720882,-1
220,ECK120014648,sspAB,3376104,3377424,-1
221,ECK120014651,tehAB,1502240,1503869,1
222,ECK120014652,thiCEFSGH,3440401,3445946,1
223,ECK120014653,ybgC-tolQRA,775174,778029,1
224,ECK120014655,ubiCA,4256015,4257478,1
225,ECK120014656,udk-dcd,2143771,2145085,-1
226,ECK120014658,uxaB,1610943,1612589,-1
227,ECK120014659,xseB-ispA-dxs-yajO,436385,440597,-1
228,ECK120014660,dsdXA,2483139,2485976,1
229,ECK120014661,focA-pflB,951629,955301,-1
230,ECK120014663,bolA,453573,454089,1
231,ECK120014665,osmB,1344824,1345238,-1
232,ECK120014667,otsBA,1982233,1984602,-1
233,ECK120014668,csgDEFG,1101092,1104157,-1
234,ECK120014669,stpA,2796747,2797739,-1
235,ECK120014670,treA,1247256,1249002,-1
236,ECK120014671,osmE,1823579,1824090,-1
237,ECK120014673,htpX,1913366,1914476,-1
238,ECK120014674,htpG,494041,496253,1
239,ECK120014677,ibpAB,3772897,3773946,1
240,ECK120014679,grpE,2748771,2749658,-1
241,ECK120014681,gltA,753548,755308,-1
242,ECK120014684,glgS,3190372,3190719,-1
243,ECK120014685,clpB,2730256,2732861,-1
244,ECK120014690,lysU,4357878,4359548,-1
245,ECK120014691,trmA,3473332,3474544,1
246,ECK120014692,uspA,3999824,4000519,-1
247,ECK120014693,upp-uraA,2617527,2619633,-1
248,ECK120014694,nlpD-rpoS,2864323,2867485,-1
249,ECK120014696,clpA,923502,925962,1
250,ECK120014697,nuoABCEFGHIJKLMN,2394675,2410247,-1
251,ECK120014698,tsx,430320,431484,-1
252,ECK120014700,endA,3088931,3089779,1
253,ECK120014701,sdaCB,2926885,2929599,1
254,ECK120014702,corA,3634305,3635487,-1
255,ECK120014703,soxR,4281030,4281547,1
256,ECK120014704,livKHMGF,4042660,4047691,1
257,ECK120014706,fecIR,4521444,4523030,-1
258,ECK120014708,ppiA,4147915,4148691,1
259,ECK120014709,cadBA,4361148,4365108,-1
260,ECK120014710,dcuB-fumB,4350309,4353840,-1
261,ECK120014711,fruBKA,2263053,2266933,-1
262,ECK120014712,ppsA,1786448,1788929,-1
263,ECK120014713,fepA-entD,608682,611943,-1
264,ECK120014714,fepB,622777,623972,-1
265,ECK120014715,fepDGC,618607,621458,-1
266,ECK120014717,tonB,1312734,1313560,1
267,ECK120014718,mglBAC,2240077,2243967,-1
268,ECK120014720,gcvTHP,3044782,3049753,-1
269,ECK120014721,gcvA,2940306,2941316,-1
270,ECK120014722,glnHPQ,846163,848627,-1
271,ECK120014723,glpFKX,3518431,3522154,1
272,ECK120014724,dps,848830,849476,-1
273,ECK120014725,thrLABC,148,5020,1
274,ECK120014726,leuLABCD,78848,84024,-1
275,ECK120014727,umuDC,1232285,1234031,1
276,ECK120014729,gltBDF,3354003,3361795,1
277,ECK120014730,livJ,4040521,4042712,1
278,ECK120014731,lysA,2976293,2977607,-1
279,ECK120014733,malI,1699850,1700996,-1
280,ECK120014734,fpr,3522073,3522955,1
281,ECK120014735,nfo,2254092,2255031,1
282,ECK120014736,marRAB,1620719,1621921,1
283,ECK120014737,metC,3150731,3152079,1
284,ECK120014738,glyA,2682731,2684380,-1
285,ECK120014739,mtlADR,3863996,3868499,-1
286,ECK120014740,nadB,2709013,2710698,1
287,ECK120014741,pncB,989576,991054,-1
288,ECK120014742,manXYZ,1903544,1906460,1
289,ECK120014743,codBA,354043,356678,1
290,ECK120014744,nrfABCDEFG,4291128,4297729,1
291,ECK120014747,pstSCAB-phoU,3725050,3729828,1
292,ECK120014749,speAB,3081533,3084704,-1
293,ECK120014750,guaBA,2629562,2632891,-1
294,ECK120014752,wza-wzb-wzc-wcaAB,2134204,2139832,-1
295,ECK120014753,rhaT,3535608,3537190,1
296,ECK120014754,zwf,1936553,1938153,-1
297,ECK120014755,soxS,4280650,4281148,-1
298,ECK120014756,torCAD,1058395,1062820,1
299,ECK120014757,treBC,4467734,4471134,-1
300,ECK120014758,araBAD,65800,70358,-1
301,ECK120014759,fadBA,3605502,3609072,1
302,ECK120014760,glpTQ,2354605,2357303,-1
303,ECK120014761,metF,3503175,3504349,-1
304,ECK120014762,rhaBAD,3539076,3543233,1
305,ECK120014763,trpR,4637375,4637824,1
306,ECK120014765,sdaA,1898523,1900045,1
307,ECK120014766,kbl-tdh,3847633,3850095,1
308,ECK120014767,argE,3481603,3482985,1
309,ECK120014768,gntRKU,4061535,4064727,1
310,ECK120014769,gntT,4092541,4094093,-1
311,ECK120014770,accA,208280,209580,1
312,ECK120014771,accBC,3404970,3407157,1
313,ECK120014772,accD,2438458,2439589,-1
314,ECK120014773,acrAB,480478,485052,-1
315,ECK120014774,acrEF,3413557,3418032,1
316,ECK120014775,adiA,4342888,4345241,-1
317,ECK120014776,ampDE,118698,120135,1
318,ECK120014777,ansA-pncA,1852389,1854242,1
319,ECK120014778,arsRBC,3989753,3991956,-1
320,ECK120014780,ascFB,2838003,2841070,1
321,ECK120014782,atpIBEFHAGDC,3714156,3721173,1
322,ECK120014784,basRS,4336859,4338628,-1
323,ECK120014785,btuCED,1794523,1796954,-1
324,ECK120014786,caiTABCDE,34781,42272,-1
325,ECK120014787,chbBCARFG,1818100,1823563,-1
326,ECK120014788,chaBC,1273696,1274779,1
327,ECK120014789,cobUST,2065525,2068197,-1
328,ECK120014790,creABCD,4639923,4644252,1
329,ECK120014791,cydDC,927896,931586,-1
330,ECK120014793,dcm-vsr,2032585,2034483,-1
331,ECK120014794,def-fmt,4205255,4206766,-1
332,ECK120014796,dppABCDF,3931834,3938551,1
333,ECK120014797,envY-ompT,583903,586131,-1
334,ECK120014799,fdoGHI-fdhE,3550859,3556382,1
335,ECK120014802,fliDST,2005877,2008302,1
336,ECK120014803,fliFGHIJK,2015191,2021650,1
337,ECK120014804,ftsYEX,4036172,4039387,1
338,ECK120014805,glyQS,3915061,3918124,1
339,ECK120014807,hemCDXY,3645915,3649995,1
340,ECK120014808,hipBA,1592568,1594319,-1
341,ECK120014811,hslVU,3514327,3516313,1
342,ECK120014812,hyaABCDEF,1032332,1038056,1
