,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK125241006,rpoE-rseABC,-1,2705978,,,,,,2703135,2705978
1,ECK125257173,hcp-hcr-poxB,-1,909753,,,,,,905239,909753
2,ECK125257174,mlaFEDCB,-1,3336818,,,,,,3333649,3336818
3,ECK125257176,mlaFEDCB,-1,3336818,,,,,,3333679,3336818
4,ECK125257178,ymdB,1,1107380,,,,,,1107380,1107930
5,ECK125257179,leuO,1,84298,,,,,,84298,85312
6,ECK125257181,serW,-1,926265,,,,,,926065,926265
7,ECK125241003,rseD-rpoE-rseABC,-1,2705978,,,,,,2703070,2705978
8,ECK125203407,accBC,1,3405027,,,,,,3405027,3407157
9,ECK125230241,exuR,1,3245274,,,,,,3245274,3246084
10,ECK125203404,ascB,1,2839598,,,,,,2839598,2841070
11,ECK125230247,rplU-rpmA-yhbE-obgE,-1,3330437,,,,,,3327503,3330437
12,ECK125230246,sdiA,-1,1998247,,,,,,1997447,1998247
13,ECK125230245,sdiA,-1,1998247,,,,,,1997464,1998247
14,ECK125203406,accA,1,208326,,,,,,208326,209580
15,ECK125230243,thyA,-1,2962976,,,,,,2962042,2962976
16,ECK125230242,lgt,-1,2963722,,,,,,2962667,2963722
17,ECK125230240,yqaE-kbp,-1,2794993,,,,,,2794245,2794993
18,ECK125203409,yajG-ampG,-1,451294,,,,,,449154,451294
19,ECK125240997,rseD-rpoE-rseABC,-1,2705978,,,,,,2702907,2705978
20,ECK125203408,fabI,-1,1351965,,,,,,1351095,1351965
21,ECK125241000,rseD-rpoE-rseABC,-1,2705978,,,,,,2702961,2705978
22,ECK125203403,yibN-grxC-secB-gpsA,1,3855220,,,,,,3855220,3857773
23,ECK125165937,galET,-1,790262,,,,,,788021,790262
24,ECK125199572,relA,-1,2910073,,,,,,2907790,2910073
25,ECK125203405,panD,-1,146314,,,,,,145874,146314
26,ECK125165941,galK,-1,789253,,,,,,787621,789253
27,ECK125199573,relA,-1,2910073,,,,,,2907172,2910073
28,ECK125165940,galETK,-1,789253,,,,,,785998,789253
29,ECK125165939,galETK,-1,789037,,,,,,785571,789037
30,ECK125165938,galET,-1,790405,,,,,,788302,790405
31,ECK125165936,galE,-1,791461,,,,,,790414,791461
32,ECK125165935,galE,-1,790734,,,,,,788965,790734
33,ECK125165934,grcA,-1,2714722,,,,,,2714282,2714722
