##gnf-version 1
# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/14/2022 13:38:07
# Columns:
# (1) regulatorId. Transcription Factor (TF) identifier
# (2) regulatorName. Transcription Factor (TF) Name
# (3) regulatorGeneName. Gene(s) coding for the TF
# (4) regulatedId. Gene ID regulated by the TF (regulated Gene)
# (5) regulatedName. Gene regulated by the TF (regulated Gene)
# (6) function. Regulatory Function of the TF on the regulated Gene (+ activator, - repressor, +- dual, ? unknown)
# (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed, Strong, Weak)
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
ECK120011186	Fis	fis	ECK120000028	adhE	+	Strong
ECK120011186	Fis	fis	ECK120000040	osmE	-	Strong
ECK120011186	Fis	fis	ECK120000042	ansB	-	Weak
ECK120011186	Fis	fis	ECK120000043	apaG	+	Weak
ECK120011186	Fis	fis	ECK120000044	apaH	+	Weak
ECK120011186	Fis	fis	ECK120000110	bglB	-	Strong
ECK120011186	Fis	fis	ECK120000111	bglF	-	Strong
ECK120011186	Fis	fis	ECK120000112	bglG	-	Strong
ECK120011186	Fis	fis	ECK120000130	carA	+	Weak
ECK120011186	Fis	fis	ECK120000131	carB	+	Weak
ECK120011186	Fis	fis	ECK120000160	crp	-	Strong
ECK120011186	Fis	fis	ECK120000162	cspA	+	Strong
ECK120011186	Fis	fis	ECK120000173	cyoA	+	Weak
ECK120011186	Fis	fis	ECK120000174	cyoB	+	Weak
ECK120011186	Fis	fis	ECK120000175	cyoC	+	Weak
ECK120011186	Fis	fis	ECK120000176	cyoD	+	Weak
ECK120011186	Fis	fis	ECK120000177	cyoE	+	Weak
ECK120011186	Fis	fis	ECK120000183	cysG	-	Strong
ECK120011186	Fis	fis	ECK120000213	deoA	+	Weak
ECK120011186	Fis	fis	ECK120000214	deoB	+	Weak
ECK120011186	Fis	fis	ECK120000215	deoC	+	Weak
ECK120011186	Fis	fis	ECK120000216	deoD	+	Weak
ECK120011186	Fis	fis	ECK120000226	dmsA	-	Weak
ECK120011186	Fis	fis	ECK120000227	dmsB	-	Weak
ECK120011186	Fis	fis	ECK120000228	dmsC	-	Weak
