# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use 
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/13/2022  10:04:40
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) Operon  regulated by TF [operon genes]
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the Regulatory interaction (RI)
#  (6) RI confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeA, aaeB, aaeX]	+	[EXP-GSELEX|W|genomic SELEX]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
AccB	accBC[accB, accC]	-	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IMP|W|Inferred from mutant phenotype]	Weak	
AcrR	acrAB[acrA, acrB]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
AcrR	acrR[acrR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
AcrR	flhDC[flhC, flhD]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
AcrR	marRAB[marA, marB, marR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AcrR	micF[micF]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[]	Weak	
AcrR	soxR[soxR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AcrR	soxS[soxS]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
Ada	ada-alkB[ada, alkB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
Ada	ada-alkB[ada, alkB]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
Ada	aidB[aidB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
Ada	alkA[alkA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
AdiY	adiA[adiA]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AdiY	gadAXW[gadA, gadX]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
AdiY	gadBC[gadB, gadC]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
AdiY	gltBDF[gltB, gltD, gltF]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
AgaR	agaR[agaR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AgaR	agaS-kbaY-agaBCDI[agaB, agaC, agaD, agaI, agaS, kbaY]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
