,locus_tag,name,left,right,strand
0,ECK120007527,ycaM,947229,948659,1
1,ECK120011191,rob,4634441,4635382,-1
2,ECK120011363,cspE,657096,657501,1
3,ECK120011407,treR,4466284,4467347,-1
4,ECK120011490,rtcR,3558268,3559866,1
5,ECK120011588,cueR,513993,514400,1
6,ECK120011629,lrp,932265,933089,1
7,ECK120011825,fadR,1234887,1235698,1
8,ECK120011857,sdiA,1996110,1996917,-1
9,ECK120011939,norR,2830775,2832358,-1
10,ECK120011950,mngR,765104,765955,-1
11,ECK120012021,zur,4259488,4260003,-1
12,ECK120012166,ulaR,4417698,4418453,-1
13,ECK120012251,hdfR,3947128,3948021,-1
14,ECK120012254,slyA,1720390,1720824,-1
15,ECK120012317,araC,70110,71265,1
16,ECK120012348,melR,4340720,4341853,-1
17,ECK120012408,cytR,4123431,4124584,-1
18,ECK120012466,gcvA,2941650,2942660,-1
19,ECK120012470,gcvR,2599806,2600478,1
20,ECK120012516,agaR,3277856,3278732,-1
21,ECK120012560,nanR,3373698,3374489,-1
22,ECK120012665,deoR,881976,882734,-1
23,ECK120012705,galS,2240628,2241779,-1
24,ECK120012714,galR,2976569,2977630,1
25,ECK120012966,ilvY,3956883,3957891,-1
26,ECK120012985,alpA,2758644,2758856,1
27,ECK120012988,appY,583454,584430,1
28,ECK120013062,cspA,3719741,3720313,1
29,ECK120013070,cynR,357791,358746,-1
30,ECK120013082,dsdC,2476694,2477746,-1
31,ECK120013086,ebgR,3221437,3222449,1
