,locus_tag,name,left,right,strand
0,ECK120011191,rob,4634441,4635382,-1
1,ECK120011203,argP,3059684,3060680,1
2,ECK120011329,lrhA,2405703,2406866,-1
3,ECK120011490,rtcR,3558268,3559866,1
4,ECK120011629,lrp,932265,933089,1
5,ECK120011939,norR,2830775,2832358,-1
6,ECK120011950,mngR,765153,765955,-1
7,ECK120012348,melR,4340720,4341853,-1
8,ECK120013165,leuO,84000,85312,1
9,ECK120013176,lysR,2978950,2979956,1
10,ECK120013666,yeiL,2255057,2256014,1
11,ECK120013781,xapR,2521334,2522563,-1
12,ECK120014360,astCADBE,1825955,1832327,-1
13,ECK120014361,pyrH,191718,192580,1
14,ECK120014362,nrdHIEF,2800435,2804461,1
15,ECK120014365,fkpA,3476607,3477525,-1
16,ECK120014366,aqpZ,915352,916047,-1
17,ECK120014367,dmsABC,940775,944896,1
18,ECK120014368,moaABCDE,816781,819747,1
19,ECK120014369,ptsG,1157063,1159302,1
20,ECK120014371,ldcC,209599,211820,1
21,ECK120014379,dnaAN-recF,3880148,3884040,-1
22,ECK120014380,uspB,3639385,3639908,-1
23,ECK120014381,gdhA,1842219,1843714,1
24,ECK120014382,efp,4375567,4376265,1
25,ECK120014383,sugE,4376699,4377192,1
26,ECK120014384,chpSB,4448177,4449042,1
27,ECK120014387,cbl,2059964,2060941,-1
28,ECK120014389,ydeA,1616955,1618218,1
29,ECK120014391,fliLMNOPQR,2019511,2023678,1
30,ECK120014392,dctA,3682161,3683612,-1
31,ECK120014393,fabB,2440283,2441688,-1
32,ECK120014394,flxA,1646309,1646737,1
33,ECK120014395,fliC,2002110,2003676,-1
34,ECK120014396,tsr,4591396,4593312,1
35,ECK120014397,trg,1492283,1494110,1
36,ECK120014398,flgAMN,1129414,1130961,-1
37,ECK120014400,aer,3217556,3219180,-1
38,ECK120014402,ycgR,1243793,1244556,-1
39,ECK120014404,cspA,3719741,3720316,1
40,ECK120014405,nanATEK-yhcH,3369014,3373691,-1
41,ECK120014406,dcuC,654583,656430,-1
42,ECK120014407,sodB,1735222,1736114,1
43,ECK120014408,asr,1671254,1671720,1
44,ECK120014409,fxsA,4368603,4369140,1
45,ECK120014410,ribA,1338512,1339268,-1
46,ECK120014411,osmC,1556537,1557056,1
47,ECK120014412,pth-ychF,1256721,1258542,-1
48,ECK120014413,metK,3086506,3087860,1
49,ECK120014415,cusCFBA,595450,601857,1
50,ECK120014416,cusRS,593328,595529,-1
51,ECK120014417,inaA,2348822,2349550,-1
52,ECK120014418,iscRSUA,2659563,2662264,-1
53,ECK120014419,dcuD,3374533,3376236,1
54,ECK120014421,glcDEFGBA,3119597,3128259,-1
55,ECK120014423,osmY,4610960,4612001,1
56,ECK120014425,psiE,4240238,4240735,1
57,ECK120014426,hpt,141284,141967,1
58,ECK120014427,gcd,138801,141342,-1
59,ECK120014428,mfd,1170518,1174028,-1
60,ECK120014429,ybjC-nfsA-rimK-ybjN,890812,893433,1
61,ECK120014431,metNIQ,220113,222747,-1
62,ECK120014432,serA,3057178,3058639,-1
63,ECK120014433,mhpABCDFE,368413,374881,1
64,ECK120014436,treR,4466284,4467347,-1
65,ECK120014437,mgrB,1908623,1908833,-1
66,ECK120014438,topA,1330717,1333645,1
67,ECK120014439,fiu,839249,841817,-1
68,ECK120014440,exbBD,3150552,3152069,-1
69,ECK120014441,fhuE,1159325,1161666,-1
70,ECK120014442,gyrB,3877705,3880266,-1
71,ECK120014443,sufABCDSE,1758874,1764658,-1
72,ECK120014444,micF,2312868,2313210,1
73,ECK120014445,narU,1542672,1544163,-1
74,ECK120014448,amiA-hemF,2552241,2554124,1
75,ECK120014450,trxA,3965613,3966090,1
76,ECK120014451,trxC,2718610,2719154,1
77,ECK120014452,copA,508875,511445,-1
78,ECK120014454,cueO,137011,138633,1
79,ECK120014455,chiA,3467160,3469896,-1
80,ECK120014456,yhfG-fic-pabA,3490266,3491648,-1
81,ECK120014458,cydAB,770848,774181,1
82,ECK120014459,fldB,3039763,3040376,1
83,ECK120014463,yhhX,3579768,3580805,-1
84,ECK120014464,ygaC,2799650,2800604,-1
