Parameter,Value
act_TF_conc_lo,1.4287808306795678e-10
act_TF_conc_up,1.2434313512542852e-08
act_Kd_lo,5.254292278850602e-09
act_Kd_up,5.732035291369104e-07
inh_TF_conc_lo,1.4287808306795678e-10
inh_TF_conc_up,1.2434313512542852e-08
inh_Kd_lo,5.254292278850602e-09
inh_Kd_up,5.732035291369104e-07
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,1.1051168488393792e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
