"gene","iM","Val"
"b1081","FlhDC-1",-11.672607476215
"b1081","FlhDC-2",-3
"b1878","FlhDC-1",-11.3843362462112
"b1878","FlhDC-2",-7
"b1948","FlhDC-1",-11.6581181090048
"b1948","FlhDC-2",-6
"b1880","FlhDC-1",-11.4895455632228
"b1880","FlhDC-2",-3
"b1940","FlhDC-1",-11.6476071426272
"b1940","FlhDC-2",-8
"b1947","FlhDC-1",-11.7218923086167
"b1947","FlhDC-2",-7
"b1904","FlhDC-1",-12.0882592357638
"b1904","FlhDC-2",-10
"b1072","FlhDC-1",-11.430839721063
"b1072","FlhDC-2",-6
"b1937","FlhDC-1",-11.9062813765834
"b1937","FlhDC-2",-3
"b1950","FlhDC-1",-11.7085636323261
"b1950","FlhDC-2",-3
"b1080","FlhDC-1",-11.6708405414694
"b1080","FlhDC-2",-7
"b1939","FlhDC-1",-11.8142488182313
"b1939","FlhDC-2",-4
"b1946","FlhDC-1",-12.0390913700586
"b1946","FlhDC-2",-3
"b1949","FlhDC-1",-11.5682494477227
"b1949","FlhDC-2",-9
"b1879","FlhDC-1",-11.08518497576
"b1879","FlhDC-2",-6
