"gene","iM","Val"
"b1081","FlhDC-1",-5
"b1081","FlhDC-2",-11.6561735577018
"b1878","FlhDC-1",-5
"b1878","FlhDC-2",-11.3022450144779
"b1948","FlhDC-1",-3
"b1948","FlhDC-2",-11.6639900926569
"b1880","FlhDC-1",-8
"b1880","FlhDC-2",-11.4711258142488
"b1940","FlhDC-1",-8
"b1940","FlhDC-2",-12.0092068262391
"b1947","FlhDC-1",-10
"b1947","FlhDC-2",-11.8202605435443
"b1904","FlhDC-1",-8
"b1904","FlhDC-2",-11.7919378482702
"b1072","FlhDC-1",-9
"b1072","FlhDC-2",-11.8285079054275
"b1937","FlhDC-1",-8
"b1937","FlhDC-2",-11.7729587366984
"b1950","FlhDC-1",-10
"b1950","FlhDC-2",-11.2624846504943
"b1080","FlhDC-1",-7
"b1080","FlhDC-2",-11.7689626828528
"b1939","FlhDC-1",-6
"b1939","FlhDC-2",-11.9611278613469
"b1946","FlhDC-1",-8
"b1946","FlhDC-2",-12.0882592357638
"b1949","FlhDC-1",-5
"b1949","FlhDC-2",-11.5279921405911
"b1879","FlhDC-1",-10
"b1879","FlhDC-2",-11.2579648265944
