Parameter,Value
act_TF_conc_lo,1.4287808306795678e-10
act_TF_conc_up,9.775191465398421e-09
act_Kd_lo,5.126537495415261e-09
act_Kd_up,2.1998711255041058e-05
inh_TF_conc_lo,1.4287808306795678e-10
inh_TF_conc_up,9.775191465398421e-09
inh_Kd_lo,5.126537495415261e-09
inh_Kd_up,2.1998711255041058e-05
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.919847019345436e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
