,k_d_RNAP,k_eq_opening,k_escape
b0002,-4.110580667441336,-1.7613811499026848,-1.668230685370877
b0003,-4.078659231541884,-1.7861593405199714,-1.6923912455129657
b0004,-4.059908824557547,-1.801917619086938,-1.70780880101677
b0014,-4.068591187597438,-1.7945359398248044,-1.7005820712649025
b0015,-3.8399137425404426,-2.009098975158218,-1.9127446577988305
b0019,-3.7071495739591143,-2.140169450315861,-2.043396771161226
b0020,-3.643249707469397,-2.203680750012581,-2.1068072821176753
b0025,-3.9021165212997597,-1.9484977373546881,-1.8525090205990848
b0026,-3.981230093905585,-1.873030238975613,-1.7777741443860808
b0027,-3.870459582870553,-1.9792433157226634,-1.8830500245026622
b0028,-3.8376584783822976,-2.0113093866164333,-1.9149444189832816
b0029,-3.8097884293133806,-2.0386837357219,-1.9421995319870045
b0031,-3.890466577006257,-1.9597855266191575,-1.8637165970701601
b0032,-3.928506170009459,-1.9230660369683377,-1.8272827830419531
b0033,-3.8978423474399926,-1.9526351193762734,-1.8566162708222098
b0034,-3.609281520393885,-2.237503785445241,-2.1405921946058366
b0035,-3.23183294696101,-2.61444946002575,-2.517403774099787
b0036,-3.144621799569257,-2.7016426494055525,-2.6045921168672272
b0037,-3.3588089387956916,-2.487529252194606,-2.390498595845119
b0038,-3.3465098197017418,-2.499820585132914,-2.402787833338551
b0039,-3.448174245291071,-2.3982456995564667,-2.301236999483088
b0040,-3.0805865621033464,-2.7656701237510557,-2.6686174948064973
b0041,-3.139366726676347,-2.7068969480043674,-2.6098462064042507
b0042,-3.1209680519746694,-2.7252931230642923,-2.628241706501947
b0043,-3.173356709082863,-2.672912509153358,-2.575863264164752
b0045,-3.0934366444050334,-2.752821336557986,-2.6557690574059003
b0048,-3.7544490699265394,-2.093296521558423,-1.9966323903316028
b0049,-3.68486544032601,-2.162297630772294,-2.0654847199155943
b0050,-3.8419958900718343,-2.007058924463071,-1.9107145822168627
b0051,-3.871150659701297,-1.9785698112192922,-1.882380550399553
b0052,-3.787351042902663,-2.060790539588158,-1.9642252386911918
b0053,-3.9377508091301143,-1.9142093342470974,-1.818506575073645
b0054,-3.9519991304779505,-1.9006213868981083,-1.8050521501750767
b0058,-3.635680221337942,-2.211214814587138,-2.1143320673292454
b0059,-3.658190901438048,-2.188815292698345,-2.091961614000697
b0060,-3.50668539298581,-2.3398232079935557,-2.2428382238151694
b0061,-3.2414095153065485,-2.6048756066148284,-2.507830653059835
b0062,-3.3070627219579163,-2.539246749058455,-2.4422083597046784
b0063,-3.232217369701425,-2.614065142838757,-2.5170194853882273
b0064,-3.625540294560448,-2.2213101625814335,-2.124415715197432
b0065,-3.565843037073898,-2.28080067044316,-2.183851640218516
b0066,-3.5489422796888737,-2.2976569804962845,-2.2006961471005386
b0067,-3.530444370587645,-2.3161118986568336,-2.219139625572745
b0068,-3.7698767371530475,-2.0780427132205013,-1.9814222012169551
b0069,-3.531962611479046,-2.3145969808669467,-2.217625592861379
b4662,-3.6362672203083255,-2.210630495260546,-2.113748450524505
b0070,-3.505919795129763,-2.340587397300872,-2.243602037093568
b0071,-4.0911928236839055,-1.77606146924227,-1.6825322497201767
b0072,-4.070625361864209,-1.792826686654877,-1.6989098488898737
b0073,-4.061307099874426,-1.8007198591944487,-1.7066356445173219
b0074,-4.0440783385155985,-1.8156887671318527,-1.7213113489997969
b0076,-3.355192319991519,-2.4911435121741308,-2.3941122210872274
b0077,-3.872549113672519,-1.9772072066583937,-1.8810261576938325
b0078,-3.8595321293643803,-1.9899050640624223,-1.8936504127312732
b0080,-3.811467519622993,-2.0370316697711837,-1.940554039375803
b0081,-3.871800845429845,-1.97793624450462,-1.8817507922901502
b0082,-3.8095572624964626,-2.038911208400751,-1.942426105455761
b0083,-3.7775534284420864,-2.0704601106732072,-1.9738630553968142
b0084,-3.736573296719315,-2.1109937713365716,-2.014284476640611
b0085,-3.8002260150355913,-2.048098518734963,-1.951578256005141
b0086,-3.79106805936194,-2.0571245674279233,-1.960571871745877
b0087,-3.756480954788653,-2.091286433175416,-1.9946277900938378
b0088,-3.778566067574851,-2.0694602826477717,-1.9728664131647722
b0089,-3.7474925470001237,-2.1001808097306576,-2.0034984500831023
b0090,-3.7501381052168776,-2.0975622934765346,-2.0008867651356206
