"gene","iM","Val"
"b0952","SoxS",-7.92978750877733
"b3035","SoxS",-8.29017586185538
"b0951","SoxS",-7.96271404552967
"b2159","SoxS",-7.53316338096064
"b0463","SoxS",-8.09403354012807
"b2237","SoxS",-7.57723995406497
"b1377","SoxS",-6.97801956174596
"b0462","SoxS",-8.29017586185538
"b0950","SoxS",-7.06732748746587
"b1277","SoxS",-7.95278222774418
"b3160","SoxS",-8.12600642844572
"b0447","SoxS",-7.8744984888834
"b2895","SoxS",-8.00824854533154
"b0684","SoxS",-8.0002494576712
"b0167","SoxS",-7.87275567451391
"b3924","SoxS",-7.13835484681869
