mg_tu_id,mg_tss,mg_tss_strand,strain_id,strain_tss,strain_tss_strand,strain_name,strain_tu_length
ECK120026943,1441780,-1,NC_017626.1,1590494,-1,042,459
ECK120026819,1067758,-1,NC_017626.1,1165237,-1,042,894
ECK120026926,1408024,1,NC_017626.1,1529719,1,042,1009
ECK120026924,1398659,-1,NC_017626.1,1519367,-1,042,987
ECK120026919,1392072,-1,NC_017626.1,1513115,-1,042,1139
ECK120026914,1362728,1,NC_017626.1,1498240,1,042,4087
ECK120026908,1351118,-1,NC_017626.1,1485860,-1,042,867
ECK120026907,1350132,-1,NC_017626.1,1484589,-1,042,1152
ECK120026904,1340135,1,NC_017626.1,1475747,1,042,1592
ECK120026903,1339309,1,NC_017626.1,1474921,1,042,785
ECK120026902,1335090,1,NC_017626.1,1470702,1,042,368
ECK120021253,1405751,-1,NC_017626.1,1527354,-1,042,92
ECK120026898,1323188,1,NC_017626.1,1458792,1,042,3459
ECK120026894,1313698,-1,NC_017626.1,1394381,-1,042,1437
ECK120026892,1310892,-1,NC_017626.1,1392689,-1,042,323
ECK120026887,1289177,-1,NC_017626.1,1372995,-1,042,503
ECK120026863,1214113,-1,NC_017626.1,1290560,-1,042,785
ECK120026843,1170417,-1,NC_017626.1,1261851,-1,042,1005
ECK120026835,1124103,-1,NC_017626.1,1213611,-1,042,696
ECK120026833,1121509,-1,NC_017626.1,1211446,-1,042,267
ECK120026832,1120609,-1,NC_017626.1,1209508,-1,042,1302
ECK120026831,1119071,-1,NC_017626.1,1208102,-1,042,1170
ECK120026828,1105803,1,NC_017626.1,1196004,1,042,1973
ECK120026897,1316092,-1,NC_017626.1,1450273,-1,042,1424
ECK120026811,1031443,-1,NC_017626.1,1138182,-1,042,742
ECK120026806,1027041,-1,NC_017626.1,1134038,-1,042,484
ECK120026712,660301,-1,NC_017626.1,735005,-1,042,1050
ECK120026807,1027837,-1,NC_017626.1,1134592,-1,042,726
ECK120026805,1024365,-1,NC_017626.1,1129211,-1,042,2635
ECK120026799,989044,-1,NC_017626.1,1101716,-1,042,1652
ECK120026797,983023,1,NC_017626.1,1097533,1,042,1274
ECK120026796,980931,1,NC_017626.1,1095441,1,042,1963
ECK120026795,971672,1,NC_017626.1,1086182,1,042,973
ECK120026794,970642,1,NC_017626.1,1085152,1,042,956
ECK120026789,951154,-1,NC_017626.1,1064812,-1,042,853
ECK120026786,939365,1,NC_017626.1,1055345,1,042,1400
