Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_004431.1,10613,10625,1.846981965
NC_004431.1,73039,73051,2.167602135
NC_004431.1,93533,93545,2.110093854
NC_004431.1,114522,114534,3.786023187
NC_004431.1,156700,156712,3.046880751
NC_004431.1,177904,177916,35.34399153
NC_004431.1,187350,187362,3.108713655
NC_004431.1,199886,199898,4.700956938
NC_004431.1,272767,272779,2.838884799
NC_004431.1,299213,299225,5.633143173
NC_004431.1,363934,363946,5.585618329
NC_004431.1,434837,434849,3.100294442
NC_004431.1,565468,565480,8.930529996
NC_004431.1,571828,571840,5.719313581
NC_004431.1,654897,654909,99.3180898
NC_004431.1,654936,654948,67.61694884
NC_004431.1,664473,664485,61.14823335
NC_004431.1,666810,666822,36.42252484
NC_004431.1,666929,666941,61.23872838
NC_004431.1,734577,734589,2.002622378
NC_004431.1,777645,777657,2.180576003
NC_004431.1,783340,783352,3.832351859
NC_004431.1,809217,809229,17.84606183
NC_004431.1,811396,811408,2.443135812
NC_004431.1,837209,837221,3.011087597
NC_004431.1,864121,864133,38.41976445
NC_004431.1,864155,864167,47.76798859
NC_004431.1,898108,898120,2.692951785
NC_004431.1,942321,942333,1.858713655
NC_004431.1,1036490,1036502,2.362992271
NC_004431.1,1114465,1114477,17.66658999
NC_004431.1,1122787,1122799,13.53478101
NC_004431.1,1129227,1129239,4.033446816
NC_004431.1,1131837,1131849,118.9730401
NC_004431.1,1176369,1176381,17.5013802
NC_004431.1,1184936,1184948,5.62826647
NC_004431.1,1187315,1187327,8.408676849
NC_004431.1,1198060,1198072,74.36860508
NC_004431.1,1199400,1199412,6.095233714
NC_004431.1,1207415,1207427,2.232563489
NC_004431.1,1208100,1208112,70.20597166
NC_004431.1,1262619,1262631,1.933980493
NC_004431.1,1305141,1305153,252.1759293
NC_004431.1,1424699,1424711,12.11474052
NC_004431.1,1450239,1450251,8.424135075
NC_004431.1,1461121,1461133,4.957581892
NC_004431.1,1554962,1554974,2.238268311
NC_004431.1,1579776,1579788,7.069101951
NC_004431.1,1589422,1589434,3.070252116
NC_004431.1,1659801,1659813,2.668200221
NC_004431.1,1711873,1711885,44.90527236
NC_004431.1,1746853,1746865,2.095049687
NC_004431.1,1764996,1765008,33.31312109
NC_004431.1,1777544,1777556,6.989832536
NC_004431.1,1786857,1786869,2.377760398
NC_004431.1,1787127,1787139,2.035379095
NC_004431.1,1818193,1818205,2.276361796
NC_004431.1,1872093,1872105,4.169948473
NC_004431.1,1920557,1920569,1.676895473
NC_004431.1,1920591,1920603,2.142022451
NC_004431.1,1945549,1945561,32.86966323
NC_004431.1,1947949,1947961,3.39312661
NC_004431.1,2035641,2035653,2.597580052
NC_004431.1,2051220,2051232,1.631716967
NC_004431.1,2056622,2056634,8.351076555
NC_004431.1,2068048,2068060,5.471613912
