Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_017635.1,72213.0,72225.0,2.334615385,ECK120009196,araC
NC_017635.1,103821.0,103833.0,2.057692308,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
NC_017635.1,168813.0,168825.0,81.13942308,ECK120009213,fhuACDB
NC_017635.1,575428.0,575440.0,23.09903846,ECK120011056,adk
NC_017635.1,683583.0,683595.0,82.26346154,ECK120009460,fes-ybdZ-entF-fepE
NC_017635.1,695692.0,695704.0,53.8,ECK120009357,entCEBAH
NC_017635.1,695729.0,695741.0,65.82596154,ECK120009357,entCEBAH
NC_017635.1,771310.0,771322.0,1.6769230769999999,ECK120033740,nagC
NC_017635.1,817239.0,817251.0,2.644230769,ECK120016928,ybgI-pxpBCA-nei
NC_017635.1,857902.0,857914.0,26.96153846,ECK125165937,galET
NC_017635.1,911890.0,911902.0,35.20192308,ECK120026762,mcbA
NC_017635.1,911926.0,911938.0,48.87884615,ECK120026762,mcbA
NC_017635.1,999676.0,999688.0,2.450961538,ECK120008967,ybjC-nfsA-rimK-ybjN
NC_017635.1,1050940.0,1050952.0,4.515384615,ECK120008921,dmsABC
NC_017635.1,1093724.0,1093736.0,2.197115385,ECK120009243,ompF
NC_017635.1,1188592.0,1188604.0,36.94326923,ECK120017000,pgaABCD
NC_017635.1,1227064.0,1227076.0,3.284615385,ECK120026832,solA-yceO
NC_017635.1,1337812.0,1337824.0,4.944230769,ECK120009582,treA
NC_017635.1,1401264.0,1401276.0,2.109615385,ECK120009260,trpLEDCBA
NC_017635.1,1423657.0,1423669.0,17.13365385,ECK120009827,acnA
NC_017635.1,1433321.0,1433333.0,2.8086538460000003,ECK120009795,rnb
NC_017635.1,1549525.0,1549537.0,4.593269231,ECK120021123,ydbK
NC_017635.1,1575249.0,1575261.0,2.707692308,ECK120009778,paaABCDEFGHIJK
NC_017635.1,1629030.0,1629042.0,72.00769231,ECK120015353,ansP
NC_017635.1,1662802.0,1662814.0,2.924038462,ECK120008999,ddpXABCDF
NC_017635.1,1688244.0,1688256.0,43.75769231,ECK125135682,ydeNM
NC_017635.1,1702182.0,1702194.0,15.87211538,ECK120009473,hipBA
NC_017635.1,1820762.0,1820774.0,5.377884615,ECK120009508,pntAB
NC_017635.1,1830857.0,1830869.0,2.271153846,ECK120009297,fumC
NC_017635.1,1857843.0,1857855.0,5.8038461539999995,ECK120016930,ydgK-rsxABCDGE-nth
NC_017635.1,1900953.0,1900965.0,2.042307692,ECK120008980,sufABCDSE
NC_017635.1,1935942.0,1935954.0,35.69519231,ECK120020536,ydiU
NC_017635.1,1938343.0,1938355.0,6.361538462,ECK120011063,pheMST-ihfA
NC_017635.1,2024572.0,2024584.0,2.830769231,ECK120021138,dgcP
NC_017635.1,2047681.0,2047693.0,2.323076923,ECK120021072,yoaE
NC_017635.1,2089433.0,2089445.0,3.024038462,ECK120009040,znuA
NC_017635.1,2135586.0,2135598.0,14.72980769,ECK120016700,ftnB
NC_017635.1,2145482.0,2145494.0,14.9875,ECK120027145,dcyD-tcyLN
NC_017635.1,2348705.0,2348717.0,3.706730769,ECK120027199,yegTUV
NC_017635.1,2416404.0,2416416.0,272.4125,ECK120011141,lysP
NC_017635.1,2476114.0,2476126.0,45.09230769,ECK120009265,ada-alkB
NC_017635.1,2800361.0,2800373.0,4.891346154,ECK120009396,guaBA
NC_017635.1,2861927.0,2861939.0,4.256730769,ECK120009250,purL
NC_017635.1,2922767.0,2922779.0,5.975,ECK120015766,recN
NC_017635.1,2946834.0,2946846.0,33.50480769,ECK120008916,nrdHIEF
NC_017635.1,2982430.0,2982442.0,2.7759615380000002,ECK120009024,norVW
NC_017635.1,3148140.0,3148152.0,2.926923077,ECK120016589,recC
NC_017635.1,3368372.0,3368384.0,23.85288462,ECK120009382,metC
NC_017635.1,3429267.0,3429279.0,75.43557692,ECK120010891,aer
NC_017635.1,3471849.0,3471861.0,3.104807692,ECK120009317,tdcABCDEFG
NC_017635.1,3667719.0,3667731.0,11.37596154,ECK120009069,fusA-tufA
NC_017635.1,3667868.0,3667880.0,66.40576923,ECK120009069,fusA-tufA
NC_017635.1,3738505.0,3738517.0,42.44615385,ECK120009459,feoABC
NC_017635.1,3759308.0,3759320.0,4.692307692,ECK120030132,glgBXCAP
NC_017635.1,3776387.0,3776399.0,2.574038462,ECK120009418,gntKU
NC_017635.1,3784356.0,3784368.0,4.471153846,ECK120009109,ugpBAECQ
NC_017635.1,3790810.0,3790822.0,2.2240384619999998,ECK120009375,livKHMGF
NC_017635.1,3871231.0,3871243.0,2.7211538460000004,ECK120027646,yhjG
NC_017635.1,3923546.0,3923558.0,3.520192308,ECK120009470,glyQS
NC_017635.1,4016805.0,4016817.0,2.6423076919999997,ECK120009096,yicR-rpmBG
NC_017635.1,4277463.0,4277475.0,2.4538461540000003,ECK120009130,hemN
NC_017635.1,4376705.0,4376717.0,3.427884615,ECK120009476,hslVU
NC_017635.1,4620197.0,4620209.0,3.567307692,ECK120034180,yjdC
NC_017635.1,4795911.0,4795923.0,2.606730769,ECK125162170,nanCMS
NC_017635.1,4797363.0,4797375.0,5.886538462000001,ECK125162170,nanCMS
NC_017635.1,4866507.0,4866519.0,73.66923077,ECK120009702,leuQPV
NC_017635.1,4866530.0,4866542.0,55.83173077,ECK120009702,leuQPV
