Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_017660.1,9628,9640,1.648008242,ECK120015352,talB
NC_017660.1,52636,52648,1.900326236,ECK120009075,rsmA-apaGH
NC_017660.1,72212,72224,2.077781593,ECK120009196,araC
NC_017660.1,160943,160955,1.8385130490000001,ECK120009546,sfsA-dksA
NC_017660.1,168793,168805,147.74948490000003,ECK120009213,fhuACDB
NC_017660.1,168812,168824,192.5692823,ECK120009213,fhuACDB
NC_017660.1,170387,170399,2.544299451,ECK120009213,fhuACDB
NC_017660.1,373891,373903,1.312929258,ECK120011167,adiY
NC_017660.1,425426,425438,1.352335165,ECK120009003,acs-yjcH-actP
NC_017660.1,429343,429355,3.715315934,ECK120009003,acs-yjcH-actP
NC_017660.1,449510,449522,2.594093407,ECK120029339,qorA
NC_017660.1,453806,453818,3.358087225,ECK120009230,lexA-dinF
NC_017660.1,555668,555680,3.4140625,ECK120009197,argCBH
NC_017660.1,577106,577118,2.7170329669999997,ECK120009227,katG
NC_017660.1,610714,610726,1.627833104,ECK120011164,pfkA
NC_017660.1,646830,646842,1.8697630490000001,ECK120008917,cpxPQ
NC_017660.1,652533,652545,240.0929773,ECK120009256,rhaSR
NC_017660.1,705240,705252,2.029275412,ECK120021231,nlpA
NC_017660.1,766711,766723,3.053914835,ECK120009051,bglGFB
NC_017660.1,820195,820207,2.01407967,ECK120009785,ilvLXG_1G_2MEDA
NC_017660.1,917015,917027,2.190762363,ECK120010884,yihG
NC_017660.1,925402,925414,2.3089800819999997,ECK120009221,glnLG
NC_017660.1,969342,969354,4.890968407,ECK120009481,waaA-coaD
NC_017660.1,969952,969964,2.734632555,ECK120009481,waaA-coaD
NC_017660.1,1023672,1023684,7.066449176,ECK120009543,selAB
NC_017660.1,1041687,1041699,1.702352335,ECK120009756,yiaJ
NC_017660.1,1060688,1060700,1.7316277469999999,ECK120009470,glyQS
NC_017660.1,1063199,1063211,7.057692307999999,ECK120015364,insK
NC_017660.1,1083952,1083964,1.864010989,ECK120009452,dppABCDF
NC_017660.1,1088927,1088939,3.602335165,ECK120027649,bcsEFG
NC_017660.1,1125779,1125791,2.154618819,ECK120008969,gadX
NC_017660.1,1197274,1197286,2.477764423,ECK120009108,ugpBAECQ
NC_017660.1,1264027,1264039,4.513822115,ECK120021236,mrcA
NC_017660.1,1266180,1266192,1.900154533,ECK120021236,mrcA
NC_017660.1,1306113,1306125,2.1639766480000002,ECK120009660,yhfA
NC_017660.1,1339925,1339937,2.232915522,ECK120009448,def-fmt
NC_017660.1,1385317,1385329,3.085250687,ECK120021182,aaeR
NC_017660.1,1389058,1389070,3.147149725,ECK120027580,aaeXAB
NC_017660.1,1418378,1418390,2.2144574180000003,ECK120009097,arcB
NC_017660.1,1421023,1421035,12.28743132,ECK120009669,rpoN-hpf-ptsN-rapZ-npr
NC_017660.1,1462906,1462918,2.447802198,ECK120051398,yrbN-deaD
