Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_012971.2,170301,170313,62.24848178,ECK120009213,fhuACDB
NC_012971.2,426394,426406,2.036842105,ECK120009441,clpPX
NC_012971.2,466231,466243,12.82945344,ECK120011056,adk
NC_012971.2,585322,585334,107.57894740000002,ECK120009357,entCEBAH
NC_012971.2,705140,705152,2.700101215,ECK120016928,ybgI-pxpBCA-nei
NC_012971.2,715585,715597,3.583299595,ECK120009169,sdhDAB
NC_012971.2,746049,746061,19.82408907,ECK120026751,ybhC
NC_012971.2,825653,825665,48.32368421,ECK120026762,mcbA
NC_012971.2,948010,948022,4.548987854,ECK120008921,dmsABC
NC_012971.2,990791,990803,2.188765182,ECK120009243,ompF
NC_012971.2,1085575,1085587,26.0007085,ECK120017000,pgaABCD
NC_012971.2,1233093,1233105,3.7014676110000004,ECK120009582,treA
NC_012971.2,1296627,1296639,2.318977733,ECK120009260,trpLEDCBA
NC_012971.2,1321834,1321846,5.53395749,ECK120009827,acnA
NC_012971.2,1331499,1331511,2.158299595,ECK120009795,rnb
NC_012971.2,1477279,1477291,40.51852227,ECK120021067,yncE
NC_012971.2,1509357,1509369,2.991548583,ECK125140827,ddpXABCDF
NC_012971.2,1534804,1534816,45.51082996,ECK125135682,ydeNM
NC_012971.2,1619671,1619683,4.908653846,ECK120009508,pntAB
NC_012971.2,1656758,1656770,5.618066802,ECK120016930,ydgK-rsxABCDGE-nth
NC_012971.2,1733997,1734009,32.64301619,ECK120020536,ydiU
NC_012971.2,1736397,1736409,5.1295040489999995,ECK120011063,pheMST-ihfA
NC_012971.2,1845272,1845284,1.9806680159999999,ECK120021072,yoaE
NC_012971.2,1887022,1887034,3.021963563,ECK120009040,znuA
NC_012971.2,1932088,1932100,12.52925101,ECK120016700,ftnB
NC_012971.2,2077908,2077920,2.59402834,ECK120027199,yegTUV
NC_012971.2,2128765,2128777,1.7895242919999998,ECK120009359,mglBAC
NC_012971.2,2141849,2141861,344.0919534,ECK120011141,lysP
NC_012971.2,2173909,2173921,2.0762651819999998,ECK120009493,napFDAGHBC-ccmABCDEFGH
NC_012971.2,2202456,2202468,44.26351215,ECK120009265,ada-alkB
NC_012971.2,2325623,2325635,7.3798582999999995,ECK120009074,flk
NC_012971.2,2493122,2493134,4.846204453,ECK120009396,guaBA
NC_012971.2,2618244,2618256,5.916548582999999,ECK120015766,recN
NC_012971.2,2640582,2640594,36.38340081,ECK120008916,nrdHIEF
NC_012971.2,2673945,2673957,1.74402834,ECK120009764,hydN-hypF
NC_012971.2,2739073,2739085,2.639625506,ECK125109845,eno
NC_012971.2,2796321,2796333,2.517560729,ECK120027429,ppdAB-ygdB-ppdC-recC
NC_012971.2,3019507,3019519,18.74362348,ECK120009382,metC
NC_012971.2,3082626,3082638,178.096002,ECK120010891,aer
NC_012971.2,3120516,3120528,2.564726721,ECK120009317,tdcABCDEFG
NC_012971.2,3327277,3327289,2.687601215,ECK120009069,fusA-tufA
NC_012971.2,3400407,3400419,24.76295547,ECK120009459,feoABC
NC_012971.2,3424487,3424499,3.094838057,ECK125134705,glgAP
NC_012971.2,3437968,3437980,2.352378543,ECK120009418,gntKU
NC_012971.2,3460188,3460200,2.627580972,ECK120009374,livJ
NC_012971.2,3536638,3536650,2.395850202,ECK120027646,yhjG
NC_012971.2,3595629,3595641,6.677226721,ECK120009562,xylFGHR
NC_012971.2,3677727,3677739,3.6765182189999996,ECK120009096,yicR-rpmBG
NC_012971.2,3982233,3982245,4.187297571,ECK120027745,yihXY-dtd-yiiD
NC_012971.2,4026451,4026463,3.308299595,ECK120009476,hslVU
NC_012971.2,4066713,4066725,2.125455466,ECK120015324,sthA
NC_012971.2,4430133,4430145,7.713714575,ECK120009643,fecIR
