Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_017626.1,9785.0,9797,1.523580586,ECK120015352,talB
NC_017626.1,77462.0,77474,1.843543956,ECK120009196,araC
NC_017626.1,173346.0,173358,58.96982601,ECK120009213,fhuACDB
NC_017626.1,182107.0,182119,3.419871795,ECK120026537,mtn-btuF-yadS
NC_017626.1,458579.0,458591,1.935805861,ECK120010928,sbmA-yaiW
NC_017626.1,561433.0,561445,15.96295788,ECK120011056,adk
NC_017626.1,689962.0,689974,104.83205129999999,ECK120009460,fes-ybdZ-entF-fepE
NC_017626.1,701823.0,699497,84.93040293,ECK120009113,entS
NC_017626.1,701937.0,701919,52.82376374,ECK120009357,entCEBAH
NC_017626.1,751516.0,701949,76.79139194,ECK120026712,lipA
NC_017626.1,808583.0,751528,26.43402015,ECK120026729,chiPQ
NC_017626.1,857576.0,808595,2.325412088,ECK120026745,nadA-pnuC
NC_017626.1,925034.0,857588,28.09661172,ECK120026751,ybhC
NC_017626.1,954046.0,925046,3.112087912,ECK120026762,mcbA
NC_017626.1,954082.0,954058,42.70004579,ECK120026762,mcbA
NC_017626.1,990592.0,954094,48.39917582,ECK120026769,iaaA-gsiABCD
NC_017626.1,1058899.0,990604,2.151282051,ECK120026786,serS
NC_017626.1,1100043.0,1058911,5.07518315,ECK120026797,ycbK-gloC
NC_017626.1,1181630.0,1100055,1.651053114,ECK120026819,wrbA-yccJ
NC_017626.1,1209320.0,1181642,31.87701465,ECK120026832,solA-yceO
NC_017626.1,1254071.0,1209332,3.608653846,ECK120026835,grxB
NC_017626.1,1292887.0,1254083,455.4565018,ECK120026863,bluR
NC_017626.1,1294833.0,1292899,1.7679487180000002,ECK120051389,ycgZ-ymgA-ariR-ymgC
NC_017626.1,1300385.0,1292899,1.7679487180000002,ECK120051389,ycgZ-ymgA-ariR-ymgC
NC_017626.1,1324085.0,1294845,5.5328754579999995,ECK120021212,fadR
NC_017626.1,1341315.0,1300397,6.821382784,ECK120021212,fadR
NC_017626.1,1393154.0,1324097,5.921611722000001,ECK120026894,yciCB
NC_017626.1,1411820.0,1341327,6.29271978,ECK120026894,yciCB
NC_017626.1,1471075.0,1393166,2.709065934,ECK120026902,ymiA-yciX
NC_017626.1,1480740.0,1411832,6.63228022,ECK120026904,lapAB
NC_017626.1,1554824.0,1471087,12.096703300000001,ECK120026926,zntB
NC_017626.1,1583862.0,1480752,1.939514652,ECK120026926,zntB
NC_017626.1,1591234.0,1554836,3.907554945,ECK120026943,hslJ
NC_017626.1,1642934.0,1583874,17.80700549,ECK120026943,hslJ
NC_017626.1,1648906.0,1591246,2.969047619,ECK120021124,ydcI
NC_017626.1,1681661.0,1642946,4.976465201,ECK120021067,yncE
NC_017626.1,1682934.0,1648918,61.31831502,ECK120021067,yncE
NC_017626.1,1708378.0,1648918,61.31831502,ECK120021067,yncE
NC_017626.1,1720926.0,1681673,2.8818681319999997,ECK120015478,ydeP
NC_017626.1,1808084.0,1682946,2.851053114,ECK120021241,marC
NC_017626.1,1815958.0,1708390,54.78095238,ECK120021241,marC
NC_017626.1,1843978.0,1720938,6.58282967,ECK120021241,marC
NC_017626.1,1880886.0,1808096,4.040430403,ECK120016931,rsxABCDGE-nth
NC_017626.1,1923920.0,1815970,2.4708333330000003,ECK120026298,tyrS-pdxY
NC_017626.1,1933744.0,1843990,5.508516483999999,ECK120026298,tyrS-pdxY
NC_017626.1,1933777.0,1880898,5.495009157999999,ECK120026298,tyrS-pdxY
NC_017626.1,1958913.0,1923932,1.552335165,ECK120021134,ydiP
NC_017626.1,1961313.0,1933756,2.244688645,ECK120021134,ydiP
NC_017626.1,2060662.0,1933789,2.679532967,ECK120021265,pheM
NC_017626.1,2071574.0,1958925,35.44876374,ECK120021265,pheM
NC_017626.1,2076973.0,1961325,5.897619047999999,ECK120021265,pheM
NC_017626.1,2088395.0,2060674,3.57032967,ECK120021072,yoaE
NC_017626.1,2115082.0,2060674,3.57032967,ECK120021072,yoaE
NC_017626.1,2159094.0,2071586,2.05,ECK120021072,yoaE
NC_017626.1,2160756.0,2076985,16.39304029,ECK120020454,ryeA
NC_017626.1,2168980.0,2088407,8.200824176,ECK120020454,ryeA
NC_017626.1,2228165.0,2115094,2.470695971,ECK120021206,dsrA
NC_017626.1,2252594.0,2159106,11.435302199999999,ECK120021206,dsrA
NC_017626.1,2281429.0,2160768,10.81881868,ECK120021206,dsrA
NC_017626.1,2282620.0,2168992,16.47367216,ECK120021206,dsrA
NC_017626.1,2441317.0,2228177,2.790247253,ECK120021147,yegH
NC_017626.1,2457700.0,2252606,3.336217949,ECK120021147,yegH
NC_017626.1,2512578.0,2281441,78.75173993,ECK120021147,yegH
NC_017626.1,2580541.0,2281441,78.75173993,ECK120021233,narP
NC_017626.1,2636192.0,2282632,133.3470696,ECK120021233,narP
NC_017626.1,2643960.0,2441329,3.836721612,ECK120021233,narP
NC_017626.1,2769259.0,2457712,12.73081502,ECK120021233,narP
NC_017626.1,2871660.0,2512590,278.9103938,ECK120021233,narP
NC_017626.1,2945336.0,2580553,43.02339744,ECK120021162,pdeF
NC_017626.1,3007626.0,2636204,4.28209707,ECK120021162,pdeF
NC_017626.1,3046153.0,2643972,4.384798535,ECK120021162,pdeF
NC_017626.1,3062850.0,2769271,75.01904762,ECK120021162,pdeF
NC_017626.1,3096242.0,2871672,4.079075092,ECK120021263,luxS
NC_017626.1,3115143.0,2945348,4.505815018,ECK120021263,luxS
NC_017626.1,3186356.0,3007638,5.633104396,ECK120021263,luxS
NC_017626.1,3220074.0,3046165,6.011584248999999,ECK120021263,luxS
NC_017626.1,3265071.0,3062862,32.2143315,ECK120021263,luxS
NC_017626.1,3274543.0,3096254,2.993727106,ECK120021186,omrA
NC_017626.1,3293648.0,3115155,5.948855311,ECK120021186,omrA
NC_017626.1,3305399.0,3186368,5.162591575,ECK120021186,omrA
NC_017626.1,3393617.0,3220086,2.567994505,ECK120021186,omrA
NC_017626.1,3416961.0,3265083,2.6510073259999998,ECK120021173,ygfZ
NC_017626.1,3456688.0,3274555,2.803159341,ECK120021173,ygfZ
NC_017626.1,3457794.0,3293660,10.00663919,ECK120021173,ygfZ
NC_017626.1,3510674.0,3305411,4.01996337,ECK120021176,yghU
NC_017626.1,3516258.0,3393629,2.667078755,ECK120021176,yghU
NC_017626.1,3518753.0,3416973,27.61799451,ECK120021176,yghU
NC_017626.1,3539587.0,3416973,27.61799451,ECK120021176,yghU
NC_017626.1,3539695.0,3456700,3.9335622710000004,ECK120021176,yghU
NC_017626.1,3539800.0,3457806,2.628067766,ECK120021176,yghU
NC_017626.1,3541405.0,3510686,25.36858974,ECK120016552,qseBC
NC_017626.1,3587628.0,3516270,20.97284799,ECK120021180,ttdR
NC_017626.1,3610249.0,3518765,1.988049451,ECK120021180,ttdR
NC_017626.1,3717147.0,3539599,155.4551282,ECK120021180,ttdR
NC_017626.1,3735927.0,3539707,88.30782967,ECK120021180,ttdR
NC_017626.1,3752843.0,3539812,168.3461081,ECK120021184,dcuD
NC_017626.1,3816117.0,3541417,7.245283883,ECK120021184,dcuD
NC_017626.1,3816258.0,3587640,146.78493590000002,ECK120021184,dcuD
NC_017626.1,3882952.0,3610261,2.990796703,ECK120026296,trpS
NC_017626.1,3886216.0,3717159,6.2236721610000005,ECK120026296,trpS
NC_017626.1,3928708.0,3735939,3.990430403,ECK120026296,trpS
NC_017626.1,3934908.0,3752855,4.581868132,ECK120026296,trpS
NC_017626.1,3940514.0,3816129,12.01964286,ECK120026296,trpS
NC_017626.1,3948310.0,3816270,67.49565018,ECK120026296,trpS
NC_017626.1,3950402.0,3882964,2.384157509,ECK120021194,bioH
NC_017626.1,4010590.0,3886228,30.36680403,ECK120021194,bioH
NC_017626.1,4023764.0,3928720,2.270741758,ECK120021017,yhiM
NC_017626.1,4026421.0,3934920,467.53759160000004,ECK120021017,yhiM
NC_017626.1,4026764.0,3934920,467.53759160000004,ECK120021017,yhiM
NC_017626.1,4041993.0,3940526,2.641025641,ECK120021017,yhiM
NC_017626.1,4052224.0,3948322,4.19775641,ECK120021017,yhiM
NC_017626.1,4113262.0,3950414,3.036813187,ECK120021260,ldrD
NC_017626.1,4145928.0,4010602,2.552106227,ECK120021260,ldrD
NC_017626.1,4191342.0,4023776,3.3819139189999996,ECK120021260,ldrD
NC_017626.1,4209836.0,4026433,127.51217949999999,ECK120021260,ldrD
NC_017626.1,4238072.0,4026776,158.5929029,ECK120021260,ldrD
NC_017626.1,4283354.0,4042005,2.088232601,ECK120021260,ldrD
NC_017626.1,4300178.0,4052236,2.601373626,ECK120021260,ldrD
NC_017626.1,4341314.0,4113274,5.342765568,ECK120021188,adeD
NC_017626.1,4429734.0,4145940,4.312637363,ECK120021222,hdfR
NC_017626.1,4489900.0,4191354,3.433058608,ECK120021222,hdfR
NC_017626.1,4534526.0,4209848,6.322252747,ECK120021222,hdfR
NC_017626.1,4554952.0,4238084,3.058699634,ECK120021222,hdfR
NC_017626.1,4555749.0,4283366,2.35521978,ECK120021222,hdfR
NC_017626.1,4556329.0,4300190,2.6811813190000002,ECK120021222,hdfR
NC_017626.1,4571526.0,4341326,2.725,ECK120021222,hdfR
NC_017626.1,4590790.0,4429746,3.484432234,ECK120021089,ysgA
NC_017626.1,4682051.0,4489912,2.13003663,ECK120020452,rpmE
NC_017626.1,4737193.0,4534538,2.555494505,ECK120020452,rpmE
NC_017626.1,4741460.0,4554964,3.4049908419999997,ECK120020452,rpmE
NC_017626.1,4761647.0,4555761,3.1341575089999996,ECK120021039,pdeC
NC_017626.1,4831365.0,4556341,2.520192308,ECK120021039,pdeC
NC_017626.1,4852105.0,4571538,112.8413462,ECK120021039,pdeC
NC_017626.1,4859253.0,4590802,2.9510989010000004,ECK120021039,pdeC
NC_017626.1,4867750.0,4682063,2.228113553,ECK120021039,pdeC
NC_017626.1,4868579.0,4737205,2.362042125,ECK120021039,pdeC
NC_017626.1,4907370.0,4741472,3.050091575,ECK120021039,pdeC
NC_017626.1,4910699.0,4761659,3.9911630039999997,ECK120016328,dcuSR
NC_017626.1,5055432.0,4831377,3.50503663,ECK120021091,ytfB
NC_017626.1,5064339.0,4852117,3.754945055,ECK120021091,ytfB
NC_017626.1,5086225.0,4859265,2.626282051,ECK120021091,ytfB
NC_017626.1,5104913.0,4867762,4.404945055,ECK120021091,ytfB
NC_017626.1,5127384.0,4868591,4.257234432,ECK120021091,ytfB
NC_017626.1,5128927.0,4907382,3.208424908,ECK120021091,ytfB
NC_017626.1,5141158.0,4910711,3.2565476189999996,ECK120021091,ytfB
NC_017626.1,5145201.0,5055444,3.740247253,ECK120021047,rraB
NC_017626.1,5206964.0,5064351,2.539514652,ECK120026301,yjjB-dnaTC
NC_017626.1,25327.0,5086237,12.58305861,ECK120026943,hslJ
NC_017626.1,85924.0,5104925,2.50206044,ECK120026943,hslJ
NC_017626.1,91493.0,5127396,8.416254579,ECK120026943,hslJ
NC_017626.1,101862.0,5128939,36.63589744,ECK120026943,hslJ
