Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_010468.1,23793,23805,6.17378441
NC_010468.1,27526,27538,4.846829174
NC_010468.1,80827,80839,2.899665552
NC_010468.1,86534,86546,2.23839079
NC_010468.1,132643,132655,1.825057885
NC_010468.1,134188,134200,4.386480576
NC_010468.1,154468,154480,2.005434783
NC_010468.1,161337,161349,6.470800103
NC_010468.1,188646,188658,1.757943144
NC_010468.1,193100,193112,1.658091073
NC_010468.1,219190,219202,2.245304862
NC_010468.1,229457,229469,1.49282866
NC_010468.1,266016,266028,2.010612297
NC_010468.1,295645,295657,2.567693594
NC_010468.1,303441,303453,2.012606123
NC_010468.1,311125,311137,295.7702277
NC_010468.1,317328,317340,2.117507075
NC_010468.1,330808,330820,2.58065346
NC_010468.1,354888,354900,16.82573321
NC_010468.1,358131,358143,2.299588371
NC_010468.1,427874,427886,1.892301261
NC_010468.1,504632,504644,3.197742475
NC_010468.1,508372,508384,2.020806535
NC_010468.1,521555,521567,2.988487265
NC_010468.1,537392,537404,1.985464368
NC_010468.1,540037,540049,4.701601492
NC_010468.1,557855,557867,1.769166452
NC_010468.1,636329,557867,1.769166452
NC_010468.1,643942,636341,2.165230255
NC_010468.1,651104,643954,2.126414973
NC_010468.1,679353,651116,2.669668125
NC_010468.1,739997,679365,126.2974338
NC_010468.1,742486,740009,1.693175971
NC_010468.1,747134,742498,9.629084127
NC_010468.1,748069,747146,1.944205042
NC_010468.1,798156,748081,13.19455879
NC_010468.1,799710,798168,4.472408027
NC_010468.1,813292,799722,22.56865835
NC_010468.1,896871,813304,1.780711346
NC_010468.1,916900,896883,6.781869051
NC_010468.1,962655,916912,2.242442758
NC_010468.1,996322,962667,2.208483406
NC_010468.1,1090075,996334,4.157865963
NC_010468.1,1123431,1090087,1.818368922
NC_010468.1,1161162,1123443,26.64037175
NC_010468.1,1284099,1161174,3.751607924
NC_010468.1,1347823,1284111,3.299395421
NC_010468.1,1352921,1347835,212.4885516
NC_010468.1,1398327,1352933,12.47253666
NC_010468.1,1462543,1398339,44.16600206
NC_010468.1,1526922,1462555,5.966104965
NC_010468.1,1587850,1526934,4.156483149
NC_010468.1,1616105,1587862,28.183239
NC_010468.1,1648162,1616117,1.941407255
NC_010468.1,1919836,1648174,239.6746848
NC_010468.1,1928073,1919848,7.409602521
NC_010468.1,1929734,1928085,4.154264214
NC_010468.1,1974605,1929746,9.821391819
NC_010468.1,1999531,1974617,2.501447131
NC_010468.1,2010664,1999543,4.796565475
NC_010468.1,2010952,2010676,1.774536918
NC_010468.1,2017134,2010964,6.228164394
NC_010468.1,2028065,2017146,1.636030358
NC_010468.1,2038271,2028077,2.452855673
NC_010468.1,2124694,2028077,2.452855673
NC_010468.1,2127095,2038283,1.562869822
NC_010468.1,2152236,2124706,3.038815282
NC_010468.1,2205101,2127107,23.05630949
NC_010468.1,2242006,2152248,1.495883715
NC_010468.1,2258997,2205113,4.729289941
NC_010468.1,2266868,2242018,3.667384873
NC_010468.1,2364530,2259009,1.794314381
NC_010468.1,2389973,2266880,3.524343967
NC_010468.1,2428114,2364542,31.59457808
NC_010468.1,2490380,2389985,2.400533831
NC_010468.1,2508821,2428126,32.12165552
NC_010468.1,2581488,2490392,1.718902753
NC_010468.1,2591151,2508833,2.402591973
NC_010468.1,2615584,2581500,1.968581168
NC_010468.1,2680651,2591163,3.896610497
NC_010468.1,2702461,2615596,1.665230255
NC_010468.1,2708763,2680663,3.330782094
NC_010468.1,2710689,2702473,3.335959609
NC_010468.1,2748248,2708775,3.623906612
NC_010468.1,2820120,2710701,1.145999485
NC_010468.1,2828426,2748260,362.6645228
NC_010468.1,2924644,2820132,11.75771803
NC_010468.1,2967428,2828438,14.16063159
NC_010468.1,3068853,2924656,2.10007718
NC_010468.1,3088107,2967440,3.772414458
NC_010468.1,3104729,3068865,1.876125547
NC_010468.1,3167914,3088119,2.414361976
NC_010468.1,3198193,3104741,37.7427965
NC_010468.1,3208637,3167926,12.04187034
NC_010468.1,3254515,3198205,2.949286082
NC_010468.1,3281456,3208649,2.530068176
NC_010468.1,3332392,3254527,1.792738616
NC_010468.1,3332499,3281468,23.38757396
NC_010468.1,3335014,3332404,70.74559429
NC_010468.1,3344556,3332511,76.02025984
NC_010468.1,3383059,3335026,59.79125933
NC_010468.1,3387789,3335026,59.79125933
NC_010468.1,3444369,3344568,113.2006689
NC_010468.1,3450731,3344568,113.2006689
NC_010468.1,3480190,3383071,3.766400823
NC_010468.1,3668612,3387801,1.811422691
NC_010468.1,3726935,3444381,10.30923591
NC_010468.1,3740702,3450743,9.183142526
NC_010468.1,3742887,3480202,6.292995884
NC_010468.1,3743800,3668624,4.91764214
NC_010468.1,3810193,3726947,1.592584255
NC_010468.1,3822770,3740714,3.193015179
NC_010468.1,3830751,3742899,1.989130435
NC_010468.1,3832325,3743812,1.527399022
NC_010468.1,3853075,3810205,4.359660406
NC_010468.1,3860821,3822782,2.629952405
NC_010468.1,3888882,3822782,2.629952405
NC_010468.1,3929046,3830763,2.252765629
NC_010468.1,4037315,3832337,35.04296373
NC_010468.1,4094838,3853087,2.23585027
NC_010468.1,4116541,3860833,1.583322614
NC_010468.1,4125446,3888894,4.525019295
