Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_002128.1,33767,33779,2.482603181
NC_002128.1,33870,33882,10.51893939
NC_002695.1,63689,63701,3.955191051
NC_002695.1,75371,75383,2.081762192
NC_002695.1,115292,115304,5.424459527
NC_002695.1,150868,150880,2.844834087
NC_002695.1,171778,171790,45.79128959
NC_002695.1,181213,181225,3.384364002
NC_002695.1,193075,181225,3.384364002
NC_002695.1,288115,193087,5.089366516
NC_002695.1,293693,288127,4.843451483
NC_002695.1,315551,293705,6.289655606
NC_002695.1,556714,315563,3.432503771
NC_002695.1,563064,556726,12.14762443
NC_002695.1,602052,563076,9.717948718
NC_002695.1,651055,602064,2.400892408
NC_002695.1,655782,651067,2.152903469
NC_002695.1,694325,655794,3.635558069
NC_002695.1,694356,694337,134.8535696
NC_002695.1,703868,694368,82.2081448
NC_002695.1,706302,703880,65.20418552
NC_002695.1,757125,703880,65.20418552
NC_002695.1,833659,706314,80.38756913
NC_002695.1,871513,706314,80.38756913
NC_002695.1,915639,757137,27.34665661
NC_002695.1,928565,833671,3.964869281
NC_002695.1,966077,871525,25.93200101
NC_002695.1,966111,915651,5.394670689
NC_002695.1,1002501,928577,5.994343891
NC_002695.1,1074031,966089,34.65931373
NC_002695.1,1115176,966123,45.59131473
NC_002695.1,1174257,1002513,2.897184515
NC_002695.1,1272048,1074043,4.553858723
NC_002695.1,1324244,1115188,2.120789341
NC_002695.1,1332550,1174269,7.967068879
NC_002695.1,1344763,1272060,18.63159879
NC_002695.1,1359149,1324256,23.13738059
NC_002695.1,1372151,1332562,13.99082453
NC_002695.1,1374764,1344775,5.668049271
NC_002695.1,1420510,1359161,2.82239819
NC_002695.1,1424066,1372163,4.943690297
NC_002695.1,1429214,1374776,190.7604952
NC_002695.1,1520750,1420522,34.02784062
NC_002695.1,1574434,1424078,4.053167421
NC_002695.1,1687785,1429226,5.49855455
NC_002695.1,1701871,1520762,844.9462041
NC_002695.1,1792746,1574446,4.23887632
NC_002695.1,1845837,1687797,3.683006536
NC_002695.1,1869041,1701883,3.136752137
NC_002695.1,1960053,1792758,3.901458019
NC_002695.1,1979564,1845849,2.02557818
NC_002695.1,2038978,1869053,4.061902966
NC_002695.1,2075121,1869053,4.061902966
NC_002695.1,2100570,1960065,4.094017094
NC_002695.1,2113111,1979576,2.637254902
NC_002695.1,2114509,2038990,38.86356209
NC_002695.1,2209795,2075133,2.464429361
NC_002695.1,2257289,2100582,41.5333082
NC_002695.1,2274281,2113123,6.204499749
NC_002695.1,2311292,2114521,3.443376068
NC_002695.1,2364164,2209807,6.320827049
NC_002695.1,2389296,2257301,2.47253645
NC_002695.1,2391697,2274293,3.139894419
NC_002695.1,2480014,2311304,5.083459025
NC_002695.1,2490441,2364176,2.349107592
NC_002695.1,2506779,2364176,2.349107592
NC_002695.1,2518201,2389308,31.67357969
NC_002695.1,2543127,2391709,3.126194067
NC_002695.1,2588086,2480026,2.439416792
NC_002695.1,2589759,2490453,2.628267974
NC_002695.1,2596271,2490453,2.628267974
NC_002695.1,2619117,2506791,12.46279537
NC_002695.1,2739286,2518213,5.955568125
NC_002695.1,2853649,2543139,3.262380593
NC_002695.1,2859594,2588098,9.620160885
NC_002695.1,2918933,2589771,4.33352187
NC_002695.1,2925841,2596283,2.356711916
NC_002695.1,2927992,2619129,8.294934641
NC_002695.1,2981929,2739298,67.82899698
NC_002695.1,3041658,2853661,2.238373555
NC_002695.1,3077808,2859606,11.1192182
NC_002695.1,3100102,2918945,19.13247863
NC_002695.1,3164724,2925853,17.02853193
NC_002695.1,3240879,2928004,3.48120915
NC_002695.1,3344783,2981941,351.4033434
NC_002695.1,3411214,3041670,33.93394922
NC_002695.1,3471843,3077820,3.467571644
NC_002695.1,3508106,3100114,6.99610357
NC_002695.1,3524870,3164736,6.820512821
NC_002695.1,3557695,3240891,71.12374309
NC_002695.1,3646775,3344795,4.14046003
