Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_017660.1,9628,9640,1.648008242
NC_017660.1,52636,52648,1.900326236
NC_017660.1,72212,72224,2.077781593
NC_017660.1,81101,81113,1.768372253
NC_017660.1,112360,112372,23.48463255
NC_017660.1,147803,147815,4.448918269
NC_017660.1,160943,160955,1.838513049
NC_017660.1,168793,168805,147.7494849
NC_017660.1,168812,168824,192.5692823
NC_017660.1,170387,170399,2.544299451
NC_017660.1,178248,178260,2.756095467
NC_017660.1,190107,190119,15.06567651
NC_017660.1,233934,233946,1.634271978
NC_017660.1,286589,286601,2.41251717
NC_017660.1,349494,349506,3.863066621
NC_017660.1,373891,373903,1.312929258
NC_017660.1,425426,425438,1.352335165
NC_017660.1,429343,429355,3.715315934
NC_017660.1,449510,449522,2.594093407
NC_017660.1,453806,453818,3.358087225
NC_017660.1,507365,507377,3.215315934
NC_017660.1,555668,555680,3.4140625
NC_017660.1,577106,577118,2.717032967
NC_017660.1,602024,602036,3.272493132
NC_017660.1,610714,610726,1.627833104
NC_017660.1,622062,622074,3.430460165
NC_017660.1,637409,637421,4.506009615
NC_017660.1,639610,639622,3.375600962
NC_017660.1,643989,644001,4.374570742
NC_017660.1,646830,646842,1.869763049
NC_017660.1,652533,652545,240.0929773
NC_017660.1,671582,671594,2.027214973
NC_017660.1,698964,698976,1.738410027
NC_017660.1,705240,705252,2.029275412
NC_017660.1,720050,720062,3.911830357
NC_017660.1,766711,766723,3.053914835
NC_017660.1,775577,775589,2.433894231
NC_017660.1,819889,819901,1.637706044
NC_017660.1,820195,820207,2.01407967
NC_017660.1,829954,829966,2.078125
NC_017660.1,854333,854345,1.512791896
NC_017660.1,888472,888484,2.289921016
NC_017660.1,917015,917027,2.190762363
NC_017660.1,925402,925414,2.308980082
NC_017660.1,927246,927258,1.703296703
NC_017660.1,934583,934595,2.530992445
NC_017660.1,957580,957592,3.356541896
NC_017660.1,969342,969354,4.890968407
NC_017660.1,969952,969964,2.734632555
NC_017660.1,975659,975671,2.492359203
NC_017660.1,1023672,1023684,7.066449176
NC_017660.1,1041687,1041699,1.702352335
NC_017660.1,1060688,1060700,1.731627747
NC_017660.1,1063199,1063211,7.057692308
NC_017660.1,1078891,1078903,5.590916896
NC_017660.1,1083952,1083964,1.864010989
NC_017660.1,1088927,1088939,3.602335165
NC_017660.1,1115516,1115528,2.207160027
NC_017660.1,1125779,1125791,2.154618819
NC_017660.1,1147338,1147350,6.75103022
NC_017660.1,1189479,1189491,10.34375
NC_017660.1,1197274,1197286,2.477764423
NC_017660.1,1203729,1203741,3.621308379
NC_017660.1,1205491,1205503,511.5861092
NC_017660.1,1211700,1211712,2.304601648
NC_017660.1,1230108,1230120,30.1667239
NC_017660.1,1250916,1250928,63.16766827
NC_017660.1,1254159,1254171,2.685782967
NC_017660.1,1264027,1264039,4.513822115
NC_017660.1,1266180,1266192,1.900154533
