Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_007779.1,70526,70538,1.7402884619999999,ECK120026522,sgrR-sroA-tbpA-thiPQ
NC_007779.1,89706,89718,2.101410256,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
NC_007779.1,146495,146507,2.6306089740000003,ECK120009501,panBC
NC_007779.1,167456,167468,50.14967949,ECK120009213,fhuACDB
NC_007779.1,169031,169043,1.70025641,ECK120009213,fhuACDB
NC_007779.1,496409,496421,6.34625,ECK120011056,adk
NC_007779.1,594929,594941,1.364102564,ECK120008958,cusCFBA
NC_007779.1,624056,624068,106.8239423,ECK120009357,entCEBAH
NC_007779.1,746998,747010,2.474423077,ECK120016929,ybgI-pxpBCA-nei
NC_007779.1,757438,757450,2.9142628210000003,ECK120009705,sdhCDAB-sucABCD
NC_007779.1,788063,788075,18.82730769,ECK125165937,galET
NC_007779.1,842081,842093,57.91365385,ECK120026762,mcbA
NC_007779.1,943342,943354,4.625865385,ECK120009212,dmsABC
NC_007779.1,986122,986134,2.1321794869999997,ECK120009243,ompF
NC_007779.1,1081715,1081727,19.99112179,ECK120017000,pgaABCD
NC_007779.1,1246522,1246534,3.864615385,ECK120015345,dhaKLM
NC_007779.1,1312747,1312759,1.969519231,ECK120026894,yciCB
NC_007779.1,1337178,1337190,6.448461537999999,ECK120009827,acnA
NC_007779.1,1346844,1346856,2.058044872,ECK120009796,rnb
NC_007779.1,1410741,1410753,1.249775641,ECK120026926,zntB
NC_007779.1,1462214,1462226,2.535705128,ECK120009778,paaABCDEFGHIJK
NC_007779.1,1524928,1524940,51.58945513,ECK120015354,ansP
NC_007779.1,1555590,1555602,2.9907692310000003,ECK125140827,ddpXABCDF
NC_007779.1,1581039,1581051,48.46842949,ECK125135682,ydeNM
NC_007779.1,1676187,1676199,4.735705128,ECK120020476,tqsA
NC_007779.1,1686278,1686290,2.348044872,ECK125146693,fumAC
NC_007779.1,1713271,1713283,5.029679487,ECK120016931,rsxABCDGE-nth
NC_007779.1,1791295,1791307,40.97778846,ECK120029427,thrS-infC-rpmI-rplT-pheMST-ihfA
