Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_007779.1,70526,70538,1.740288462
NC_007779.1,89706,89718,2.101410256
NC_007779.1,110689,110701,3.781794872
NC_007779.1,146495,146507,2.630608974
NC_007779.1,167456,167468,50.14967949
NC_007779.1,169031,169043,1.70025641
NC_007779.1,177012,177024,2.782788462
NC_007779.1,189588,189600,5.521666667
NC_007779.1,250227,250239,3.878429487
NC_007779.1,255803,255815,4.580160256
NC_007779.1,289746,289758,2.669839744
NC_007779.1,384157,384169,1.846955128
NC_007779.1,490042,490054,11.18907051
NC_007779.1,496409,496421,6.34625
NC_007779.1,557824,557836,1.758942308
NC_007779.1,562538,562550,3.447339744
NC_007779.1,594929,594941,1.364102564
NC_007779.1,611892,611904,133.0616987
NC_007779.1,621435,621447,73.35384615
NC_007779.1,623942,623954,89.3013141
NC_007779.1,624056,624068,106.8239423
NC_007779.1,676182,676194,25.14442308
NC_007779.1,702266,702278,1.70349359
NC_007779.1,746998,747010,2.474423077
NC_007779.1,757438,757450,2.914262821
NC_007779.1,788063,788075,18.82730769
NC_007779.1,842081,842093,57.91365385
NC_007779.1,858217,858229,2.870128205
NC_007779.1,877635,877647,2.266698718
NC_007779.1,943342,943354,4.625865385
NC_007779.1,986122,986134,2.132179487
NC_007779.1,1081715,1081727,19.99112179
NC_007779.1,1090021,1090033,12.58657051
NC_007779.1,1097738,1097750,2.328397436
NC_007779.1,1163221,1163233,403.0002885
NC_007779.1,1219176,1219188,3.614198718
NC_007779.1,1224701,1224713,3.571474359
NC_007779.1,1246522,1246534,3.864615385
NC_007779.1,1312747,1312759,1.969519231
NC_007779.1,1337178,1337190,6.448461538
NC_007779.1,1346844,1346856,2.058044872
NC_007779.1,1410741,1410753,1.249775641
NC_007779.1,1443776,1443788,2.603814103
NC_007779.1,1462214,1462226,2.535705128
NC_007779.1,1505482,1505494,3.308846154
NC_007779.1,1518970,1518982,3.095673077
NC_007779.1,1524928,1524940,51.58945513
NC_007779.1,1555590,1555602,2.990769231
NC_007779.1,1581039,1581051,48.46842949
NC_007779.1,1612162,1612174,1.770096154
NC_007779.1,1612432,1612444,1.678846154
NC_007779.1,1623448,1623460,2.088205128
NC_007779.1,1659199,1659211,2.435416667
NC_007779.1,1676187,1676199,4.735705128
NC_007779.1,1686278,1686290,2.348044872
NC_007779.1,1713271,1713283,5.029679487
NC_007779.1,1766163,1766175,2.594038462
NC_007779.1,1791295,1791307,40.97778846
NC_007779.1,1793696,1793708,3.261025641
NC_007779.1,1880122,1880134,2.213782051
NC_007779.1,1901257,1901269,2.406121795
NC_007779.1,1906663,1906675,7.701378205
NC_007779.1,1907085,1907097,2.224038462
NC_007779.1,1918085,1918097,7.081891026
NC_007779.1,1943011,1943023,2.571538462
NC_007779.1,1989082,1989094,9.488653846
NC_007779.1,1990743,1990755,4.076378205
NC_007779.1,1998981,1998993,11.20567308
NC_007779.1,2005039,2005051,1.539391026
NC_007779.1,2069943,2069955,2.330448718
NC_007779.1,2070704,2070716,102.1646795
NC_007779.1,2243380,2243392,2.079326923
NC_007779.1,2250295,2250307,352.4767949
NC_007779.1,2282392,2282404,2.547660256
NC_007779.1,2312014,2312026,37.74583333
NC_007779.1,2374258,2374270,4.106858974
NC_007779.1,2443817,2443829,7.406217949
NC_007779.1,2454938,2454950,1.733974359
NC_007779.1,2454996,2455008,1.670929487
NC_007779.1,2461569,2461581,4.856666667
