Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_017635.1,72213,72225,2.334615385
NC_017635.1,103821,103833,2.057692308
NC_017635.1,112358,112370,6.766346154
NC_017635.1,147804,147816,4.1375
NC_017635.1,168813,168825,81.13942308
NC_017635.1,178248,178260,3.692307692
NC_017635.1,190105,190117,6.854807692
NC_017635.1,358916,358928,5.599038462
NC_017635.1,420635,420647,2.682692308
NC_017635.1,526777,526789,2.969230769
NC_017635.1,569065,569077,11.31153846
NC_017635.1,575428,575440,23.09903846
NC_017635.1,636504,636516,2.802884615
NC_017635.1,641230,641242,3.9
NC_017635.1,683523,683535,130.3807692
NC_017635.1,683583,683595,82.26346154
NC_017635.1,693097,693109,74.53269231
NC_017635.1,695590,695602,89.94134615
NC_017635.1,695692,695704,53.8
NC_017635.1,695729,695741,65.82596154
NC_017635.1,746559,746571,31.33557692
NC_017635.1,759206,759218,4.607692308
NC_017635.1,771310,771322,1.676923077
NC_017635.1,773319,773331,2.249038462
NC_017635.1,817239,817251,2.644230769
NC_017635.1,827683,827695,4.793269231
NC_017635.1,857902,857914,26.96153846
NC_017635.1,911890,911902,35.20192308
NC_017635.1,911926,911938,48.87884615
NC_017635.1,948609,948621,2.600961538
NC_017635.1,999676,999688,2.450961538
NC_017635.1,1036374,1036386,8.119230769
NC_017635.1,1050940,1050952,4.515384615
NC_017635.1,1064951,1064963,9.296153846
NC_017635.1,1093724,1093736,2.197115385
NC_017635.1,1188592,1188604,36.94326923
NC_017635.1,1196816,1196828,15.58461538
NC_017635.1,1227064,1227076,3.284615385
NC_017635.1,1232472,1232484,2.601923077
NC_017635.1,1269600,1269612,374.1192308
NC_017635.1,1310449,1310461,5.684615385
NC_017635.1,1315975,1315987,5.275
NC_017635.1,1337812,1337824,4.944230769
NC_017635.1,1401264,1401276,2.109615385
NC_017635.1,1423657,1423669,17.13365385
NC_017635.1,1433321,1433333,2.808653846
NC_017635.1,1522084,1522096,4.995192308
NC_017635.1,1549525,1549537,4.593269231
NC_017635.1,1556810,1556822,3.850961538
NC_017635.1,1575249,1575261,2.707692308
NC_017635.1,1623074,1623086,3.869230769
NC_017635.1,1629030,1629042,72.00769231
NC_017635.1,1662802,1662814,2.924038462
NC_017635.1,1688244,1688256,43.75769231
NC_017635.1,1700785,1700797,7.620192308
NC_017635.1,1702182,1702194,15.87211538
NC_017635.1,1703773,1703785,2.407692308
NC_017635.1,1722639,1722651,2.163461538
