Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_017626.1,9785,9797,1.523580586
NC_017626.1,77462,77474,1.843543956
NC_017626.1,117388,117400,7.636996337
NC_017626.1,152818,152830,4.559615385
NC_017626.1,173346,173358,58.96982601
NC_017626.1,182107,182119,3.419871795
NC_017626.1,194612,194624,6.455448718
NC_017626.1,329858,329870,5.282600733
NC_017626.1,458579,458591,1.935805861
NC_017626.1,555068,555080,13.82312271
NC_017626.1,561433,561445,15.96295788
NC_017626.1,617899,617911,2.578663004
NC_017626.1,646622,646634,2.187225275
NC_017626.1,651346,651358,3.291758242
NC_017626.1,689924,689936,128.1339286
NC_017626.1,689962,689974,104.8320513
NC_017626.1,699485,699497,84.93040293
NC_017626.1,701823,699497,84.93040293
NC_017626.1,701907,701835,61.05778388
NC_017626.1,701937,701919,52.82376374
NC_017626.1,751516,701949,76.79139194
NC_017626.1,808583,751528,26.43402015
NC_017626.1,857576,808595,2.325412088
NC_017626.1,925034,857588,28.09661172
NC_017626.1,954046,925046,3.112087912
NC_017626.1,954082,954058,42.70004579
NC_017626.1,990592,954094,48.39917582
NC_017626.1,1058899,990604,2.151282051
NC_017626.1,1100043,1058911,5.07518315
NC_017626.1,1181630,1100055,1.651053114
NC_017626.1,1209320,1181642,31.87701465
NC_017626.1,1254071,1209332,3.608653846
NC_017626.1,1292887,1254083,455.4565018
NC_017626.1,1294833,1292899,1.767948718
NC_017626.1,1300385,1292899,1.767948718
NC_017626.1,1324085,1294845,5.532875458
NC_017626.1,1341315,1300397,6.821382784
NC_017626.1,1393154,1324097,5.921611722
NC_017626.1,1411820,1341327,6.29271978
NC_017626.1,1471075,1393166,2.709065934
NC_017626.1,1480740,1411832,6.63228022
NC_017626.1,1554824,1471087,12.0967033
NC_017626.1,1583862,1480752,1.939514652
NC_017626.1,1591234,1554836,3.907554945
NC_017626.1,1642934,1583874,17.80700549
NC_017626.1,1648906,1591246,2.969047619
NC_017626.1,1681661,1642946,4.976465201
NC_017626.1,1682934,1648918,61.31831502
NC_017626.1,1708378,1648918,61.31831502
NC_017626.1,1720926,1681673,2.881868132
NC_017626.1,1808084,1682946,2.851053114
NC_017626.1,1815958,1708390,54.78095238
NC_017626.1,1843978,1720938,6.58282967
NC_017626.1,1880886,1808096,4.040430403
NC_017626.1,1923920,1815970,2.470833333
NC_017626.1,1933744,1843990,5.508516484
NC_017626.1,1933777,1880898,5.495009158
NC_017626.1,1958913,1923932,1.552335165
NC_017626.1,1961313,1933756,2.244688645
NC_017626.1,2060662,1933789,2.679532967
NC_017626.1,2071574,1958925,35.44876374
NC_017626.1,2076973,1961325,5.897619048
NC_017626.1,2088395,2060674,3.57032967
NC_017626.1,2115082,2060674,3.57032967
NC_017626.1,2159094,2071586,2.05
NC_017626.1,2160756,2076985,16.39304029
NC_017626.1,2168980,2088407,8.200824176
NC_017626.1,2228165,2115094,2.470695971
NC_017626.1,2252594,2159106,11.4353022
NC_017626.1,2281429,2160768,10.81881868
NC_017626.1,2282620,2168992,16.47367216
NC_017626.1,2441317,2228177,2.790247253
NC_017626.1,2457700,2252606,3.336217949
NC_017626.1,2512578,2281441,78.75173993
NC_017626.1,2580541,2281441,78.75173993
NC_017626.1,2636192,2282632,133.3470696
NC_017626.1,2643960,2441329,3.836721612
NC_017626.1,2769259,2457712,12.73081502
NC_017626.1,2871660,2512590,278.9103938
NC_017626.1,2945336,2580553,43.02339744
NC_017626.1,3007626,2636204,4.28209707
NC_017626.1,3046153,2643972,4.384798535
NC_017626.1,3062850,2769271,75.01904762
NC_017626.1,3096242,2871672,4.079075092
NC_017626.1,3115143,2945348,4.505815018
NC_017626.1,3186356,3007638,5.633104396
NC_017626.1,3220074,3046165,6.011584249
NC_017626.1,3265071,3062862,32.2143315
NC_017626.1,3274543,3096254,2.993727106
NC_017626.1,3293648,3115155,5.948855311
NC_017626.1,3305399,3186368,5.162591575
NC_017626.1,3393617,3220086,2.567994505
NC_017626.1,3416961,3265083,2.651007326
NC_017626.1,3456688,3274555,2.803159341
NC_017626.1,3457794,3293660,10.00663919
NC_017626.1,3510674,3305411,4.01996337
NC_017626.1,3516258,3393629,2.667078755
NC_017626.1,3518753,3416973,27.61799451
NC_017626.1,3539587,3416973,27.61799451
NC_017626.1,3539695,3456700,3.933562271
NC_017626.1,3539800,3457806,2.628067766
NC_017626.1,3541405,3510686,25.36858974
NC_017626.1,3587628,3516270,20.97284799
NC_017626.1,3610249,3518765,1.988049451
NC_017626.1,3717147,3539599,155.4551282
NC_017626.1,3735927,3539707,88.30782967
NC_017626.1,3752843,3539812,168.3461081
NC_017626.1,3816117,3541417,7.245283883
