,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK125134705,glgAP,-1,3427233,,,,,,3422924,3427233
1,ECK120008937,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1,3284528,,,,,,3278946,3284528
2,ECK120008936,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1,3284528,,,,,,3278839,3284528
3,ECK120008947,fur,-1,669992,,,,,,669387,669992
4,ECK120008935,rrsH-ileV-alaV-rrlH-rrfH,-1,3284825,,,,,,3279540,3284825
5,ECK125134702,luxS,-1,2654184,,,,,,2653337,2654184
6,ECK125138146,csrA,-1,2658927,,,,,,2658518,2658927
7,ECK120008938,dnaN-recF,-1,3768944,,,,,,3766359,3768944
8,ECK125134708,pstCAB-phoU,-1,3795655,,,,,,3791967,3795655
9,ECK120008957,ychF,-1,1244869,,,,,,1243708,1244869
10,ECK120008939,dnaN-recF,-1,3768944,,,,,,3766502,3768944
11,ECK125134700,ssrS,1,2886617,,,,,,2886617,2887141
12,ECK120008941,dnaN-recF,-1,3768944,,,,,,3766744,3768944
13,ECK120008942,gdhA,1,1786684,,,,,,1786684,1788090
14,ECK120008943,sugE,1,4283870,,,,,,4283870,4284268
15,ECK120008945,uof-fur,-1,669992,,,,,,669281,669992
16,ECK120008946,fldA-uof-fur,-1,669992,,,,,,668589,669992
17,ECK120008948,cbl,-1,1965112,,,,,,1964135,1965112
18,ECK120008955,fxsA,1,4275689,,,,,,4275689,4276226
19,ECK120008951,dctA,-1,3543349,,,,,,3542012,3543349
20,ECK120008953,nanATEK-yhcH,-1,3230177,,,,,,3225571,3230177
21,ECK120008954,asr,1,1616524,,,,,,1616524,1616917
22,ECK125140764,rybA-mntS,-1,836717,,,,,,836378,836717
23,ECK120008956,pth-ychF,-1,1244869,,,,,,1243048,1244869
24,ECK120008940,dnaN-recF,-1,3768944,,,,,,3766530,3768944
25,ECK125140825,azoR,-1,1435539,,,,,,1434890,1435539
26,ECK125142007,gapA,1,1806617,,,,,,1806617,1808143
27,ECK125140827,ddpXABCDF,-1,1512580,,,,,,1506443,1512580
28,ECK125134712,phoU,-1,3795655,,,,,,3794843,3795655
29,ECK125134710,pstB-phoU,-1,3795655,,,,,,3793952,3795655
30,ECK120008960,iscRSUA,-1,2525368,,,,,,2522732,2525368
31,ECK125136340,gpmM-envC-yibQ,1,3654388,,,,,,3654388,3658261
32,ECK125134714,uxaB,-1,1557304,,,,,,1555813,1557304
33,ECK125136342,csrA,-1,2658927,,,,,,2658690,2658927
34,ECK120008966,gcd,-1,141605,,,,,,139143,141605
35,ECK125158014,leuL,-1,86379,,,,,,86218,86379
36,ECK120010955,lptD-surA-pdxA,-1,56623,,,,,,51714,56623
37,ECK125158013,yfeCD,1,2394944,,,,,,2394944,2395742
38,ECK125158012,ssrA,1,2621988,,,,,,2621988,2622357
39,ECK125158011,bluF,-1,1202423,,,,,,1201181,1202423
40,ECK125140826,ddpXABCDF,-1,1512580,,,,,,1506491,1512580
41,ECK125146693,fumAC,-1,1630382,,,,,,1627127,1630382
42,ECK125145764,ibaG-murA,-1,3203735,,,,,,3202137,3203735
43,ECK125145763,yhjX,-1,3572953,,,,,,3571709,3572953
44,ECK125145760,esrE,1,3926889,,,,,,3926889,3927140
45,ECK125145759,rmf,1,1020746,,,,,,1020746,1021013
46,ECK125142006,gapA,1,1806624,,,,,,1806624,1808143
47,ECK125136343,csrA,-1,2658927,,,,,,2658699,2658927
48,ECK125142005,fumC,-1,1630382,,,,,,1628913,1630382
49,ECK125141553,leuLABCD,-1,81653,,,,,,76477,81653
50,ECK125141551,leuO,1,86959,,,,,,86959,88117
51,ECK125140835,shiA,1,1958713,,,,,,1958713,1960106
52,ECK125140834,patZ,1,2586531,,,,,,2586531,2589213
53,ECK125140833,metH,1,4130876,,,,,,4130876,4134882
54,ECK125145765,dksA-gluQ,-1,162038,,,,,,160473,162038
55,ECK120008962,glcDEFGBA,-1,2979836,,,,,,2971357,2979836
56,ECK120009291,araFGH,-1,1927696,,,,,,1924012,1927696
57,ECK120008964,osmY,1,4529528,,,,,,4529528,4530376
