,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120008985,metJ,-1,4647648,,,,,,4647260,4647648
1,ECK120009339,dsdXA,1,2760209,,,,,,2760209,2762918
2,ECK120008986,amiA-hemF,1,2829789,,,,,,2829789,2831672
3,ECK120008988,chiA,-1,3898539,,,,,,3895794,3898539
4,ECK120008989,cydAB,1,793869,,,,,,793869,796851
5,ECK120008990,cydAB,1,793880,,,,,,793880,796851
6,ECK120009169,sdhDAB,1,781729,,,,,,781729,784774
7,ECK120009173,ilvIH,1,89280,,,,,,89280,91675
8,ECK120009174,ilvIH,1,89247,,,,,,89247,91675
9,ECK120009356,fepDGC,-1,661643,,,,,,658793,661643
10,ECK120009324,malXY,1,1859834,,,,,,1859834,1862650
11,ECK120009336,cysPUWAM,-1,2818606,,,,,,2813720,2818606
12,ECK120009325,srlAEBD-gutM-srlR-gutQ,1,3108260,,,,,,3108260,3113248
13,ECK120009327,fucAO,-1,3206732,,,,,,3204743,3206732
14,ECK120009338,nupC,1,2795396,,,,,,2795396,2796631
15,ECK120009329,malS,1,4175015,,,,,,4175015,4177165
16,ECK120009331,hns,-1,1537432,,,,,,1536935,1537432
17,ECK120009332,gyrA,-1,2623646,,,,,,2620982,2623646
18,ECK120009333,pck,1,3958807,,,,,,3958807,3960568
19,ECK120009341,exuT,1,3684998,,,,,,3684998,3686518
20,ECK120009328,flhDC,-1,2126653,,,,,,2125459,2126653
21,ECK120008971,serA,-1,3353131,,,,,,3351760,3353131
22,ECK120008983,metJ,-1,4647648,,,,,,4647168,4647648
23,ECK120009023,nagE,1,736574,,,,,,736574,738699
24,ECK120009024,norVW,1,3114909,,,,,,3114909,3117516
25,ECK120009028,rpiB,1,4872416,,,,,,4872416,4872986
26,ECK120009029,cdaR,1,193497,,,,,,193497,194670
27,ECK120009345,hypABCDE,1,3131319,,,,,,3131319,3135013
28,ECK120009030,alsRBACE,-1,4866942,,,,,,4861588,4866942
29,ECK120009035,recAX,-1,3104607,,,,,,3102927,3104607
30,ECK120009036,galETKM,-1,809374,,,,,,804994,809374
31,ECK120008998,yhdWXYZ,1,3850740,,,,,,3850740,3854963
32,ECK120008997,yeaGH,1,2024048,,,,,,2024048,2027471
33,ECK120008984,metJ,-1,4647648,,,,,,4647197,4647648
