"gene","iM","Val"
"b0952","SoxS",-6.4491114133807
"b3924","SoxS",-5.7278185883042
"b0950","SoxS",-5.34445116331041
"b1377","SoxS",-5.69513863067688
"b1277","SoxS",-6.27677464866367
"b0167","SoxS",-6.34060560009898
"b3035","SoxS",-7.43493929967113
"b2237","SoxS",-6.34850637971008
"b0462","SoxS",-6.9248901746157
"b0463","SoxS",-6.60954021484005
"b0951","SoxS",-6.20816410940839
"b0684","SoxS",-6.770411692138
"b2159","SoxS",-6.1292544226629
"b0447","SoxS",-6.50754063665765
"b2895","SoxS",-6.25419651320964
"b3160","SoxS",-6.43300949568904
