,TU,tss,best score,name,ID,Sigma70_Prib_score,Sigma54_Prib_score,Sigma32_Prib_score,Sigma24_Prib_score,Sigma38_Prib_score,Sigma28_Prib_score
0,ECK120015352,8191,,talB,b0008,-4.060455087151848,-8.19898150786518,-7.955531335695471,-10.65174131977518,-9.928691387290018,-10.367674548478846
1,ECK120009450,12048,,dnaK,b0014,-8.656225214456773,-7.99831081240303,-2.4069769357061777,-13.539337805221642,-12.002934782896867,-11.339084696553128
2,ECK120009602,12123,,dnaK,b0014,-6.814542484212717,-7.8687398209946045,-4.664099654623465,-6.892362631401409,-6.89180104124252,-9.718596947932442
3,ECK120009603,12144,,dnaK,b0014,-6.423808345488795,-6.853178508100027,-4.053554395089734,-7.5738137721981635,-8.975100948527935,-7.71793628410572
4,ECK120009450,12048,,dnaJ,b0015,-8.656225214456773,-7.99831081240303,-2.4069769357061777,-13.539337805221642,-12.002934782896867,-11.339084696553128
5,ECK120009602,12123,,dnaJ,b0015,-6.814542484212717,-7.8687398209946045,-4.664099654623465,-6.892362631401409,-6.89180104124252,-9.718596947932442
6,ECK120009603,12144,,dnaJ,b0015,-6.423808345488795,-6.853178508100027,-4.053554395089734,-7.5738137721981635,-8.975100948527935,-7.71793628410572
7,ECK120009006,17317,,nhaA,b0019,-3.8498903180444985,-4.844798090971201,-8.247152263563407,-10.486424376005631,-6.046679460277911,-7.786976834049169
8,ECK120009391,17458,,nhaA,b0019,-2.9067112335686462,-7.208536796154012,-11.517248577971145,-10.290449604461392,-7.156102665050237,-11.26966263476097
9,ECK120009006,17317,,nhaR,b0020,-3.8498903180444985,-4.844798090971201,-8.247152263563407,-10.486424376005631,-6.046679460277911,-7.786976834049169
10,ECK120009391,17458,,nhaR,b0020,-2.9067112335686462,-7.208536796154012,-11.517248577971145,-10.290449604461392,-7.156102665050237,-11.26966263476097
11,ECK120015339,21210,,rpsT,b0023,-4.207740943033848,-8.152461492230287,-9.862864686622972,-11.832984124876607,-8.136931918061961,-7.6502620788750235
12,ECK120015340,21120,,rpsT,b0023,-6.2148135760431655,-3.9729591216678806,-7.54813011856044,-6.8921757288705345,-7.40262666500851,-11.656186865372037
13,ECK120009479,21383,,ribF,b0025,-3.2902888010427516,-6.310595202948054,-7.425706703347554,-8.765044306923922,-5.542326351017538,-12.154735496925346
14,ECK120009479,21383,,ileS,b0026,-3.2902888010427516,-6.310595202948054,-7.425706703347554,-8.765044306923922,-5.542326351017538,-12.154735496925346
15,ECK120030634,21833,,ileS,b0026,-6.814542484212717,-5.892766646820556,-11.033563552317773,-6.892362631401409,-7.883441210358461,-10.533665167455094
16,ECK120030635,22034,,ileS,b0026,-7.762164854393536,-7.889320528694624,-5.990290091673652,-12.862080802892699,-7.223934876265134,-9.832796252989098
17,ECK120033554,22229,,ileS,b0026,-5.456449073899353,-6.310595202948054,-2.338574208821777,-11.69422704632549,-9.309848932450588,-10.139329528171395
