,best score,ID,name,Sigma70_Prib_score,Sigma54_Prib_score,Sigma32_Prib_score,Sigma24_Prib_score,Sigma38_Prib_score,Sigma28_Prib_score
0,-4.060455087151848,b0008,talB,-4.060455087151848,-8.19898150786518,-7.955531335695471,-10.65174131977518,-9.928691387290018,-10.367674548478846
1,-3.2902888010427516,b0025,ribF,-3.2902888010427516,-6.310595202948054,-7.425706703347554,-8.765044306923922,-5.542326351017538,-12.154735496925346
2,-1.6422031517071383,b0034,caiF,-4.642583825218167,-1.6422031517071383,-6.242274387122622,-6.107236819248556,-7.3929263202685265,-9.879072061497565
3,-3.829638940996943,b0035,caiE,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
4,-3.829638940996943,b0036,caiD,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
5,-3.829638940996943,b0037,caiC,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
6,-3.829638940996943,b0038,caiB,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
7,-3.829638940996943,b0039,caiA,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
8,-3.829638940996943,b0040,caiT,-5.778186306791695,-4.974407661882342,-3.829638940996943,-11.238141550032587,-6.602334846997237,-10.124062056040607
9,-4.230724410852615,b0041,fixA,-4.230724410852615,-5.846246631185664,-13.140945047371217,-10.5433620728203,-6.799427721111504,-7.743884690994376
10,-4.230724410852615,b0042,fixB,-4.230724410852615,-5.846246631185664,-13.140945047371217,-10.5433620728203,-6.799427721111504,-7.743884690994376
11,-4.230724410852615,b0043,fixC,-4.230724410852615,-5.846246631185664,-13.140945047371217,-10.5433620728203,-6.799427721111504,-7.743884690994376
12,-4.230724410852615,b0044,fixX,-4.230724410852615,-5.846246631185664,-13.140945047371217,-10.5433620728203,-6.799427721111504,-7.743884690994376
13,-4.263241975819719,b0045,yaaU,-12.136097228883983,-4.263241975819719,-8.78154416227488,-10.367082830482309,-11.578551214223035,-6.882434133782926
14,-3.815418412907005,b0048,folA,-3.815418412907005,-6.565496435648246,-7.494109430231955,-12.405861868748776,-6.977410876306861,-12.891000775220546
15,-2.7050973577731687,b0051,rsmA,-2.9067112335686462,-2.7050973577731687,-8.650695640351355,-15.477677286701871,-4.974878429060459,-8.492401006821796
16,-7.258643616208191,b0052,pdxA,-10.881051850498134,-7.258643616208191,-9.606513980011352,-12.041309541295176,-8.310124644934685,-9.416115677767234
17,-7.258643616208191,b0053,surA,-10.881051850498134,-7.258643616208191,-9.606513980011352,-12.041309541295176,-8.310124644934685,-9.416115677767234
18,-5.498770633022616,b0058,rluA,-5.498770633022616,-7.8687398209946045,-7.758519063491512,-10.687751757298214,-8.786852773064343,-11.009306400671322
19,-3.2902888010427516,b0060,polB,-3.2902888010427516,-5.03585332773391,-6.518593241756824,-12.294053069749722,-3.3611021150277605,-11.091377400570535
20,-3.9988705384893684,b0061,araD,-8.690711390527943,-6.119539966185346,-3.9988705384893684,-8.537944647567492,-7.827010233682344,-12.378741839167796
