"gene","iM","Val"
"b1277","SoxS",-7.86764656364783
"b0167","SoxS",-7.78350132142242
"b2237","SoxS",-7.4970654316584
"b1377","SoxS",-6.89730656548738
"b0447","SoxS",-7.79103021662973
"b0951","SoxS",-7.87307044282056
"b0952","SoxS",-7.8413772277682
"b3924","SoxS",-7.05711930908732
"b0950","SoxS",-6.97969216382796
"b3160","SoxS",-8.0351046590639
"b0463","SoxS",-8.00800575784874
"b2159","SoxS",-7.45017100358313
"b2895","SoxS",-7.92001422580836
"b0462","SoxS",-8.27948577251656
"b3035","SoxS",-8.27948577251656
"b0684","SoxS",-7.91919963416229
