"gene","iM","Val"
"b1948","FlhDC-1",-9.19128093450858
"b1948","FlhDC-2",-3
"b1904","FlhDC-1",-9.62414136733161
"b1904","FlhDC-2",-7
"b1939","FlhDC-1",-9.347720923053
"b1939","FlhDC-2",-6
"b1946","FlhDC-1",-9.57346160207034
"b1946","FlhDC-2",-3
"b1081","FlhDC-1",-9.20675699324278
"b1081","FlhDC-2",-8
"b1880","FlhDC-1",-9.02415161077891
"b1880","FlhDC-2",-7
"b1947","FlhDC-1",-9.25552766675434
"b1947","FlhDC-2",-10
"b1949","FlhDC-1",-9.10206745130199
"b1949","FlhDC-2",-6
"b1879","FlhDC-1",-8.61368715910622
"b1879","FlhDC-2",-3
"b1072","FlhDC-1",-8.97594101039432
"b1072","FlhDC-2",-3
"b1080","FlhDC-1",-9.20436625519938
"b1080","FlhDC-2",-7
"b1940","FlhDC-1",-9.18267265997468
"b1940","FlhDC-2",-4
"b1878","FlhDC-1",-8.91530772513934
"b1878","FlhDC-2",-3
"b1950","FlhDC-1",-9.24166220500728
"b1950","FlhDC-2",-9
"b1937","FlhDC-1",-9.46622737988367
"b1937","FlhDC-2",-6
